,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,,Henru Viljoen,Auckland,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.5,2.3,8.2,9.95,2.3,7.65,10.45,2.0,8.45,10.95,2,8.95,10.6,2.0,8.6,10.65,2,8.65,63.100,,2022-07-13
1,,Abel Standen,Bay of Plenty,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,11.3,2.3,9.0,10.4,2.0,8.4,11.0,2.3,8.7,11.75,2,9.75,10.85,2.3,8.55,10.15,2,8.15,65.450,,2022-07-13
2,,Callum Baird,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,8.85,1.0,7.85,10.0,2.0,8.0,11.15,2.3,8.85,11.35,2,9.35,11.2,2.3,8.9,9.9,2,7.9,62.450,,2022-07-13
3,,Liam Del Rey,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.8,2.0,8.8,11.4,2.0,9.4,11.8,2.3,9.5,11.5,2,9.5,11.55,2.3,9.25,11.55,2,9.55,68.600,,2022-07-13
4,,Lucas Henderson,Canterbury,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.05,2.3,7.75,10.2,2.0,8.2,11.05,2.3,8.75,11.35,2,9.35,9.8,2.3,7.5,10.25,2,8.25,62.700,,2022-07-13
5,,Blake Pennington,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,9.1,2.0,7.1,10.65,2.0,8.65,11.2,2.3,8.9,11.15,2,9.15,11.25,2.3,8.95,10.25,2,8.25,63.600,,2022-07-13
6,,Chase Stewart,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.2,2.0,8.2,6.85,2.0,4.85,11.3,2.0,9.3,10.65,2,8.65,10.15,2.0,8.15,9.4,2,7.4,58.550,,2022-07-13
7,,Fletcher du Toit,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.8,2.3,8.5,10.2,2.0,8.2,10.85,2.0,8.85,9.55,2,7.55,10.7,2.0,8.7,10.65,2,8.65,62.750,,2022-07-13
8,,Joshua Wilcox,Gymsport Manukau,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,8.2,1.0,7.2,11.1,2.0,9.1,10.3,2.0,8.3,10.9,2,8.9,10.0,2.0,8.0,9.65,2,7.65,60.150,,2022-07-13
9,,Kobe Fox,Harbour,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.0,2.0,8.0,10.6,2.0,8.6,10.75,2.0,8.75,10.75,2,8.75,10.4,2.0,8.4,11.15,2,9.15,63.650,,2022-07-13
10,,Theo Kirk,Harbour,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.2,2.0,8.2,9.85,1.0,8.85,9.05,1.0,8.05,10.65,2,8.65,10.45,2.0,8.45,10.95,2,8.95,61.150,,2022-07-13
11,,Tom Mayer,Hawkes Bay/Poverty Bay,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.85,2.3,8.55,10.3,2.0,8.3,11.2,2.3,8.9,11.3,2,9.3,11.55,2.3,9.25,11.45,2,9.45,66.650,,2022-07-13
12,,Alex Scarlett,Southland,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,9.55,2.3,7.25,10.45,2.0,8.45,10.8,2.0,8.8,11.7,2,9.7,10.3,2.0,8.3,11.15,2,9.15,63.950,,2022-07-13
13,,Logan Mosey-Reid,Top of the South,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.6,2.3,8.3,10.5,2.0,8.5,11.35,2.0,9.35,10.35,2,8.35,11.7,2.3,9.4,11.5,2,9.5,66.000,,2022-07-13
14,,Benjamin Biddulph,Waikato,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.4,2.3,8.1,9.5,2.0,7.5,11.4,2.3,9.1,10.9,2,8.9,11.2,2.0,9.2,11.45,2,9.45,64.850,,2022-07-13
15,,Max Conlon,Waikato,Level 4,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,9.95,2.0,7.95,11.1,2.0,9.1,11.8,2.3,9.5,10.0,2,8.0,10.9,2.0,8.9,10.45,2,8.45,64.200,,2022-07-13
