,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,216280,Caleb Reidy,Capital Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,13.0,4.4,8.6,10.366,3.6,6.766,11.6,2.9,8.7,10.8,1.6,9.2,11.6,3.7,7.9,11.466,3.7,7.766,68.832,,2022-05-20
1,154636,Theo Barraud - Scots College,Capital Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,13.433,5.2,8.233,11.6,3.1,8.5,11.8,3.2,8.6,11.833,2.9,8.933,12.333,3.8,8.533,11.333,2.9,8.433,72.332,,2022-05-20
2,531902,Hiro Kobayashi - Rosehill College,Counties Manukau Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,12.766,4.4,8.366,9.833,3.0,7.133,11.366,3.0,8.366,11.0,2.7,8.4,12.766,3.7,9.066,11.3,2.6,8.7,69.031,,2022-05-20
3,531888,Alex Reed - Mission Heights Junior College,Counties Manukau Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,11.833,4.5,7.333,11.533,3.1,8.733,9.8,3.4,6.4,11.333,2.7,8.633,12.233,3.7,8.533,11.566,3.0,8.566,68.298,,2022-05-20
4,568463,Matthew Arck-Weeber - Botany Downs College,Counties Manukau Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,13.2,4.7,8.5,11.566,4.3,7.266,12.466,4.4,8.066,12.366,3.7,8.666,12.866,3.9,8.966,12.2,3.8,8.4,74.664,,2022-05-20
5,531895,Duncan Ramsey - Elim Christian College,Howick Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,,2022-05-20
6,116562,Henry Lee,Hutt Valley Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,13.333,5.0,8.333,11.233,4.3,6.933,11.1,2.8,8.3,10.566,1.6,8.966,12.333,3.3,9.033,6.3,1.5,7.8,64.865,,2022-05-20
7,219166,Elijah Stewart,Hutt Valley Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,13.0,5.0,8.0,10.633,3.8,6.833,12.5,4.4,8.1,12.7,3.7,9.0,12.6,3.6,9.0,10.466,3.1,7.366,71.899,,2022-05-20
8,236017,Henry Roberts - Nelson College,Nelson Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,13.6,5.2,8.4,11.6,3.1,8.8,11.633,2.8,8.833,11.166,2.7,8.566,12.3,3.9,8.4,11.4,2.6,8.8,71.699,,2022-05-20
9,542111,Dalton Baard,North Harbour Gymnastics,Level 7 Day 1,NONE,2022 Tri Star Championships and NZSS,All-around & Team Final,13.1,5.1,8.1,0.0,0.0,0.0,12.0,3.4,8.6,11.466,2.7,8.866,0.0,0.0,0.0,11.4,3.2,8.2,47.966,,2022-05-20
