,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,216280,Caleb Reidy,Capital Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,12.566,4.1,8.466,7.533,2.4,5.133,11.9,3.0,8.9,0.0,0.0,0.0,10.866,3.3,7.566,11.733,3.8,7.933,54.598,,2022-05-20
1,154636,Theo Barraud - Scots College,Capital Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,14.133,5.7,8.433,11.166,3.0,8.166,11.566,3.4,8.166,11.733,2.9,8.833,11.766,3.0,8.766,11.6,3.0,8.6,71.964,,2022-05-20
2,531902,Hiro Kobayashi - Rosehill College,Counties Manukau Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,11.7,4.3,7.4,7.533,2.3,5.533,11.1,2.9,8.2,11.266,2.7,8.666,12.166,3.7,8.466,11.033,2.5,8.533,64.798,,2022-05-20
3,531888,Alex Reed - Mission Heights Junior College,Counties Manukau Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,,2022-05-20
4,568463,Matthew Arck-Weeber - Botany Downs College,Counties Manukau Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,12.566,4.4,8.166,12.9,4.5,8.4,12.666,4.5,8.166,12.466,3.7,8.766,12.633,3.9,8.733,12.5,3.8,8.7,75.731,,2022-05-20
5,531895,Duncan Ramsey - Elim Christian College,Howick Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,,2022-05-20
6,116562,Henry Lee,Hutt Valley Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,13.233,4.8,8.433,12.066,4.4,7.666,11.133,2.6,8.533,10.6,1.6,9.0,11.566,3.2,8.366,6.633,1.5,8.133,65.231,,2022-05-20
7,219166,Elijah Stewart,Hutt Valley Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,11.966,4.3,7.666,11.566,3.8,7.766,13.466,4.6,8.866,12.5,3.7,8.8,11.766,3.7,8.066,11.7,3.4,8.3,72.964,,2022-05-20
8,236017,Henry Roberts - Nelson College,Nelson Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,12.933,5.1,7.833,11.633,3.1,8.833,11.466,2.8,8.666,11.533,2.7,8.833,12.166,3.9,8.266,11.133,2.5,8.633,70.864,,2022-05-20
9,542111,Dalton Baard,North Harbour Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,13.1,5.1,8.0,0.0,0.0,0.0,12.0,3.4,8.6,11.1,2.7,8.7,0.0,0.0,0.0,11.2,3.2,8.0,47.400,,2022-05-20
10,542146,Robert Hughes - Westlake Boys,North Harbour Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,11.866,4.3,7.566,10.7,3.5,7.2,12.0,3.5,8.5,10.633,1.6,9.033,12.333,4.1,8.233,11.4,2.8,8.6,68.932,,2022-05-20
11,542157,Yuto Kawase - Westlake Boys,North Harbour Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,13.3,5.1,8.2,12.666,4.1,8.566,11.833,3.6,8.233,11.866,2.7,9.166,12.633,3.6,9.033,12.3,3.3,9.0,74.598,,2022-05-20
12,542151,Taiga Stenton - Westlake Boys,North Harbour Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,13.266,5.5,7.766,11.566,4.1,7.466,12.733,4.1,8.633,11.733,2.7,9.033,12.733,3.7,9.033,11.7,2.8,8.9,73.731,,2022-05-20
13,542121,Flynn Sheridan,North Harbour Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,,2022-05-20
14,555998,Aurion Mead,North Harbour Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,14.066,5.5,8.566,0.0,0.0,0.0,12.3,3.3,9.0,11.633,2.7,8.933,12.333,3.7,8.633,0.0,0.0,0.0,50.332,,2022-05-20
15,542103,Benjamin Raoult,North Harbour Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,12.633,3.9,8.733,0.0,0.0,0.0,10.833,2.9,7.933,10.233,2.2,8.333,0.0,0.0,0.0,0.0,0.0,0.0,33.699,,2022-05-20
16,542137,Kuyu Kawase,North Harbour Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,0.0,0.0,0.0,0.0,0.0,0.0,12.166,2.8,9.366,0.0,0.0,0.0,12.333,2.9,9.433,0.0,0.0,0.0,24.499,,2022-05-20
17,542139,Maxim Tenitski,North Harbour Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,,2022-05-20
18,174476,Martin Castka,Olympia Gymnastic Sports,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,10.366,3.6,6.866,9.133,3.1,6.333,11.166,2.8,8.366,0.0,0.0,0.0,12.2,3.0,9.2,0.0,0.0,0.0,42.865,,2022-05-20
19,212051,Nicholas Del Rey,Olympia Gymnastic Sports,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,0.0,0.0,0.0,11.966,3.5,8.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.966,,2022-05-20
20,152913,Karl Moller,Olympia Gymnastic Sports,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,11.333,3.8,7.533,11.333,3.1,8.233,11.033,2.5,8.533,0.0,0.0,0.0,11.933,3.0,8.933,0.0,0.0,0.0,45.632,,2022-05-20
21,197334,Marley Coburn - Auckland Grammar,Tri Star Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,11.266,3.4,7.866,6.966,2.4,4.566,10.933,2.6,8.333,10.366,1.6,8.766,11.4,2.8,8.6,10.6,2.5,8.1,61.531,,2022-05-20
22,228050,Troy Craddock,Tri Star Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,,2022-05-20
23,692556,Jean-Daniel Rosset,Tri Star Gymnastics,Level 7 Day 2,NONE,2022 Tri Star Championships and NZSS,Apparatus Finals,11.8,4.1,7.7,0.0,0.0,0.0,12.5,3.7,8.8,10.9,1.7,9.2,8.733,2.3,6.433,0.0,0.0,0.0,43.933,,2022-05-20
