,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,,Baris Kaya,ICE Gymsports North Canterbury,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,10.65,2,8.65,0,0,0,7.9,1,6.9,10.7,2,8.7,9.25,1,8.25,9.1,2,7.1,47.600,,2022-03-19
1,,Josiah Uden,ICE Gymsports North Canterbury,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,9.35,2,7.35,0,0,0,10.15,2,8.15,10.9,2,8.9,10.15,2,8.15,10.4,2,8.4,50.950,,2022-03-19
2,,Malachi Uden,ICE Gymsports North Canterbury,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,10.15,1,9.15,0,0,0,10.45,2,8.45,10.15,2,8.15,10.65,2,8.65,9.65,2,7.65,51.050,,2022-03-19
3,558333,Andrey Podolyan,Affinity Gymnastics Academy,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,10.2,2,8.2,0,0,0,10.95,2,8.95,9.55,2,7.55,10.6,2,8.6,10.2,2,8.2,51.500,,2022-03-19
4,554845,Archie Orangi,Affinity Gymnastics Academy,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,9.05,2,7.05,0,0,0,5.05,0,5.05,10.3,2,8.3,9.3,2,7.3,7.9,2,5.9,41.600,,2022-03-19
5,541905,Joshua Hunt,Affinity Gymnastics Academy,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,10.0,2,8.0,0,0,0,10.0,2,8.0,10.8,2,8.8,10.65,2,8.65,9.95,2,7.95,51.400,,2022-03-19
6,632417,Locklan Clark,Affinity Gymnastics Academy,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,10.7,2,8.7,0,0,0,10.55,2,8.55,11.15,2,9.15,10.2,2,8.2,10.7,2,8.7,53.300,,2022-03-19
7,304458,Tristan Walker,Gymnastics Nelson,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,8.95,2,6.95,0,0,0,8.95,2,6.95,10.0,2,8.0,10.25,2,8.25,8.35,2,6.35,46.500,,2022-03-19
8,557438,Xavier Fowler,Gymnastics Nelson,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,8.3,2,6.3,0,0,0,9.45,2,7.45,10.75,2,8.75,10.95,2,8.95,7.65,2,5.65,47.100,,2022-03-19
9,510352,Cameron Leaver,Gymnastics Nelson,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,8.2,2,6.2,0,0,0,10.2,2,8.2,10.7,2,8.7,10.6,2,8.6,7.8,2,5.8,47.500,,2022-03-19
10,,Jacob Cowan,ICE Gymsports North Canterbury,NONE,NONE,Affinity Gymnastics Academy Junior & Senior Challenge 2022,All Around,7.8,1,6.8,0,0,0,7.85,1,6.85,10.4,2,8.4,9.65,2,7.65,7.15,2,5.15,42.850,,2022-03-19
