,gnz-id,name,club,step,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,ph-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,vt-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-score,aa-rank,date-created
0,597615,Lachlan Pratt,Olympia Gymsports,2,NONE,CSG Classic 2022,AA,,10.900,2.000,4,11.600,2.000,1,11.533,2.000,1,11.433,2.000,2,11.633,2.000,1,10.900,2.000,4,68.365,1,5 May 2022
1,550028,Eli Lim,Olympia Gymsports,2,NONE,CSG Classic 2022,AA,,10.933,2.000,3,11.400,2.000,2,11.066,2.000,6=,10.666,2.000,13,11.500,2.000,3,10.933,2.000,3,66.598,2,5 May 2022
2,513887,Miguel Blancia,Olympia Gymsports,2,NONE,CSG Classic 2022,AA,,10.866,2.000,5,10.966,2.000,4=,11.266,2.000,4,11.366,2.000,4=,11.533,2.000,2,10.866,2.000,5,66.297,3,5 May 2022
3,273749,Charlie Quinn,Olympia Gymsports,2,NONE,CSG Classic 2022,AA,,10.533,2.000,7,10.966,2.000,4=,11.100,2.000,5,10.133,2.000,15,11.466,2.000,4,10.533,2.000,7,64.964,4,5 May 2022
4,592942,Theodore Gilson,Christchurch School of Gymn…,2,NONE,CSG Classic 2022,AA,,11.266,2.000,1,9.733,2.000,8,11.300,2.000,3,11.200,2.000,7=,11.333,2.000,5,11.266,2.000,1,64.132,5,5 May 2022
5,556877,Matthew Hamilton-Cross,Affinity Gymnastics Academy,2,NONE,CSG Classic 2022,AA,,10.366,2.000,8,11.033,2.000,3,10.666,2.000,9,10.800,2.000,11,10.933,2.000,10=,10.366,2.000,8,63.764,6,5 May 2022
6,158934,Jayden Lai,Christchurch School of Gymn…,2,NONE,CSG Classic 2022,AA,,11.100,2.000,2,10.600,2.000,7,11.066,2.000,6=,11.200,2.000,7=,10.900,2.000,12,11.100,2.000,2,63.599,7,5 May 2022
7,122389,Caleb Danielson,Christchurch School of Gymn…,2,NONE,CSG Classic 2022,AA,,10.833,2.000,6,10.633,2.000,6,11.400,2.000,2,10.733,2.000,12,11.166,2.000,6=,10.833,2.000,6,63.598,8,5 May 2022
8,643091,Theo Ferdinand,Affinity Gymnastics Academy,2,NONE,CSG Classic 2022,AA,,10.133,2.000,9=,9.366,2.000,11,10.400,2.000,14,11.400,2.000,3,11.166,2.000,6=,10.133,2.000,9=,61.931,9,5 May 2022
9,268906,Antony Young-Collins,Gymnastics Nelson,2,NONE,CSG Classic 2022,AA,,9.833,2.000,13,9.700,2.000,9,10.800,2.000,8,11.533,2.000,1,11.033,2.000,9,9.833,2.000,13,61.699,10,5 May 2022
10,272918,Eli Uden,Christchurch School of Gymn…,2,NONE,CSG Classic 2022,AA,,10.133,2.000,9=,9.666,2.000,10,10.633,2.000,10,11.000,2.000,10,11.066,2.000,8,10.133,2.000,9=,61.531,11=,5 May 2022
11,294440,Jim Baskett,Gymnastics Nelson,2,NONE,CSG Classic 2022,AA,,9.866,2.000,12,9.166,2.000,13=,10.600,2.000,11,11.366,2.000,4=,10.833,2.000,13,9.866,2.000,12,61.531,11=,5 May 2022
12,280748,Gus Walker,Gymnastics Nelson,2,NONE,CSG Classic 2022,AA,,10.033,2.000,11,9.266,2.000,12,10.433,2.000,12=,11.366,2.000,4=,10.933,2.000,10=,10.033,2.000,11,60.431,13,5 May 2022
13,531175,Darcy Quinlan,Christchurch School of Gymn…,2,NONE,CSG Classic 2022,AA,,9.700,1.000,14,9.100,2.000,15,10.433,2.000,12=,10.166,2.000,14,9.500,1.000,15,9.700,1.000,14,57.399,14,5 May 2022
14,534537,Riley Flewellen,Affinity Gymnastics Academy,2,NONE,CSG Classic 2022,AA,2.0,8.633,2.000,15,9.166,2.000,13=,10.266,2.000,15,11.166,2.000,9,9.700,2.000,14,8.633,2.000,15,57.331,15,5 May 2022
