gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
221256,Layton Mace,Hamilton City Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,8.9,1.0,7.9,0,10,11.25,2,9.25,0,3,11.2,2.3,8.9,0,4,11.35,2,9.35,0,3,11.0,2.0,9.0,0,2,11.15,2,9.15,0,3,64.850,4,2023-04-01T03:07:58.115Z
240167,Jacob Solly,Hamilton City Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,9.45,2.0,7.45,0,7,10.85,2,8.85,0,9,10.5,2.3,8.2,0,10,10.65,2,8.65,0,12,9.3,2.0,7.3,0,11,9.4,2,7.4,0,13,60.150,10,2023-04-01T03:09:28.498Z
141546,Josh Gallagher,Hamilton City Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,7.7,0.0,7.7,0,18,11.0,2,9.0,0,4,10.85,2.3,8.55,0,8,10.4,2,8.4,0,18,10.75,2.0,8.75,0,3,11.3,2,9.3,0,2,62.000,6,2023-04-01T03:10:32.058Z
258473,Louis Hoad,Hamilton City Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,10.2,2.0,8.2,0,3,11.35,2,9.35,0,2,11.35,2.3,9.05,0,2,10.9,2,8.9,0,8,10.6,2.0,8.6,0,4,11.55,2,9.55,0,1,65.950,1,2023-04-01T03:11:32.355Z
571340,Zach McLauchlan-Hillary,Hamilton City Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,8.7,1.0,7.7,0,12,9.85,2,7.85,0,15,10.55,2.0,8.55,0,9,10.5,2,8.5,0,16,8.85,2.0,6.85,0,13,9.75,2,7.75,0,12,58.200,12,2023-04-01T03:12:40.091Z
266531,Quinn James,Hamilton City Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,7.9,0.0,7.9,0,16,10.55,2,8.55,0,10,9.5,2.0,7.5,0,16,10.65,2,8.65,0,12,6.7,0.0,6.7,0,20,8.8,1,7.8,0,18,54.100,18,2023-04-01T03:03:59.662Z
647523,Luwaldt van der Linde,Hamilton City Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,10.6,2.0,8.6,0,2,11.4,2,9.4,0,1,11.0,2.0,9.0,0,6,10.85,2,8.85,0,10,10.55,2.0,8.55,0,5,11.0,2,9.0,0,5,65.400,3,2023-04-01T03:05:28.226Z
290472,Blake Robinson,Hamilton City Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,7.55,0.0,7.55,0,20,8.4,2,6.4,0,18,8.4,1.0,7.4,0,20,10.3,2,8.3,0,19,6.75,0.0,6.75,0,19,7.3,1,6.3,0,20,48.700,20,2023-04-01T03:06:29.573Z
596598,Benjamin O'Hanlon,Howick Gymnastic Club,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,11.05,2.3,8.75,0,1,10.9,2,8.9,0,8,9.8,2.0,7.8,0,12,10.95,2,8.95,0,6,10.5,2.0,8.5,0,6,9.9,2,7.9,0,11,63.100,5,2023-04-01T03:07:13.545Z
288640,Quinn Carpenter,Counties Manukau Gymsport,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,10.1,2.0,8.1,0,5,10.15,2,8.15,0,14,9.5,2.0,7.5,0,16,10.65,2,8.65,0,12,7.55,1.0,6.55,0,16,10.05,2,8.05,0,10,58.000,13,2023-04-01T03:08:23.356Z
544981,Mario Nasa,Counties Manukau Gymsport,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,7.7,0.0,7.7,0,18,9.6,2,7.6,0,16,9.45,2.0,7.45,0,18,10.45,2,8.45,0,17,8.0,1.0,7.0,0,14,10.55,2,8.55,0,8,55.750,16,2023-04-01T03:09:08.395Z
540776,Zack Lauer,Counties Manukau Gymsport,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,8.6,0.0,8.6,0,14,10.3,2,8.3,0,11,9.4,2.0,7.4,0,19,10.25,2,8.25,0,20,7.45,1.0,6.45,0,17,9.2,2,7.2,0,15,55.200,17,2023-04-01T03:09:42.915Z
298848,Joshua Wilcox,Counties Manukau Gymsport,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,7.8,0.0,7.8,0,17,10.95,2,8.95,0,6,11.05,2.0,9.05,0,5,11.75,2,9.75,0,1,9.5,2.0,7.5,0,9,10.95,2,8.95,0,6,62.000,6,2023-04-01T03:10:19.456Z
559355,Taiyo Chueh,Tri Star Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,9.35,1.0,8.35,0,8,9.05,2,7.05,0,17,9.75,2.0,7.75,0,13,11.25,2,9.25,0,4,7.6,1.0,6.6,0,15,9.05,2,7.05,0,16,56.050,15,2023-04-01T03:08:19.594Z
590993,Vihaan Goldman,Tri Star Gymnastics,Level 4,NONE,2023 ARGOS Senior Competition,All-Around,8.8,1.0,7.8,0,11,5.3,2,3.3,0,20,9.55,2.0,7.55,0,15,10.75,2,8.75,0,11,7.35,1.0,6.35,0,18,9.0,2,7.0,0,17,50.750,19,2023-04-01T03:09:19.642Z
