gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
230268,Abel Standen,ARGOS Gymnastics,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",9.8,2.3,7.5,0.0,8,10.4,2.0,8.4,0,8,9.6,2.0,7.6,0,15,10.65,2,8.65,0,13,10.4,2.6,7.8,0,8,6.0,1.0,5.0,0,20,56.850,12,2023-05-13T00:42:46.014Z
184985,Eric Rushton,ARGOS Gymnastics,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",9.4,2.6,6.8,0.0,12,11.15,2.3,8.85,0,4,10.3,2.3,8.0,0,12,10.75,2,8.75,0,10,10.75,2.3,8.45,0,6,10.1,2.0,8.1,0,7,62.450,6,2023-05-13T00:40:24.720Z
275666,Troy Scrimgeour,ARGOS Gymnastics,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",10.05,2.6,7.45,0.0,4,9.9,2.0,7.9,0,9,11.05,2.0,9.05,0,5,11.3,2,9.3,0,2,10.85,2.3,8.55,0,3,10.3,2.0,8.3,0,5,63.450,4,2023-05-13T00:43:49.700Z
531896,Caden Thomson,Counties Manukau,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",4.95,0.0,4.95,0.0,19,6.4,2.0,4.4,0,20,5.9,0.0,5.9,0,21,11.2,2,9.2,0,4,8.9,2.0,6.9,0,19,9.45,2.0,7.45,0,10,46.800,20,2023-05-13T00:49:29.659Z
531889,Corey Reed,Counties Manukau,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",9.75,2.0,7.75,0.0,9,11.1,2.0,9.1,0,5,9.8,1.0,8.8,0,14,10.75,2,8.75,0,10,10.35,2.3,8.05,0,11,10.0,2.3,7.7,0,8,61.750,7,2023-05-13T00:55:48.680Z
500364,Shin Tanaka,Counties Manukau,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",4.1,0.0,4.1,0.0,21,11.5,2.3,9.2,0,1,10.9,2.0,8.9,0,7,10.95,2,8.95,0,7,10.8,2.3,8.5,0,4,8.2,1.0,7.2,0,15,56.450,13,2023-05-13T00:52:12.914Z
272951,Andre Hall,Christchurch School of Gymnastics,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",10.6,2.3,8.3,0.0,1,11.2,2.0,9.2,0,3,11.6,2.3,9.3,0,1,10.25,2,8.25,0,19,11.1,2.6,8.5,0,1,11.05,2.0,9.05,0,2,65.800,1,2023-05-13T00:36:34.247Z
262238,Max Conlon,Hamilton City,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",8.35,2.0,6.35,0.0,14,10.8,2.3,8.5,0,6,10.6,2.0,8.6,0,11,10.05,2,8.05,0,21,9.75,2.3,7.45,0,17,9.8,2.0,7.8,0,9,59.350,10,2023-05-13T00:47:02.381Z
293998,Chase Stewart,Howick Gymnastics Club,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",9.05,2.0,7.05,0.0,13,9.8,2.0,7.8,0,10,10.95,2.0,8.95,0,6,10.7,2,8.7,0,12,10.4,2.0,8.4,0,8,8.8,2.0,6.8,0,13,59.700,9,2023-05-13T00:50:16.361Z
277245,Fletcher du Toit,Howick Gymnastics Club,Level 5,NONE,2023 Tri Star Senior Champs,"AA, Team & Apparatus",10.25,2.3,7.95,0.0,3,8.35,2.0,6.35,0,17,8.45,1.0,7.45,0,20,10.3,2,8.3,0,18,10.05,2.0,8.05,0,14,7.7,1.0,6.7,0,16,55.100,15,2023-05-13T00:47:52.653Z
