gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
199922,Saxon Rackley,ARGOS Gymnastics,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,12.666,4.4,8.266,0,5,11.7,3.5,8.2,0.0,1,11.733,3.6,8.133,0,2,10.6,2.7,7.9,0,5,12.966,3.8,9.166,0,1,9.7,2.7,7.0,0,5,69.365,2,2023-05-13T04:06:29.951Z
120553,Zachary Swallow,Capital,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,13.366,5.1,8.266,0,2,8.666,2.4,6.266,0.0,7,10.433,2.9,7.533,0,9,11.6,2.7,8.9,0,3,12.2,3.7,8.5,0,5,11.433,3.0,8.433,0,2,67.698,4,2023-05-13T04:01:24.811Z
531888,Alex Reed,Counties Manukau,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.000,0,2023-05-13T04:00:02.992Z
176537,Jimmy Jackson,Hutt Valley,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,12.933,4.7,8.233,0,4,10.7,3.5,7.2,0.0,4,11.233,3.2,8.033,0,7,11.8,2.7,9.1,0,1,12.466,3.7,8.766,0,2,11.6,3.4,8.2,0,1,70.732,1,2023-05-13T04:02:55.646Z
542141,Michael Hughes,NHG,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,11.7,4.1,7.6,0,8,6.666,2.4,4.566,0.3,8,11.566,3.0,8.566,0,6,9.866,1.6,8.266,0,8,12.366,3.5,8.866,0,3,0.0,0.0,0.0,0,0,52.164,0,2023-05-13T03:59:31.609Z
542146,Robert Hughes,NHG,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,13.466,5.0,8.466,0,1,0.0,0.0,0.0,0.0,0,11.733,3.7,8.033,0,2,10.266,1.6,8.666,0,7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,35.465,0,2023-05-13T03:59:41.730Z
184417,Adam Lim,Olympia Gymnastic Sports,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,12.233,3.9,8.333,0,6,11.533,3.3,8.533,0.3,2,11.733,2.8,8.933,0,2,10.333,1.6,8.733,0,6,12.266,3.5,8.766,0,4,10.466,2.3,8.166,0,4,68.564,3,2023-05-13T04:04:14.317Z
174476,Martin Castka,Olympia Gymnastic Sports,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,0.0,0.0,0.0,0,0,11.033,3.5,7.833,0.3,3,12.366,3.5,8.866,0,1,0.0,0.0,0.0,0,0,12.166,3.2,8.966,0,6,0.0,0.0,0.0,0,0,35.565,0,2023-05-13T03:59:21.963Z
692556,Jean-Daniel Rosset,Tri Star Gymnastics,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,13.2,4.7,8.5,0,3,9.666,3.0,6.966,0.3,6,11.666,3.6,8.066,0,5,11.733,2.9,8.833,0,2,10.366,3.4,6.966,0,8,0.0,0.0,0.0,0,0,56.631,0,2023-05-13T04:04:15.374Z
3,Marley Coburn,Tri Star Gymnastics,Level 7,NONE,2023 Tri Star Senior Champs,AA - Day 1,12.2,4.1,8.1,0,7,10.366,3.0,7.666,0.3,5,10.966,2.7,8.266,0,8,10.633,1.6,9.033,0,4,12.0,4.1,7.9,0,7,10.866,3.0,7.866,0,3,67.031,5,2023-05-13T04:02:16.773Z
