gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
554063,Aidan Bungard,Affinity Gymnastics Academy,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,8.5,1.0,7.5,0,23,8.3,2.0,6.3,0,16,9.3,2.0,7.3,0,15,10.55,2,8.55,0,13,7.7,1.0,6.7,0,23,10.0,2.0,8.0,0,10,54.350,18,2023-04-14T21:45:10.438Z
236295,Alexander Strydom,Affinity Gymnastics Academy,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,7.45,0.0,7.45,0,24,9.0,2.0,7.0,0,12,8.05,2.0,6.05,0,24,10.65,2,8.65,0,8,7.9,1.0,6.9,0,22,9.15,2.0,7.15,0,18,52.200,22,2023-04-14T21:41:42.504Z
236296,Xavier Strydom,Affinity Gymnastics Academy,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,7.45,0.0,7.45,0,24,8.35,2.0,6.35,0,15,9.65,2.0,7.65,0,10,10.3,2,8.3,0,16,8.25,1.0,7.25,0,18,9.25,2.0,7.25,0,17,53.250,20,2023-04-14T21:42:49.581Z
304051,Caleb Baxter,Affinity Gymnastics Academy,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,8.65,1.0,7.65,0,20,9.05,2.0,7.05,0,11,10.3,2.3,8.0,0,2,10.6,2,8.6,0,10,9.1,1.0,8.1,0,15,10.6,2.0,8.6,0,5,58.300,11,2023-04-14T21:44:05.172Z
597403,Tyler Becker,ARGOS Gymnastics Club,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.35,2.0,7.35,0,14,6.85,2.0,4.85,0,23,9.85,2.3,7.55,0,7,9.95,2,7.95,0,22,9.85,2.0,7.85,0,9,8.1,2.0,6.1,0,23,53.950,19,2023-04-14T21:44:44.392Z
288640,Quinn Carpenter,Counties Manukau,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,8.8,1.0,7.8,0,19,8.1,2.0,6.1,0,19,8.95,2.0,6.95,0,18,10.15,2,8.15,0,20,6.5,0.0,6.5,0,24,8.8,1.0,7.8,0,20,51.300,23,2023-04-14T21:51:15.809Z
540776,Zack Lauer,Counties Manukau,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.0,1.0,8.0,0,17,9.25,2.0,7.25,0,8,7.9,2.0,5.9,0,25,9.3,2,7.3,0,24,4.1,0.0,4.1,0,25,6.45,2.0,4.45,0,25,46.000,25,2023-04-14T21:45:04.915Z
298848,Joshua Wilcox,Counties Manukau,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.25,1.0,8.25,0,16,9.1,2.0,7.1,0,10,9.9,2.0,7.9,0,5,11.6,2,9.6,0,1,8.15,1.3,6.85,0,20,10.35,2.0,8.35,0,6,58.350,10,2023-04-14T21:47:02.288Z
251482,Lucas Zhao,Counties Manukau,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.3,2.0,7.3,0,15,8.9,2.0,6.9,0,13,9.1,2.0,7.1,0,17,9.0,2,7.0,0,25,10.4,2.3,8.1,0,7,10.25,2.0,8.25,0,8,56.950,13,2023-04-14T21:48:53.037Z
279226,Josiah Arndt,Christchurch School of Gymnastics,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,10.3,2.0,8.3,0,7,9.2,2.3,6.9,0,9,9.35,1.3,8.05,0,14,10.2,2,8.2,0,18,8.0,1.0,7.0,0,21,9.4,2.3,7.1,0,16,56.450,15,2023-04-14T21:41:33.470Z
279436,Leon Ross,Christchurch School of Gymnastics,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,10.95,2.0,8.95,0,3,6.9,2.0,4.9,0,22,9.75,2.0,7.75,0,9,9.85,2,7.85,0,23,8.4,1.0,7.4,0,17,8.75,2.0,6.75,0,21,54.600,16,2023-04-14T21:42:57.265Z
304197,Ted Jiang,Christchurch School of Gymnastics,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,10.85,2.0,8.85,0,4,10.05,2.0,8.05,0,4,9.5,2.0,7.5,0,12,11.05,2,9.05,0,3,9.85,2.0,7.85,0,9,10.15,2.0,8.15,0,9,61.450,4,2023-04-14T21:43:45.988Z
294563,Fletcher Bain,Christchurch School of Gymnastics,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,10.6,2.0,8.6,0,5,8.15,2.0,6.15,0,18,9.8,2.0,7.8,0,8,10.55,2,8.55,0,13,9.75,2.0,7.75,0,13,9.85,2.0,7.85,0,12,58.700,9,2023-04-14T21:44:42.104Z
304236,Aukaha Keogh,Christchurch School of Gymnastics,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,11.0,2.3,8.7,0,2,10.8,2.0,8.8,0,1,8.55,1.0,7.55,0,21,11.05,2,9.05,0,3,11.1,2.3,8.8,0,3,10.7,2.3,8.4,0,3,63.200,1,2023-04-14T21:45:23.115Z
565378,Caleb Danielson,Christchurch School of Gymnastics,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,10.35,2.0,8.35,0,6,9.85,2.0,7.85,0,5,10.0,1.3,8.7,0,4,10.6,2,8.6,0,10,11.35,2.3,9.05,0,1,10.75,2.0,8.75,0,2,62.900,2,2023-04-14T21:40:36.725Z
662718,Caleb Bohnen,Hutt Valley Gymnastics Club,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,10.25,2.0,8.25,0,8,9.5,2.0,7.5,0,7,10.25,2.0,8.25,0,3,10.6,2,8.6,0,10,11.2,2.3,8.9,0,2,8.7,2.0,6.7,0,22,60.500,7,2023-04-14T21:51:28.705Z
223130,Conor Pomare,Hutt Valley Gymnastics Club,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,8.6,1.0,7.6,0,21,6.4,2.0,4.4,0,24,8.9,2.0,6.9,0,19,10.2,2,8.2,0,18,8.95,2.0,6.95,0,16,7.5,2.0,5.5,0,24,50.550,24,2023-04-14T21:44:11.061Z
510241,Nico Geldenhuys,Hutt Valley Gymnastics Club,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,8.9,0.3,8.6,0,18,8.05,2.0,6.05,0,20,8.25,2.0,6.25,0,22,10.1,2,8.1,0,21,8.2,1.0,7.2,0,19,8.95,2.0,6.95,0,19,52.450,21,2023-04-14T21:46:48.350Z
266316,Remy Robert,Hutt Valley Gymnastics Club,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.65,1.0,8.65,0,12,10.5,2.0,8.5,0,2,9.5,2.0,7.5,0,12,11.0,2,9.0,0,5,10.5,2.0,8.5,0,5,10.0,2.0,8.0,0,10,61.150,5,2023-04-14T21:48:58.205Z
534006,Alex Scarlett,Invercargill Gymnastics Club,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.5,1.3,8.2,0,13,8.25,2.0,6.25,0,17,9.9,2.0,7.9,0,5,11.55,2,9.55,0,2,10.5,2.3,8.2,0,5,10.9,2.0,8.9,0,1,60.600,6,2023-04-14T21:40:46.901Z
534112,Cai Harvey,Invercargill Gymnastics Club,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,11.05,2.0,9.05,0,1,7.1,2.0,5.1,0,21,9.25,2.0,7.25,0,16,10.85,2,8.85,0,6,10.15,2.0,8.15,0,8,10.7,2.0,8.7,0,3,59.100,8,2023-04-14T21:41:53.233Z
534120,Walter Gibbs,Invercargill Gymnastics Club,LEVEL 4 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.85,2.0,7.85,0,10,8.55,2.0,6.55,0,14,8.25,2.0,6.25,0,22,10.7,2,8.7,0,7,9.8,2.0,7.8,0,11,9.7,2.0,7.7,0,13,56.850,14,2023-04-14T21:39:04.635Z
