gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
534112,Cai Harvey,Invercargill Gymnastics Club,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,9.2,2,7.2,0,7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.1,2,9.1,0,5,10.35,2.0,8.35,0,2,9.9,2.0,7.9,0,7,40.550,0,2023-04-15T23:00:17.883Z
304236,Aukaha Keogh,Christchurch School of Gymnastics,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,11.35,2.0,9.35,0,1,0.0,0.0,0.0,0,0,11.15,2,9.15,0,3,9.75,1.3,8.45,0,5,10.9,2.3,8.6,0,2,43.150,0,2023-04-15T22:50:51.223Z
279436,Leon Ross,Christchurch School of Gymnastics,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,10.0,2,8.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.000,0,2023-04-15T21:04:38.225Z
304197,Ted Jiang,Christchurch School of Gymnastics,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,9.4,1,8.4,0,3,10.4,2.0,8.4,0,3,0.0,0.0,0.0,0,0,10.05,2,8.05,0,8,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,29.850,0,2023-04-15T22:17:33.454Z
294563,Fletcher Bain,Christchurch School of Gymnastics,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,9.3,2,7.3,0,6,0.0,0.0,0.0,0,0,9.95,2.0,7.95,0,5,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,19.250,0,2023-04-15T21:56:36.695Z
565378,Caleb Danielson,Christchurch School of Gymnastics,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,9.4,2,7.4,0,3,10.0,2.0,8.0,0,7,10.75,2.3,8.45,0,1,0.0,0,0.0,0,0,9.2,1.3,7.9,0,8,10.05,2.0,8.05,0,5,49.400,0,2023-04-15T22:53:24.001Z
279226,Josiah Arndt,Christchurch School of Gymnastics,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,9.15,2,7.15,0,8,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,9.150,0,2023-04-15T21:17:22.074Z
662718,Caleb Bohnen,Hutt Valley Gymnastics Club,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,9.75,2,7.75,0,2,8.15,2.0,6.15,0,8,10.3,2.0,8.3,0,3,0.0,0,0.0,0,0,10.5,2.3,8.2,0,1,0.0,0.0,0.0,0,0,38.700,0,2023-04-15T22:43:11.364Z
266316,Remy Robert,Hutt Valley Gymnastics Club,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,10.35,2.0,8.35,0,4,0.0,0.0,0.0,0,0,10.95,2,8.95,0,6,9.75,2.3,7.45,0,5,0.0,0.0,0.0,0,0,31.050,0,2023-04-15T22:35:04.441Z
588578,Ammar Elsherif,Tri Star Gymnastics,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,10.95,2.3,8.65,0,2,10.45,2.3,8.15,0,2,10.75,2,8.75,0,7,10.3,2.3,8.0,0,3,10.05,2.0,8.05,0,5,52.500,0,2023-04-15T23:03:35.509Z
252164,Daniel North,Tri Star Gymnastics,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,10.05,2.0,8.05,0,6,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.050,0,2023-04-15T21:34:21.714Z
540776,Zack Lauer,Counties Manukau,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,10.1,2.0,8.1,0,5,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.100,0,2023-04-15T21:31:06.916Z
304051,Caleb Baxter,Affinity Gymnastics Academy,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,9.75,2.3,7.45,0,7,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,10.75,2.0,8.75,0,3,20.500,0,2023-04-15T22:54:47.749Z
534006,Alex Scarlett,Invercargill Gymnastics Club,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,9.25,1.3,7.95,0,8,11.45,2,9.45,0,1,9.85,2.3,7.55,0,4,11.05,2.0,9.05,0,1,41.600,0,2023-04-15T22:56:25.744Z
298848,Joshua Wilcox,Counties Manukau,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,9.95,2.3,7.65,0,5,11.15,2,9.15,0,3,0.0,0.0,0.0,0,0,10.65,2.0,8.65,0,4,31.750,0,2023-04-15T23:01:41.526Z
597403,Tyler Becker,ARGOS Gymnastics Club,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,10.15,2.3,7.85,0,4,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.150,0,2023-04-15T22:01:46.634Z
534120,Walter Gibbs,Invercargill Gymnastics Club,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.3,2,9.3,0,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,11.300,0,2023-04-15T22:18:28.682Z
251482,Lucas Zhao,Counties Manukau,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,9.5,1.3,8.2,0,7,9.1,2.0,7.1,0,8,18.600,0,2023-04-15T22:58:29.508Z
590993,Vihaan Goldman,Tri Star Gymnastics,LEVEL 4 - Day 2,NONE,CSG Classic 2023,Apparatus Finals,9.35,2,7.35,0,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,9.350,0,2023-04-15T21:19:06.710Z
