gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
272951,Andre Hall,Christchurch School of Gymnastics,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,11.35,2.3,9.05,0,1,10.3,2.3,8.0,0,2,10.75,2.3,8.45,0,1,11.3,2,9.3,0,2,11.35,2.6,8.75,0,2,10.4,2.0,8.4,0,2,65.450,0,2023-04-15T03:16:36.728Z
230268,Abel Standen,ARGOS Gymnastics Club,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,9.85,2.3,7.55,0,7,8.25,2.0,6.25,0,8,9.55,2.0,7.55,0,7,10.65,2,8.65,0,8,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,38.300,0,2023-04-15T02:48:05.277Z
598466,Logan Mosey-Reid,Nelson Gymnastics Club,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,10.45,2.3,8.15,0,4,0.0,0.0,0.0,0,0,10.7,2.0,8.7,0,2,10.7,2,8.7,0,7,11.1,2.6,8.5,0,3,10.1,2.3,7.8,0,4,53.050,0,2023-04-15T03:19:19.134Z
208457,Oliver Urquhart,Affinity Gymnastics Academy,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,10.9,2.0,8.9,0,2,10.1,2.0,8.1,0,4,10.4,2.3,8.1,0,5,0.0,0,0.0,0,0,11.6,2.6,9.0,0,1,9.7,2.0,7.7,0,7,52.700,0,2023-04-15T03:23:04.929Z
201184,Oscar Dellow,Tri Star Gymnastics,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,10.5,2.0,8.5,0,3,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,10.9,2.6,8.3,0,4,9.9,2.0,7.9,0,6,31.300,0,2023-04-15T03:17:35.791Z
281365,Fraser Bialy,Hutt Valley Gymnastics Club,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,9.4,1.6,7.8,0,8,9.4,2.3,7.1,0,7,0.0,0.0,0.0,0,0,11.05,2,9.05,0,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,29.850,0,2023-04-15T02:48:40.354Z
262238,Max Conlon,Hamilton City Gymnastics Club,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,10.25,2.0,8.25,0,5,9.95,2.3,7.65,0,6,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,10.25,2.0,8.25,0,3,30.450,0,2023-04-15T03:21:59.369Z
184985,Eric Rushton,ARGOS Gymnastics Club,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0.0,0.0,0,0,10.05,2.3,7.75,0,5,0.0,0.0,0.0,0,0,11.1,2,9.1,0,4,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,21.150,0,2023-04-15T02:50:32.992Z
531889,Corey Reed,Counties Manukau,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0.0,0.0,0,0,10.15,2.0,8.15,0,3,9.4,1.0,8.4,0,8,11.05,2,9.05,0,5,10.15,2.3,7.85,0,7,0.0,0.0,0.0,0,0,40.750,0,2023-04-15T03:09:45.129Z
500364,Shin Tanaka,Counties Manukau,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0.0,0.0,0,0,10.35,2.3,8.05,0,1,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.350,0,2023-04-15T02:12:20.853Z
275666,Troy Scrimgeour,ARGOS Gymnastics Club,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,10.0,1.6,8.4,0,6,0.0,0.0,0.0,0,0,10.5,2.3,8.2,0,4,11.25,2,9.25,0,3,10.25,2.3,7.95,0,6,10.05,2.0,8.05,0,5,52.050,0,2023-04-15T03:15:05.352Z
155805,Nate Gore,Tri Star Gymnastics,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.7,2.3,8.4,0,2,0.0,0,0.0,0,0,10.65,2.3,8.35,0,5,10.7,2.3,8.4,0,1,32.050,0,2023-04-15T03:24:03.486Z
200576,Callum Baird,Affinity Gymnastics Academy,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,9.9,1.0,8.9,0,6,11.4,2,9.4,0,1,9.45,2.3,7.15,0,8,0.0,0.0,0.0,0,0,30.750,0,2023-04-15T03:06:29.025Z
531896,Cadan Thomson,Counties Manukau,LEVEL 5 - DAY 2,NONE,CSG Classic 2023,Apparatus Finals,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,8.9,2.0,6.9,0,8,8.900,0,2023-04-15T03:20:55.472Z
