gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
284354,Blake Hollows,Dunedin Gymnastics Academy,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",10.1,2.0,8.1,0,6,9.25,2.0,7.25,0,7,9.4,2.0,7.4,0,10,10.8,2,8.8,0,8,10.3,2.0,8.3,0,8,9.35,2,7.35,0,8,59.200,7,2023-04-01T00:28:03.356Z
270509,Charlie Hooson,Dunedin Gymnastics Academy,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",9.2,2.0,7.2,0,9,5.5,2.0,3.5,0,9,10.45,2.0,8.45,0,5,11.0,2,9.0,0,6,10.6,2.0,8.6,0,6,9.9,2,7.9,0,5,56.650,9,2023-04-01T00:29:02.816Z
715269,Ethan Wardrop,Dunedin Gymnastics Academy,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",9.0,2.0,7.0,0,10,5.2,2.0,3.2,0,10,10.2,2.3,7.9,0,8,11.05,2,9.05,0,5,10.6,2.0,8.6,0,6,9.35,2,7.35,0,8,55.400,10,2023-04-01T00:30:51.255Z
263577,Noah Henderson,Dunedin Gymnastics Academy,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",9.85,2.0,7.85,0,7,10.6,2.0,8.6,0,5,9.65,2.0,7.65,0,9,10.35,2,8.35,0,10,9.6,2.0,7.6,0,10,8.95,2,6.95,0,10,59.000,8,2023-04-01T00:31:38.478Z
556877,Matthew Hamilton-Cross,Affinity Gymnastics Academy,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",9.35,2.0,7.35,0,8,11.25,2.3,8.95,0,3,10.55,2.0,8.55,0,4,10.65,2,8.65,0,9,11.3,2.3,9.0,0,2,10.05,2,8.05,0,4,63.150,5,2023-04-01T00:24:56.657Z
250510,Marshall Watson,Aspiring GymSports,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",10.4,2.3,8.1,0,5,8.0,2.0,6.0,0,8,10.35,2.0,8.35,0,6,11.35,2,9.35,0,2,10.1,2.0,8.1,0,9,9.45,2,7.45,0,7,59.650,6,2023-04-01T00:36:58.254Z
273749,Charlie Quinn,Olympia Gymnastic Sports,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",10.65,2.0,8.65,0,3,10.5,2.0,8.5,0,6,10.25,2.0,8.25,0,7,11.45,2,9.45,0,1,11.3,2.3,9.0,0,2,10.75,2,8.75,0,3,64.900,4,2023-04-01T00:25:58.793Z
550028,Eli Lim,Olympia Gymnastic Sports,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",10.85,2.3,8.55,0,2,11.4,2.3,9.1,0,2,10.85,2.3,8.55,0,2,11.25,2,9.25,0,3,11.0,2.0,9.0,0,5,9.85,2,7.85,0,6,65.200,3,2023-04-01T00:27:47.092Z
597615,Lachlan Pratt,Olympia Gymnastic Sports,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",11.35,2.3,9.05,0,1,11.45,2.3,9.15,0,1,11.4,2.3,9.1,0,1,11.25,2,9.25,0,3,11.55,2.3,9.25,0,1,11.15,2,9.15,0,1,68.150,1,2023-04-01T00:28:51.708Z
513887,Miguel Blancia,Olympia Gymnastic Sports,Level 3,NONE,DGA Interclub 2023,"AA, App & Team",10.5,2.3,8.2,0,4,11.15,2.0,9.15,0,4,10.8,2.0,8.8,0,3,10.95,2,8.95,0,7,11.15,2.0,9.15,0,4,10.8,2,8.8,0,2,65.350,2,2023-04-01T00:30:17.495Z
