gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
221256,Layton Mace,Hamilton City,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,7.95,0.0,7.95,0,9,9.25,2,7.25,0,7,8.6,1.0,7.6,0,10,11.15,2,9.15,0,3,10.55,2.0,8.55,0,3,10.6,2,8.6,0,5,58.100,6,2023-03-17T21:00:30.078Z
240167,Jacob Solly,Hamilton City,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,8.2,1.0,7.2,0,8,9.95,2,7.95,0,6,9.8,2.0,7.8,0,8,10.9,2,8.9,0,5,7.95,2.0,5.95,0,10,8.85,2,6.85,0,9,55.650,9,2023-03-17T21:03:20.133Z
141546,Josh Gallagher,Hamilton City,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,7.7,0.0,7.7,0,10,10.3,2,8.3,0,3,9.95,2.3,7.65,0,7,10.6,2,8.6,0,8,9.55,2.0,7.55,0,7,10.4,2,8.4,0,6,58.500,5,2023-03-17T21:01:54.007Z
258473,Louis Hoad,Hamilton City,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,9.05,1.0,8.05,0,2,10.7,2,8.7,0,2,11.1,2.3,8.8,0,2,11.1,2,9.1,0,4,9.8,2.0,7.8,0,6,11.25,2,9.25,0,1,63.000,2,2023-03-17T20:59:18.887Z
571340,Zach McLauchlan-Hillary,Hamilton City,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,8.65,1.0,7.65,0,5,8.95,2,6.95,0,8,10.2,2.0,8.2,0,6,10.1,2,8.1,0,11,8.8,2.0,6.8,0,9,9.1,2,7.1,0,8,55.800,8,2023-03-17T21:03:55.945Z
266531,Quinn James,Hamilton City,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,7.65,0.0,7.65,0,11,8.7,2,6.7,0,9,8.15,1.0,7.15,0,11,10.8,2,8.8,0,6,5.3,0.0,5.3,0,11,8.05,1,7.05,0,10,48.650,11,2023-03-17T20:56:04.323Z
647523,Luwaldt van der Linde,Hamilton City,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,8.75,1.0,7.75,0,3,11.0,2,9.0,0,1,10.4,2.0,8.4,0,4,11.25,2,9.25,0,2,10.9,2.0,8.9,0,2,11.05,2,9.05,0,2,63.350,1,2023-03-17T20:56:46.422Z
554449,Kody Jackson,ARGOS,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,8.7,0.3,8.4,0,4,8.7,2,6.7,0,9,8.9,2.0,6.9,0,9,10.8,2,8.8,0,6,9.55,2.0,7.55,0,7,10.3,2,8.3,0,7,56.950,7,2023-03-17T21:01:27.024Z
296935,Deklan Waites,ARGOS,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,8.3,1.0,7.3,0,7,10.2,2,8.2,0,4,10.6,2.3,8.3,0,3,10.3,2,8.3,0,9,9.9,2.3,7.6,0,4,10.85,2,8.85,0,3,60.150,4,2023-03-17T20:58:31.934Z
597403,Tyler Becker,ARGOS,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,9.6,1.0,8.6,0,1,6.35,1,5.35,0,11,10.3,2.3,8.0,0,5,10.15,2,8.15,0,10,9.9,2.0,7.9,0,4,7.1,1,6.1,0,11,53.400,10,2023-03-17T20:59:30.945Z
521626,Malan Volschenk,Whangarei,Level 4,NONE,Hamilton City Senior Artistic Competition 2023,All-around,8.35,1.0,7.35,0,6,10.05,2,8.05,0,5,11.45,2.3,9.15,0,1,11.3,2,9.3,0,1,11.0,2.0,9.0,0,1,10.75,2,8.75,0,4,62.900,3,2023-03-17T21:00:34.916Z
