gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
523439,Harrison Smith,Capital Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",9.15,2.0,7.15,0,5,8.9,2,6.9,0,6,9.1,2.0,7.1,0,5,10.75,2,8.75,0,9,7.95,1.0,6.95,0,10,7.4,2,5.4,0,11,53.250,8,2025-05-24T02:30:14.507Z
296301,Joe Jorgensen,Capital Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",8.55,2.0,6.55,0,8,8.7,2,6.7,0,7,9.2,2.0,7.2,0,4,10.95,2,8.95,0,7,9.05,2.0,7.05,0,6,9.35,2,7.35,0,4,55.800,4,2025-05-24T02:30:35.910Z
301864,Zach Oldfield,Harbour City Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",10.55,2.0,8.55,0,1,6.3,2,4.3,0,9,8.8,2.0,6.8,0,6,11.0,2,9.0,0,4,9.2,2.0,7.2,0,5,8.65,2,6.65,0,6,54.500,6,2025-05-24T02:30:55.756Z
573192,Elliott Towers,Hutt Valley Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",10.05,2.0,8.05,0,2,10.8,2,8.8,0,1,9.25,2.0,7.25,0,3,11.0,2,9.0,0,4,10.35,2.0,8.35,0,2,9.8,2,7.8,0,2,61.250,2,2025-05-24T02:29:44.506Z
606958,Regan Sawyer,Hutt Valley Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",9.75,2.0,7.75,0,4,0.0,0,0.0,0,0,6.7,1.0,5.7,0,11,11.05,2,9.05,0,2,8.6,2.0,6.6,0,8,8.5,2,6.5,0,8,44.600,0,2025-05-24T02:29:57.042Z
548347,Christian Bonandji Devane Dju,Kapiti Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",6.6,1.0,5.6,0,10,9.3,2,7.3,0,5,6.9,1.0,5.9,0,10,11.45,2,9.45,0,1,7.95,2.0,5.95,0,10,7.8,2,5.8,0,9,50.000,9,2025-05-24T02:25:30.950Z
677359,Jake Thirkell,Manawatu Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",7.7,2.0,5.7,0,9,2.0,2,0.0,0,10,8.45,1.0,7.45,0,7,10.8,2,8.8,0,8,8.15,2.0,6.15,0,9,8.55,2,6.55,0,7,45.650,10,2025-05-24T02:23:49.424Z
679735,Emmett Berry,Manawatu Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",6.3,1.0,5.3,0,11,9.55,2,7.55,0,4,10.3,2.5,7.8,0,1,10.35,2,8.35,0,11,9.0,2.0,7.0,0,7,9.25,2,7.25,0,5,54.750,5,2025-05-24T02:24:04.296Z
592961,Ethan Leah,Manawatu Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",9.9,2.5,7.4,0,3,10.0,2,8.0,0,3,9.3,1.0,8.3,0,2,11.0,2,9.0,0,4,10.9,2.5,8.4,0,1,10.25,2,8.25,0,1,61.350,1,2025-05-24T02:24:29.212Z
695026,Cooper Hill,Manawatu Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",8.85,2.0,6.85,0,7,7.55,2,5.55,0,8,8.45,1.0,7.45,0,7,10.55,2,8.55,0,10,9.55,2.0,7.55,0,3,9.5,2,7.5,0,3,54.450,7,2025-05-24T02:24:50.480Z
288584,Oliver Wong,Capital Gymnastics,Level 3,NONE,Hutt Valley Elementary Competition,"All-around, App, Teams",9.05,2.0,7.05,0,6,10.4,2,8.4,0,2,8.3,1.0,7.3,0,9,11.05,2,9.05,0,2,9.45,1.0,8.45,0,4,7.6,2,5.6,0,10,55.850,3,2025-05-24T02:31:11.623Z
