gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
662718,Caleb Bohnen,Hutt Valley,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",9.05,2.0,7.05,0,6,10.25,2,8.25,0,6,10.8,2.0,8.8,0,2,11.15,2,9.15,0,4,11.1,2.3,8.8,0,1,10.0,2,8.0,0,7,62.350,2,2023-05-06T23:29:24.974Z
223130,Conor Pomare,Hutt Valley,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",9.45,1.0,8.45,0,4,7.55,2,5.55,0,10,8.7,1.0,7.7,0,8,10.6,2,8.6,0,10,9.15,2.0,7.15,0,11,9.1,2,7.1,0,10,54.550,8,2023-05-06T23:30:55.939Z
510241,Nico Geldenhuys,Hutt Valley,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",9.1,0.3,8.8,0,5,5.8,2,3.8,0,11,8.5,1.0,7.5,0,10,11.15,2,9.15,0,4,9.7,2.0,7.7,0,9,10.3,2,8.3,0,4,54.550,8,2023-05-06T23:32:50.603Z
266316,Remy Robert,Hutt Valley,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",10.25,2.0,8.25,0,2,10.2,2,8.2,0,7,10.15,2.0,8.15,0,4,10.9,2,8.9,0,6,10.4,2.0,8.4,0,6,10.3,2,8.3,0,4,62.200,3,2023-05-06T23:34:17.773Z
586888,Kieran  Brighton,Kapiti Gymnastics,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",8.8,2.3,6.5,0,7,10.55,2,8.55,0,2,9.15,2.0,7.15,0,6,10.7,2,8.7,0,8,10.25,2.3,7.95,0,7,9.65,2,7.65,0,8,59.100,6,2023-05-06T23:23:27.683Z
296572,Liam  Veenendaal,Kapiti Gymnastics,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",8.0,1.0,7.0,0,9,10.35,2,8.35,0,4,8.65,2.0,6.65,0,9,11.25,2,9.25,0,3,10.1,2.3,7.8,0,8,9.65,2,7.65,0,8,58.000,7,2023-05-06T23:25:59.677Z
645806,Dominic  Brighton,Kapiti Gymnastics,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",7.05,1.0,6.05,0,10,10.2,2,8.2,0,7,7.5,1.0,6.5,0,11,10.6,2,8.6,0,10,9.4,1.3,8.1,0,10,7.0,1,6.0,0,11,51.750,10,2023-05-06T23:27:53.339Z
279721,Alexander de Vries,Manawatu Gymnastics,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",0.0,0.0,0.0,0,0,10.85,2,8.85,0,1,9.3,1.0,8.3,0,5,10.9,2,8.9,0,6,10.55,2.3,8.25,0,4,10.5,2,8.5,0,3,52.100,0,2023-05-06T23:35:25.908Z
685399,Dexter Leauai,Manawatu Gymnastics,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",8.65,1.0,7.65,0,8,10.55,2,8.55,0,2,9.05,2.0,7.05,0,7,10.65,2,8.65,0,9,10.9,2.3,8.6,0,2,10.95,2,8.95,0,2,60.750,5,2023-05-06T23:20:28.124Z
60827,Dylan Ware,Manawatu Gymnastics,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",10.9,2.3,8.6,0,1,10.35,2,8.35,0,4,10.9,2.3,8.6,0,1,11.45,2,9.45,0,2,10.8,2.0,8.8,0,3,11.05,2,9.05,0,1,65.450,1,2023-05-06T23:19:56.511Z
290998,Harry Dawson,Manawatu Gymnastics,Level 4,NONE,MAG Wellington Champs 2023,"AA, App, Teams",9.75,2.0,7.75,0,3,9.4,2,7.4,0,9,10.4,2.0,8.4,0,3,11.55,2,9.55,0,1,10.45,2.0,8.45,0,5,10.15,2,8.15,0,6,61.700,4,2023-05-06T23:22:09.973Z
