gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
221256,Layton Mace,Hamilton City Gym Sports,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,9.05,1.0,8.05,0,7,11.15,2,9.15,0,3,10.85,2.3,8.55,0,5,10.75,2,8.75,0,3,10.1,2,8.1,0,7,11.3,2.0,9.3,0,2,63.200,4,2023-04-14T22:19:28.654Z
141546,Josh Gallagher,Hamilton City Gym Sports,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,8.15,0.0,8.15,0,10,10.7,2,8.7,0,5,10.45,2.3,8.15,0,6,10.3,2,8.3,0,8,10.9,2,8.9,0,2,11.2,2.0,9.2,0,3,61.700,5,2023-04-14T22:28:05.722Z
258473,Louis Hoad,Hamilton City Gym Sports,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,10.65,2.0,8.65,0,3,11.3,2,9.3,0,1,11.3,2.3,9.0,0,2,10.75,2,8.75,0,3,10.8,2,8.8,0,4,11.75,2.3,9.45,0,1,66.550,1,2023-04-14T22:26:42.834Z
647523,Luwaldt van der Linde,Hamilton City Gym Sports,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,11.15,2.0,9.15,0,2,11.3,2,9.3,0,1,11.0,2.0,9.0,0,3,10.85,2,8.85,0,2,10.85,2,8.85,0,3,11.05,2.0,9.05,0,4,66.200,2,2023-04-14T22:25:22.671Z
266531,Quinn James,Hamilton City Gym Sports,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,7.55,1.0,6.55,0,11,9.65,2,7.65,0,9,8.0,1.0,7.0,0,13,10.15,2,8.15,0,10,8.85,1,7.85,0,12,9.5,2.0,7.5,0,9,53.700,10,2023-04-14T22:23:03.807Z
240167,Jacob Solly,Hamilton City Gym Sports,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,8.2,2.0,6.2,0,9,10.3,2,8.3,0,6,9.1,1.0,8.1,0,11,10.65,2,8.65,0,5,9.25,2,7.25,0,9,9.8,2.0,7.8,0,7,57.300,6,2023-04-14T22:28:40.043Z
571340,Zach McLauchlan-Hillary,Hamilton City Gym Sports,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,8.85,1.0,7.85,0,8,9.9,2,7.9,0,8,10.95,2.3,8.65,0,4,10.25,2,8.25,0,9,9.05,2,7.05,0,11,8.2,1.0,7.2,0,13,57.200,7,2023-04-14T22:17:45.563Z
290472,Blake Robinson,Hamilton City Gym Sports,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,7.55,0.0,7.55,0,11,9.4,2,7.4,0,11,8.7,1.0,7.7,0,12,10.5,2,8.5,0,6,7.95,2,5.95,0,13,7.85,1.0,6.85,0,15,51.950,12,2023-04-14T22:20:42.617Z
228642,Samuel McCarthy,Hamilton City Gym Sports,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,10.05,2.0,8.05,0,5,9.45,2,7.45,0,10,7.2,0.0,7.2,0,15,10.0,2,8.0,0,12,9.75,2,7.75,0,8,8.05,1.0,7.05,0,14,54.500,8,2023-04-14T22:24:00.481Z
596598,Benjamin O'Hanlon,Howick Gymnastics,Level 4,NONE,MIGS Junior Senior Artistic 2023 Competition,All-around,11.2,2.3,8.9,0,1,11.0,2,9.0,0,4,10.25,2.0,8.25,0,8,11.2,2,9.2,0,1,10.7,2,8.7,0,5,9.05,1.0,8.05,0,10,63.400,3,2023-04-14T22:20:41.587Z
