gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
697620,Ashley Cameron,Capital Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.55,2,8.55,0,12,0,0,0,0,0,9.5,2,7.5,0,20,11.55,2,9.55,0,7,10.8,2,8.8,0,12,10.35,2,8.35,0,4,52.750,13,2023-05-13T03:52:31.369Z
684826,Atticus Woodfield,Capital Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.1,2,8.1,0,18,0,0,0,0,0,10.5,2,8.5,0,8,10.95,2,8.95,0,18,10.9,2,8.9,0,9,9.75,2,7.75,0,14,52.200,14,2023-05-13T03:55:28.674Z
523439,Harrison Smith,Capital Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",11.15,2,9.15,0,4,0,0,0,0,0,10.6,2,8.6,0,7,11.25,2,9.25,0,12,11.2,2,9.2,0,5,9.85,2,7.85,0,10,54.050,5,2023-05-13T03:57:48.425Z
296301,Joe Jorgensen,Capital Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.65,2,8.65,0,11,0,0,0,0,0,10.7,2,8.7,0,4,11.45,2,9.45,0,8,11.4,2,9.4,0,3,10.4,2,8.4,0,3,54.600,4,2023-05-13T04:00:30.371Z
549340,Riaan Joshi,Hutt Valley Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.8,2,8.8,0,9,0,0,0,0,0,9.7,2,7.7,0,19,11.6,2,9.6,0,5,10.3,2,8.3,0,21,7.3,2,5.3,0,23,49.700,20,2023-05-13T03:42:15.528Z
549355,Leighton Washburn,Hutt Valley Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",11.6,2,9.6,0,1,0,0,0,0,0,11.2,2,9.2,0,1,11.7,2,9.7,0,2,11.6,2,9.6,0,1,10.7,2,8.7,0,2,56.800,1,2023-05-13T03:42:49.916Z
530387,Jaxon Polaczuk,Hutt Valley Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.8,2,8.8,0,9,0,0,0,0,0,10.1,2,8.1,0,17,11.6,2,9.6,0,5,10.9,2,8.9,0,9,9.85,2,7.85,0,10,53.250,8,2023-05-13T03:43:13.931Z
608753,Rafael Waldemar Jimenez,Hutt Valley Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.4,2,8.4,0,14,0,0,0,0,0,10.2,2,8.2,0,15,11.3,2,9.3,0,11,10.4,2,8.4,0,18,9.7,2,7.7,0,15,52.000,15,2023-05-13T03:44:14.421Z
301754,Atlas Monge,Hutt Valley Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.2,2,8.2,0,17,0,0,0,0,0,10.4,2,8.4,0,11,11.0,2,9.0,0,16,10.8,2,8.8,0,12,9.05,2,7.05,0,17,51.450,16,2023-05-13T03:44:33.752Z
594113,Roman Meade,Hutt Valley Gymnastics,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",11.35,2,9.35,0,3,0,0,0,0,0,10.3,2,8.3,0,14,11.65,2,9.65,0,3,11.5,2,9.5,0,2,9.05,2,7.05,0,17,53.850,7,2023-05-13T03:44:52.311Z
534829,Blaze Rowlands,OMNI Gymnastics Centre,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.85,2,8.85,0,7,0,0,0,0,0,9.9,2,7.9,0,18,11.2,2,9.2,0,13,11.0,2,9.0,0,8,10.1,2,8.1,0,7,53.050,11,2023-05-13T03:57:31.131Z
528422,Edmund Fisher,OMNI Gymnastics Centre,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",11.0,2,9.0,0,5,0,0,0,0,0,10.5,2,8.5,0,8,10.5,2,8.5,0,21,11.1,2,9.1,0,7,10.05,2,8.05,0,8,53.150,9,2023-05-13T03:57:49.909Z
705170,Jordan Kihi,OMNI Gymnastics Centre,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.3,2,8.3,0,16,0,0,0,0,0,10.7,2,8.7,0,4,11.75,2,9.75,0,1,10.9,2,8.9,0,9,10.35,2,8.35,0,4,54.000,6,2023-05-13T04:00:51.476Z
621110,Luke Whitaker,OMNI Gymnastics Centre,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.05,2,8.05,0,19,0,0,0,0,0,9.1,2,7.1,0,21,10.15,2,8.15,0,22,10.4,2,8.4,0,18,8.85,2,6.85,0,19,48.550,21,2023-05-13T03:58:39.341Z
673720,Nico Enslin,OMNI Gymnastics Centre,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.5,2,8.5,0,13,0,0,0,0,0,11.0,2,9.0,0,3,11.1,2,9.1,0,15,11.3,2,9.3,0,4,11.0,2,9.0,0,1,54.900,3,2023-05-13T03:58:57.945Z
507099,Sebastian Wing,OMNI Gymnastics Centre,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.0,2,8.0,0,21,0,0,0,0,0,10.7,2,8.7,0,4,11.4,2,9.4,0,9,10.7,2,8.7,0,14,10.35,2,8.35,0,4,53.150,9,2023-05-13T03:59:32.277Z
705168,Tate Joubert,OMNI Gymnastics Centre,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",11.45,2,9.45,0,2,0,0,0,0,0,11.1,2,9.1,0,2,11.65,2,9.65,0,3,11.2,2,9.2,0,5,9.85,2,7.85,0,10,55.250,2,2023-05-13T04:00:11.381Z
619824,Zach Adams,Whanganui Gym Club,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",9.85,2,7.85,0,22,0,0,0,0,0,8.7,2,6.7,0,22,10.65,2,8.65,0,20,0.0,0,0.0,0,0,8.1,2,6.1,0,20,37.300,23,2023-05-13T03:59:17.278Z
621782,Stefanos Tinsley,Whanganui Gym Club,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.05,2,8.05,0,19,0,0,0,0,0,8.5,2,6.5,0,23,9.9,2,7.9,0,23,10.6,2,8.6,0,16,7.55,2,5.55,0,22,46.600,22,2023-05-13T04:03:03.658Z
563786,Benjamin Christian,Whanganui Gym Club,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.35,2,8.35,0,15,0,0,0,0,0,10.4,2,8.4,0,11,10.8,2,8.8,0,19,10.0,2,8.0,0,22,9.3,2,7.3,0,16,50.850,17,2023-05-13T04:05:32.503Z
720516,Harrison Timmins,Whanganui Gym Club,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.85,2,8.85,0,7,0,0,0,0,0,10.2,2,8.2,0,15,11.2,2,9.2,0,13,10.5,2,8.5,0,17,7.95,2,5.95,0,21,50.700,18,2023-05-13T04:04:02.038Z
679735,Emmett Berry,Manawatu GymSports,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",8.4,2,6.4,0,23,0,0,0,0,0,10.4,2,8.4,0,11,11.0,2,9.0,0,16,10.7,2,8.7,0,14,10.0,2,8.0,0,9,50.500,19,2023-05-13T03:45:10.349Z
677359,Jake Thirkell,Manawatu GymSports,Level 1,NONE,Manawatu GymSports Junior Opens 2023,"All Around, App, Teams",10.95,2,8.95,0,6,0,0,0,0,0,10.5,2,8.5,0,8,11.35,2,9.35,0,10,10.4,2,8.4,0,18,9.85,2,7.85,0,10,53.050,11,2023-05-13T03:41:44.128Z
