gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
286697,Richard Bruning,Huntly,Level 4,NONE,Midlands Seniors 2023,All-around,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.000,0,2023-05-19T21:51:21.037Z
240167,Jacob Solly,Hamilton,Level 4,NONE,Midlands Seniors 2023,All-around,8.65,1.0,7.65,0,9,7.8,1,6.8,0,10,10.4,2.3,8.1,0,7,10.9,2,8.9,0,6,8.6,1.0,7.6,0,9,10.0,2,8.0,0,7,56.350,9,2023-05-19T22:00:20.395Z
266531,Quinn James,Hamilton,Level 4,NONE,Midlands Seniors 2023,All-around,7.0,0.0,7.0,0,11,7.75,2,5.75,0,11,6.3,0.0,6.3,0,12,10.45,2,8.45,0,11,5.7,0.0,5.7,0,12,8.55,1,7.55,0,10,45.750,12,2023-05-19T22:02:41.120Z
571340,Zach McLauchlan-Hillary,Hamilton,Level 4,NONE,Midlands Seniors 2023,All-around,9.0,1.0,8.0,0,8,9.0,2,7.0,0,9,11.05,2.3,8.75,0,2,10.4,2,8.4,0,12,8.15,1.0,7.15,0,10,8.4,1,7.4,0,11,56.000,10,2023-05-19T22:04:39.317Z
290472,Blake Robinson,Hamilton,Level 4,NONE,Midlands Seniors 2023,All-around,5.15,0.0,5.15,0,12,10.15,2,8.15,0,6,9.2,2.0,7.2,0,9,10.5,2,8.5,0,10,6.05,0.0,6.05,0,11,8.05,1,7.05,0,12,49.100,11,2023-05-19T21:58:48.640Z
228642,Samuel McCarthy,Hamilton,Level 4,NONE,Midlands Seniors 2023,All-around,10.45,2.0,8.45,0,2,9.75,2,7.75,0,7,9.1,2.0,7.1,0,10,10.9,2,8.9,0,6,9.8,2.0,7.8,0,8,9.6,2,7.6,0,9,59.600,8,2023-05-19T22:03:56.796Z
221256,Layton Mace,Hamilton,Level 4,NONE,Midlands Seniors 2023,All-around,9.4,1.0,8.4,0,6,10.95,2,8.95,0,2,10.2,2.0,8.2,0,8,11.05,2,9.05,0,5,10.7,2.0,8.7,0,4,11.0,2,9.0,0,2,63.300,3,2023-05-19T22:05:43.070Z
141546,Josh Gallagher,Hamilton,Level 4,NONE,Midlands Seniors 2023,All-around,9.15,1.0,8.15,0,7,10.5,2,8.5,0,3,10.65,2.3,8.35,0,5,10.8,2,8.8,0,8,11.05,2.0,9.05,0,1,10.7,2,8.7,0,4,62.850,4,2023-05-19T22:06:38.473Z
258473,Louis Hoad,Hamilton,Level 4,NONE,Midlands Seniors 2023,All-around,10.3,2.0,8.3,0,5,10.35,2,8.35,0,4,11.0,2.0,9.0,0,3,11.6,2,9.6,0,1,10.7,2.0,8.7,0,4,11.05,2,9.05,0,1,65.000,2,2023-05-19T21:58:11.965Z
647523,Luwaldt van der Linde,Hamilton,Level 4,NONE,Midlands Seniors 2023,All-around,11.1,2.0,9.1,0,1,11.25,2,9.25,0,1,10.95,2.0,8.95,0,4,11.2,2,9.2,0,3,11.0,2.0,9.0,0,2,10.8,2,8.8,0,3,66.300,1,2023-05-19T21:59:39.567Z
554449,Kody Jackson,ARGOS,Level 4,NONE,Midlands Seniors 2023,All-around,10.45,2.3,8.15,0,2,9.4,2,7.4,0,8,8.3,1.0,7.3,0,11,11.5,2,9.5,0,2,10.75,2.0,8.75,0,3,10.6,2,8.6,0,5,61.000,5,2023-05-19T22:01:18.770Z
296935,Deklan Waites,ARGOS,Level 4,NONE,Midlands Seniors 2023,All-around,8.4,1.0,7.4,0,10,10.25,2,8.25,0,5,10.65,2.0,8.65,0,5,10.75,2,8.75,0,9,10.25,2.3,7.95,0,6,10.35,2,8.35,0,6,60.650,6,2023-05-19T22:03:01.318Z
597403,Tyler Becker,ARGOS,Level 4,NONE,Midlands Seniors 2023,All-around,10.4,2.0,8.4,0,4,7.25,2,5.25,0,12,11.3,2.3,9.0,0,1,11.15,2,9.15,0,4,9.95,2.0,7.95,0,7,9.85,2,7.85,0,8,59.900,7,2023-05-19T22:04:46.557Z
