gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
565378,Caleb Danielson,Christchurch School of Gymnastics,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,9.666,2.0,7.666,0,7,8.966,2.0,6.966,0,6,11.066,2.0,9.066,0,1,11.0,2,9.0,0,3,10.2,2.3,7.9,0,6,10.933,2.0,8.933,0,1,61.831,2,2023-04-22T03:16:38.878Z
294563,Fletcher Bain,Christchurch School of Gymnastics,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,9.133,1.0,8.133,0,9,9.5,2.0,7.5,0,4,10.433,2.0,8.433,0,6,11.066,2,9.066,0,2,10.933,2.3,8.633,0,3,10.533,2.0,8.533,0,4,61.598,3,2023-04-22T03:23:39.366Z
304236,Aukaha Keogh,Christchurch School of Gymnastics,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,10.666,2.0,8.666,0,1,10.7,2.0,8.7,0,1,10.666,2.0,8.666,0,2,10.8,2,8.8,0,4,11.266,2.3,8.966,0,1,10.766,2.3,8.466,0,3,64.864,1,2023-04-22T03:24:03.292Z
304197,Ted Jiang,Christchurch School of Gymnastics,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,10.333,2.0,8.333,0,3,9.733,2.0,7.733,0,3,10.266,2.0,8.266,0,7,10.533,2,8.533,0,8,9.8,2.0,7.8,0,9,10.133,2.0,8.133,0,6,60.798,5,2023-04-22T03:25:37.593Z
268749,Bodhi Arthur,Christchurch School of Gymnastics,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,9.866,2.0,7.866,0,4,9.933,2.0,7.933,0,2,9.833,2.0,7.833,0,10,10.366,2,8.366,0,9,10.6,2.3,8.3,0,4,9.933,2.0,7.933,0,8,60.531,6,2023-04-22T03:28:05.917Z
279226,Josiah Arndt,Christchurch School of Gymnastics,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,9.766,2.0,7.766,0,6,8.4,2.3,6.1,0,9,10.1,2.3,7.8,0,8,10.6,2,8.6,0,6,9.966,2.3,7.666,0,7,9.466,2.3,7.166,0,9,58.298,10,2023-04-22T03:10:53.447Z
279436,Leon Ross,Christchurch School of Gymnastics,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,10.6,2.0,8.6,0,2,8.466,2.0,6.466,0,8,10.6,2.0,8.6,0,4,10.266,2,8.266,0,10,10.466,2.3,8.166,0,5,8.4,2.0,6.4,0,10,58.798,8,2023-04-22T03:11:40.829Z
304051,Caleb Baxter,Affinity Gymnastics Academy,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,8.433,1.0,7.433,0,10,9.333,2.0,7.333,0,5,10.666,2.0,8.666,0,2,11.166,2,9.166,0,1,10.966,2.3,8.666,0,2,10.833,2.0,8.833,0,2,61.397,4,2023-04-22T03:07:19.145Z
554063,Aidan Bungard,Affinity Gymnastics Academy,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,9.3,1.0,8.3,0,8,8.933,2.0,6.933,0,7,10.0,2.0,8.0,0,9,10.566,2,8.566,0,7,9.566,2.0,7.566,0,10,10.1,2.0,8.1,0,7,58.465,9,2023-04-22T03:04:48.921Z
705976,Alex Biro,Gymnastics Nelson,Level 4,NONE,Top of the South Gymnastics Competition,Apparatus and All-around,9.833,2.3,7.533,0,5,7.566,2.0,5.566,0,10,10.566,2.0,8.566,0,5,10.8,2,8.8,0,4,9.833,2.3,7.533,0,8,10.466,2.0,8.466,0,5,59.064,7,2023-04-22T03:06:21.594Z
