,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,531902,Hiro Kobayashi,Counties Manukau Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,12.566,4.5,8.366,9.033,2.4,6.933,11.3,3.0,8.3,11.633,2.7,8.933,11.666,3.6,8.066,11.233,2.5,8.733,67.431,,2022-06-04
1,568463,Matthew Arck-Weeber,Counties Manukau Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,12.433,4.3,8.233,10.033,4.4,5.633,11.8,3.7,8.1,11.6,2.7,8.9,12.466,3.9,8.566,12.133,3.8,8.333,70.465,,2022-06-04
2,151028,Ihaka Taituha,Hamilton City Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,12.3,4.7,7.9,12.6,4.4,8.2,11.2,3.0,8.2,11.666,2.9,8.766,12.866,3.9,8.966,12.3,3.2,9.1,72.932,,2022-06-04
3,202612,Joshua Chisholm,Hamilton City Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,12.366,4.7,7.666,10.5,3.1,7.7,11.966,3.0,8.966,10.766,2.7,8.066,11.933,3.2,8.733,12.133,2.8,9.333,69.664,,2022-06-04
4,531895,Duncan Ramsey,Howick Gymnastics Club,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,12.0,3.7,8.3,8.866,2.8,6.066,10.133,3.2,6.933,11.866,2.7,9.166,10.933,3.7,7.233,8.133,2.3,5.833,61.931,,2022-06-04
5,542157,Yuto Kawase,North Harbour Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,12.933,4.9,8.033,12.066,4.1,7.966,11.0,3.3,7.7,11.366,2.7,8.766,12.833,3.6,9.233,12.066,3.3,8.766,72.264,,2022-06-04
6,542151,Taiga Stenton,North Harbour Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,14.133,5.5,8.633,10.533,4.1,6.433,13.366,4.4,8.966,11.666,2.7,8.966,12.7,3.7,9.0,12.066,2.8,9.266,74.464,,2022-06-04
7,542146,Robert Hughes,North Harbour Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,9.9,2.7,7.2,8.266,3.5,4.766,11.766,3.4,8.366,10.566,1.6,8.966,10.1,3.7,6.4,11.5,2.7,8.8,62.098,,2022-06-04
8,555998,Aurion Mead,North Harbour Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,13.266,6.0,7.266,0.0,0.0,0.0,12.333,3.4,8.933,11.7,2.7,9.0,12.5,3.7,8.8,0.0,0.0,0.0,49.799,,2022-06-04
9,542103,Benjamin Raoult,North Harbour Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,12.6,4.0,8.6,0.0,0.0,0.0,12.2,3.3,8.9,12.0,2.7,9.3,12.133,3.4,8.733,0.0,0.0,0.0,48.933,,2022-06-04
10,542137,Kuyu Kawase,North Harbour Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,0.0,0.0,0.0,0.0,0.0,0.0,11.8,2.8,9.0,10.4,1.6,8.8,11.533,3.6,7.933,0.0,0.0,0.0,33.733,,2022-06-04
11,542139,Maxim Tenitski,North Harbour Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,0.0,0.0,0.0,0.0,0.0,0.0,11.1,2.5,8.6,10.2,1.6,8.6,10.366,2.7,7.666,0.0,0.0,0.0,31.666,,2022-06-04
12,228050,Troy Craddock,Tri Star Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,12.7,4.8,7.9,0.0,0.0,0.0,0.0,0.0,0.0,11.466,2.7,8.766,0.0,0.0,0.0,0.0,0.0,0.0,24.166,,2022-06-04
13,692556,Jean-Daniel Rosset,Tri Star Gymnastics,7,NONE,Auckland Manukau Champs,Day 1 AA & Team,11.533,3.4,8.133,0.0,0.0,0.0,12.233,3.7,8.533,10.8,1.6,9.2,11.233,3.4,7.833,0.0,0.0,0.0,45.799,,2022-06-04
