gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
280260,Anastasia Tsatsas,Turn & Gymnastics Circle,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,54.500,,
551024,Marley Stowers-siatte...,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,54.250,,
238233,Monique Cvitanich,Turn & Gymnastics Circle,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,54.100,,
207140,Jeslyn Jiang,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,54.000,,
287399,Elaine Li,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,54.000,,
206715,Georgia Pickles,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,53.850,,
205876,Amelia Hsu,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,53.750,,
301186,Cara Cozo,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,53.650,,
531990,Annabelle Peacock,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,53.500,,
221636,Olivia Lindon,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,53.450,,
228433,Siena Woods,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,53.050,,
179611,Hope Schuster,Turn & Gymnastics Circle,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.900,,
633683,Grace Pryor,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.500,,
224846,Tilly Allan,Franklin Gymsports,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.300,,
224654,Mikaela Fong,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.100,,
236936,Christabelle Tan,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.000,,
293448,Taylor Quedley,Waitakere Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.000,,
221495,Rebekah Tan,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,50.950,,
189259,Micah-Rose Galway,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,50.900,,
219603,Lexi Hati,Whangarei Academy of Gymnas...,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,50.900,,
250983,Lexi Fyhn,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,50.850,,
644702,Yuzu Kawahara,Waitakere Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,50.800,,
288947,Alyssa Reid,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,50.650,,
165790,Sofia Hitchen,Tri Star Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,50.350,,
254591,Jessica Royer,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,49.200,,
221182,Kennedy Miller,Franklin Gymsports,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,49.100,,
283203,Stevie-Mei Husband,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,49.000,,
610017,Heidi Flinkenberg,Franklin Gymsports,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,48.250,,
239650,Leah Watson,Whangarei Academy of Gymnas.,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,47.800,,
571263,Abby van Beerendonk,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,46.950,,
195645,Veronique de Fleuriot...,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,46.150,,
298872,Lyara Scott,Franklin Gymsports,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,46.150,,
234522,Shelby Hoyle,Whangarei Academy of Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,40.850,,
582296,Silvia Man,Counties Manukau Gymnastics,5,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,DNS,,
582297,Chelsea Brennan,Counties Manukau Gymnastics,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,55.450,,
159704,Zoe Rotherham,Tri Star Gymnastics,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,53.450,,
593455,Avaleigh Lauer,Franklin Gymsports,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,52.350,,
206341,Xanthia Ellis,Mt Tauhara Gymnastics,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.850,,
303250,Bailey Tomokino,Tri Star Gymnastics,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.850,,
217282,Harriet MacGregor,Tri Star Gymnastics,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.800,,
531971,Klara McKeefry,Counties Manukau Gymnastics,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.700,,
189409,Kaija Wheeler,Franklin Gymsports,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,46.800,,
531998,Kayla Roberts,Counties Manukau Gymnastics,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,DNF,,
159206,Sophia Hawke,Franklin Gymsports,6,OVER,KB Memorial 2022,AA,1,,,,,,,,,,,,,DNF,,
195486,Chloe Petrie,Tri Star Gymnastics,6,UNDER,KB Memorial 2022,AA,1,,,,,,,,,,,,,53.900,,
228516,Mia Vinall,Tri Star Gymnastics,6,UNDER,KB Memorial 2022,AA,1,,,,,,,,,,,,,53.350,,
536842,Savannah Campen,Waitakere Gymnastics,6,UNDER,KB Memorial 2022,AA,1,,,,,,,,,,,,,52.300,,
531969,Sienna Pirie,Counties Manukau Gymnastics,6,UNDER,KB Memorial 2022,AA,1,,,,,,,,,,,,,51.600,,
