,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,,Janko Viljoen,Auckland,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.95,2.3,8.65,10.7,2.3,8.4,11.5,2.3,9.2,10.95,2,8.95,11.3,2.6,8.7,9.75,2.0,7.75,65.150,,2022-07-13
1,,Liam Bowles,Auckland,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,9.35,2.0,7.35,9.25,2.3,6.95,10.7,2.0,8.7,10.9,2,8.9,10.8,2.3,8.5,10.7,2.0,8.7,61.700,,2022-07-13
2,,Syoma Ruban,Auckland,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.45,2.0,8.45,9.15,2.0,7.15,9.85,2.0,7.85,11.2,2,9.2,10.7,2.6,8.1,10.15,2.0,8.15,61.500,,2022-07-13
3,,Nate Gore,Auckland,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,9.3,2.0,7.3,8.15,2.0,6.15,9.05,1.0,8.05,10.55,2,8.55,9.65,2.3,7.35,9.65,2.0,7.65,56.350,,2022-07-13
4,,Troy Scrimgeour,Bay of Plenty,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,8.8,1.6,7.2,8.7,2.0,6.7,10.8,2.0,8.8,11.4,2,9.4,8.0,1.3,6.7,8.85,2.0,6.85,56.550,,2022-07-13
5,,Adam Lim,Canterbury,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,9.8,2.0,7.8,9.05,2.0,7.05,10.55,2.0,8.55,10.55,2,8.55,10.55,2.6,7.95,9.7,2.0,7.7,60.200,,2022-07-13
6,,Andre Hall,Canterbury,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,9.25,2.0,7.25,9.45,2.0,7.45,11.15,2.0,9.15,11.45,2,9.45,10.95,2.6,8.35,8.65,2.0,6.65,60.900,,2022-07-13
7,,Jaxson Warner,Canterbury,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.7,2.0,8.7,9.1,2.0,7.1,10.9,2.0,8.9,10.85,2,8.85,11.1,2.6,8.5,10.4,2.0,8.4,63.050,,2022-07-13
8,,Oliver Urquhart,Canterbury,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,10.15,2.0,8.15,9.4,2.0,7.4,10.6,2.0,8.6,10.95,2,8.95,10.6,2.6,8.0,8.25,2.0,6.25,59.950,,2022-07-13
9,,Corey Reed,Gymsport Manukau,Level 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,7.95,1.0,6.95,10.0,2.0,8.0,9.75,2.0,7.75,10.5,2,8.5,9.65,2.3,7.35,9.5,2.0,7.5,57.350,,2022-07-13
