,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,,Peter Nicholls,Auckland,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,0.0,0.0,0.0,12.1,5.0,7.1,11.0,4.4,6.6,0.0,0.0,0.0,12.6,4.8,7.8,13.666,4.8,8.866,49.366,,2022-07-13
1,,Alex Istock,Aorangi,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,0.0,0.0,0.0,13.9,7.3,6.6,14.7,6.4,8.3,0.0,0.0,0.0,14.4,7.0,7.4,14.166,6.0,8.166,57.166,,2022-07-13
2,,Daniel Price,Canterbury,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,12.95,5.6,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.950,,2022-07-13
3,,Sam Marshall,Canterbury,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,0.0,0.0,0.0,13.2,6.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.200,,2022-07-13
4,,Emile Nel,Harbour,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,13.2,5.6,7.6,0.0,0.0,0.0,13.3,5.0,8.3,11.85,3.2,8.75,12.25,3.7,8.55,11.566,2.9,8.666,62.166,,2022-07-13
5,,Kenzo Santayana,Harbour,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,12.35,5.6,6.75,11.7,3.6,8.1,12.7,3.8,8.9,13.1,4.5,8.7,13.65,4.6,9.05,12.233,2.9,9.333,75.733,,2022-07-13
6,,Caleb Drotsy,Harbour,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,11.95,5.4,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.35,3.5,8.85,0.0,0.0,0.0,24.300,,2022-07-13
7,,Alex Livingstone,Otago,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,14.45,6.8,7.65,8.45,2.7,8.05,11.6,3.6,8.0,0.0,0.0,0.0,12.55,3.3,9.25,12.433,3.8,8.633,59.483,,2022-07-13
8,,Max Renaud,Otago,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,15.3,7.1,8.2,11.6,4.1,7.5,12.5,3.8,8.7,13.7,4.5,9.2,11.9,3.8,8.1,12.8,4.2,8.6,77.800,,2022-07-13
9,,Lewis Thomson,Southland,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,15.7,7.1,8.6,0.0,0.0,0.0,12.733,4.3,8.433,13.75,4.9,8.95,0.0,0.0,0.0,7.8,2.5,8.3,49.983,,2022-07-13
10,,Keegan Greene,Waikato,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,14.25,6.4,8.25,0.0,0.0,0.0,12.5,3.7,8.8,0.0,0.0,0.0,13.15,4.8,8.35,11.733,3.7,8.033,51.633,,2022-07-13
