,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,,Peter Nicholls,Auckland,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,0.0,0.0,0.0,12.466,5.5,6.966,12.85,5.0,7.85,0.0,0.0,0.0,12.85,4.6,8.25,13.066,4.8,8.266,51.232,,2022-07-13
1,,Alex Istock,Aorangi,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,13.55,5.9,7.65,15.666,8.1,7.566,14.25,6.4,7.85,13.466,4.5,8.966,14.65,7.4,7.25,14.0,5.8,8.2,85.582,,2022-07-13
2,,Daniel Price,Canterbury,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,14.45,6.7,7.75,12.9,4.9,8.0,11.5,3.5,8.0,13.666,4.6,9.066,12.55,5.0,7.55,11.333,4.2,7.133,76.399,,2022-07-13
3,,Sam Marshall,Canterbury,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,13.05,4.8,8.25,13.533,6.4,7.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.583,,2022-07-13
4,,Emile Nel,Harbour,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,14.15,5.7,8.45,9.766,2.9,6.866,12.7,5.0,7.7,11.933,3.2,8.733,12.65,3.7,8.95,11.4,2.7,8.7,72.599,,2022-07-13
5,,Kenzo Santayana,Harbour,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,13.85,5.6,8.25,11.633,3.6,8.033,12.15,3.8,8.35,13.2,4.5,8.7,13.4,4.6,8.8,11.966,2.9,9.066,76.199,,2022-07-13
6,,Caleb Drotsy,Harbour,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,14.05,6.2,7.95,10.666,2.2,8.466,10.9,3.3,7.6,11.5,2.8,8.7,12.7,3.5,9.2,10.8,2.4,8.4,70.616,,2022-07-13
7,,Alex Livingstone,Otago,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,13.85,6.8,7.05,12.6,4.0,8.6,13.9,5.2,8.7,12.533,4.1,8.533,12.9,3.3,9.6,12.766,3.8,8.966,78.549,,2022-07-13
8,,Max Renaud,Otago,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,13.95,7.1,6.85,11.666,4.1,7.566,12.65,3.8,8.85,13.7,4.5,9.2,13.0,4.2,8.8,12.733,4.2,8.533,77.699,,2022-07-13
9,,Lewis Thomson,Southland,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,14.0,7.2,6.8,11.133,3.1,8.033,12.8,4.2,8.6,13.733,4.5,9.233,13.35,4.4,8.95,11.5,3.1,8.4,76.516,,2022-07-13
10,,Keegan Greene,Waikato,Level 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,14.05,5.9,8.15,10.833,2.9,8.233,12.25,3.7,8.55,12.2,3.2,9.0,12.5,4.6,7.9,11.2,3.9,7.3,73.033,,2022-07-13
