,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,554449,Kody Jackson,ARGOS,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",8.85,1.0,7.85,8.3,2.0,6.3,8.95,2.0,6.95,10.8,2,8.8,9.35,2.0,7.35,9.35,2,7.35,55.600,,2022-05-20
1,296935,Deklan Waites -Outmoetai College,ARGOS,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",9.05,2.0,7.05,9.45,2.0,7.45,8.5,1.0,7.5,10.75,2,8.75,8.15,2.0,6.15,9.4,2,7.4,55.300,,2022-05-20
2,230268,Abel Standen,ARGOS,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",10.45,2.3,8.15,8.25,2.0,6.25,9.9,2.0,7.9,10.85,2,8.85,9.25,2.0,7.25,9.3,2,7.3,58.000,,2022-05-20
3,500364,Shin Tanaka,Counties Manukau Gymnastics,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",9.7,2.0,7.7,10.7,2.0,8.7,10.25,2.0,8.25,11.35,2,9.35,7.45,1.0,6.45,9.8,2,7.8,59.250,,2022-05-20
4,298848,Joshua Wilcox,Counties Manukau Gymnastics,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",8.1,0.0,8.1,9.65,1.0,8.65,9.3,2.0,7.3,10.2,2,8.2,6.7,1.0,5.7,8.5,2,6.5,52.450,,2022-05-20
5,251482,Lucas Zhao,Counties Manukau Gymnastics,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",7.25,1.0,6.25,9.4,2.0,7.4,8.75,2.0,6.75,9.8,2,7.8,8.0,2.0,6.0,9.15,2,7.15,52.350,,2022-05-20
6,531896,Blake Pennington,Counties Manukau Gymnastics,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",9.5,2.0,7.5,10.0,2.0,8.0,10.9,2.3,8.6,11.15,2,9.15,9.05,2.3,6.75,9.8,2,7.8,60.400,,2022-05-20
7,304236,Aukaha Keogh,Christchurch School of Gymnastics,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",10.4,2.3,8.1,10.55,2.0,8.55,9.85,2.0,7.85,11.4,2,9.4,9.4,2.0,7.4,9.5,2,7.5,61.100,,2022-05-20
8,268749,Bodhi Arthur,Christchurch School of Gymnastics,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",7.95,1.0,6.95,9.3,2.0,7.3,9.85,2.0,7.85,10.55,2,8.55,8.6,2.0,6.6,9.75,2,7.75,56.000,,2022-05-20
9,279226,Josiah Arndt,Christchurch School of Gymnastics,Level 4,NONE,2022 Tri Star Championships and NZSS,"All-around, team and Apparatus",9.55,2.0,7.55,10.6,2.0,8.6,10.05,2.0,8.05,10.4,2,8.4,9.8,2.0,7.8,9.2,2,7.2,59.600,,2022-05-20
