,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,275666,Troy Scrimgeour - Tauranga Boys College,ARGOS,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",7.8,1.0,6.8,7.25,0.0,7.25,8.7,2.0,6.7,10.95,2,8.95,8.05,1.0,7.05,7.65,1,6.65,50.400,,2022-05-20
1,184985,Eric Rushton - Te Wharekura o Mauao,ARGOS,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",6.7,0.0,6.7,9.6,2.0,7.6,7.55,1.0,6.55,10.7,2,8.7,8.95,2.0,6.95,6.75,0,6.75,50.250,,2022-05-20
2,531889,Corey Reed,Counties Manukau Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",7.7,2.0,5.7,9.65,1.0,8.65,9.7,2.0,7.7,10.8,2,8.8,8.05,2.0,6.05,7.1,2,5.1,53.000,,2022-05-20
3,531906,Taka Kobayashi,Counties Manukau Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",10.3,2.0,8.3,10.6,2.3,8.3,10.85,2.0,8.85,10.55,2,8.55,10.1,2.6,7.5,9.2,2,7.2,61.600,,2022-05-20
4,272951,Andre Hall,Christchurch School of Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",10.6,2.0,8.6,9.3,1.0,8.3,10.55,2.0,8.55,11.05,2,9.05,10.25,2.6,7.65,8.85,1,7.85,60.600,,2022-05-20
5,559825,Jaxson Warner,Christchurch School of Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",10.2,2.0,8.2,7.45,1.0,6.45,10.4,2.0,8.4,11.15,2,9.15,10.3,2.3,8.0,8.15,1,7.15,57.650,,2022-05-20
6,223581,Eden Brummitt,Dunedin Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",9.3,2.0,7.3,9.95,2.0,7.95,10.5,2.0,8.5,11.15,2,9.15,9.5,2.0,7.5,7.75,1,6.75,58.150,,2022-05-20
7,270341,Preston Wheeler,Dunedin Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",10.8,2.3,8.5,10.85,2.3,8.55,10.75,2.0,8.75,10.9,2,8.9,11.8,2.6,9.2,10.85,2,8.85,65.950,,2022-05-20
8,265274,Liam Powell - Pakuranga College,Howick Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",9.35,2.0,7.35,10.3,2.0,8.3,9.85,2.0,7.85,10.75,2,8.75,10.2,2.0,8.2,9.0,2,7.0,59.450,,2022-05-20
9,192729,Edward Lingard,Hutt Valley Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",8.3,2.0,6.3,10.45,2.0,8.45,9.9,2.0,7.9,10.45,2,8.45,10.05,2.0,8.05,8.95,2,6.95,58.100,,2022-05-20
10,296549,Ollie Macpherson,Hutt Valley Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",9.2,2.0,7.2,10.25,2.0,8.25,10.4,2.0,8.4,10.95,2,8.95,10.5,2.3,8.2,9.9,2,7.9,61.200,,2022-05-20
11,272558,Rory Marsden,Hutt Valley Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",6.5,0.0,6.5,10.6,2.3,8.3,9.8,2.0,7.8,10.7,2,8.7,9.9,2.3,7.6,5.0,0,7.0,52.500,,2022-05-20
12,550170,Armant Beukes,Manawatu GymSports,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",9.75,2.0,7.75,10.5,2.0,8.5,10.05,2.3,7.75,11.05,2,9.05,9.95,2.6,7.35,8.95,2,6.95,60.250,,2022-05-20
13,578692,Eduart Beukes,Manawatu GymSports,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.000,,2022-05-20
14,281456,Grayson Sullivan-Jones,Manawatu GymSports,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.000,,2022-05-20
15,239816,Ashton Calveley,Nelson Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",9.9,2.0,7.9,10.9,2.3,8.6,10.6,2.0,8.6,11.2,2,9.2,10.65,2.6,8.05,9.3,1,8.3,62.550,,2022-05-20
16,184417,Adam Lim - Burnside High,Olympia Gymnastic Sports,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",9.2,2.0,7.2,10.9,2.3,8.6,10.35,2.0,8.35,10.55,2,8.55,10.85,2.6,8.25,9.4,2,7.4,61.250,,2022-05-20
17,202192,Liam Bowles - St. Peters College,Tri Star Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",6.35,0.0,8.35,10.15,2.0,8.15,9.7,2.0,7.7,11.05,2,9.05,10.25,2.3,7.95,10.0,2,8.0,57.500,,2022-05-20
18,155805,Nate Gore - Green Bay High School,Tri Star Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",9.6,2.0,7.6,8.85,2.0,6.85,8.95,2.0,6.95,10.75,2,8.75,8.4,1.3,7.1,8.8,2,6.8,55.350,,2022-05-20
19,296323,Janko Viljoen,Tri Star Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",10.8,2.0,8.8,10.85,2.3,8.55,10.5,2.3,8.2,10.85,2,8.85,11.5,2.6,8.9,10.4,2,8.4,64.900,,2022-05-20
20,241388,Luke Findlay,Tri Star Gymnastics,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",9.65,2.0,7.65,9.85,2.0,7.85,9.3,2.0,7.3,10.85,2,8.85,10.75,2.6,8.15,9.85,2,7.85,60.250,,2022-05-20
21,288374,Osian Evans,Whangarei Academy,Level 5,NONE,2022 Tri Star Championships and NZSS,"All-around, Team and Apparatus",10.6,2.0,8.6,10.75,2.0,8.75,10.8,2.0,8.8,11.0,2,9.0,10.3,2.0,8.3,9.7,2,7.7,63.150,,2022-05-20
