,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,593012,Julius Guffens,Counties Manukau Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.7,2,8.7,0,0,0,10.3,2,8.3,10.8,2,8.8,11.1,2,9.1,10.4,2,8.4,53.300,,2022-06-18
1,673552,Len Tanaka,Counties Manukau Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",11.0,2,9.0,0,0,0,10.8,2,8.8,11.4,2,9.4,11.2,2,9.2,11.1,2,9.1,55.500,,2022-06-18
2,612105,Jed Comision,Franklin Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.3,2,8.3,0,0,0,9.8,2,7.8,11.2,2,9.2,11.0,2,9.0,10.7,2,8.7,53.000,,2022-06-18
3,685826,Cooper Crane,Franklin Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
4,648847,Brody Morris,Franklin Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
5,636450,Nate Edhouse,Franklin Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.6,2,8.6,0,0,0,10.9,2,8.9,11.5,2,9.5,10.9,2,8.9,11.1,2,9.1,55.000,,2022-06-18
6,621787,Hunter Wood,Franklin Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.4,2,8.4,0,0,0,10.6,2,8.6,11.2,2,9.2,10.6,2,8.6,11.4,2,9.4,54.200,,2022-06-18
7,638604,Hunter Holdsworth,North Harbour Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.6,2,8.6,0,0,0,10.1,2,8.1,11.7,2,9.7,11.3,2,9.3,10.6,2,8.6,54.300,,2022-06-18
8,651221,Chaz Bradburn,North Harbour Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
9,541619,Mason Lynn,North Harbour Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.7,2,8.7,0,0,0,10.8,2,8.8,11.0,2,9.0,10.2,2,8.2,10.3,2,8.3,53.000,,2022-06-18
10,617108,Etienne Wang,North Harbour Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.7,2,8.7,0,0,0,11.0,2,9.0,10.9,2,8.9,11.4,2,9.4,11.7,2,9.7,55.700,,2022-06-18
11,540754,William Handley,North Harbour Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.4,2,8.4,0,0,0,10.7,2,8.7,11.3,2,9.3,10.9,2,8.9,10.3,2,8.3,53.600,,2022-06-18
12,538946,Cooper Millership,North Harbour Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.8,2,8.8,0,0,0,10.6,2,8.6,11.6,2,9.6,10.6,2,8.6,10.9,2,8.9,54.500,,2022-06-18
13,539085,Jimmy Liang,North Harbour Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.9,2,8.9,0,0,0,11.0,2,9.0,11.5,2,9.5,10.7,2,8.7,11.0,2,9.0,55.100,,2022-06-18
14,541690,Oliver Thompson,North Harbour Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
15,696694,Noah Bradburn,North Harbour Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
16,548157,Conrad Thorman,Tri Star Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.6,2,8.6,0,0,0,10.6,2,8.6,11.4,2,9.4,11.0,2,9.0,11.0,2,9.0,54.600,,2022-06-18
17,610295,Hiroki Chueh,Tri Star Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.4,2,8.4,0,0,0,10.1,2,8.1,11.5,2,9.5,10.2,2,8.2,10.1,2,8.1,52.300,,2022-06-18
18,577331,Freddie Zhao,Tri Star Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.3,2,8.3,0,0,0,11.2,2,9.2,10.3,2,8.3,11.5,2,9.5,11.6,2,9.6,54.900,,2022-06-18
19,257285,Matvey Ruban,Tri Star Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",9.0,2,7.0,0,0,0,11.1,2,9.1,11.2,2,9.2,9.8,2,7.8,10.5,2,8.5,51.600,,2022-06-18
20,,Hein Van den Bogaart,Whangarei Academy of Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",9.0,2,7.0,0,0,0,9.5,2,7.5,11.2,2,9.2,8.5,1,7.5,8.3,0,8.3,46.500,,2022-06-18
21,,Christopher Weinand,Whangarei Academy of Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",9.8,2,7.8,0,0,0,9.4,2,7.4,10.7,2,8.7,9.4,2,7.4,10.2,2,8.2,49.500,,2022-06-18
22,,Liam Oelofse,Whangarei Academy of Gymnastics,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",9.7,2,7.7,0,0,0,10.1,2,8.1,10.6,2,8.6,8.7,1,7.7,9.7,2,7.7,48.800,,2022-06-18
23,700625,Mackenzie (Mac) Morris,Waitakere,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.6,2,8.6,0,0,0,10.5,2,8.5,10.9,2,8.9,9.6,2,7.6,10.6,2,8.6,52.200,,2022-06-18
24,701800,Cooper Nisbett-Collins,Waitakere,Level 1,NONE,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",10.3,2,8.3,0,0,0,8.4,2,7.4,11.3,2,9.3,9.4,2,7.4,10.8,2,8.8,50.200,,2022-06-18
