,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,288640,Quinn Carpenter,Counties Manukau Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.0,2.0,8.0,10.5,2.0,8.5,10.9,2.0,8.9,10.6,2,8.6,9.9,2.0,7.9,10.8,2,8.8,62.700,,2022-06-18
1,544981,Mario Nasa,Counties Manukau Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.4,2.0,8.4,9.4,2.0,7.4,10.8,2.0,8.8,10.8,2,8.8,10.4,2.0,8.4,11.0,2,9.0,62.800,,2022-06-18
2,585651,Connor Stapleton,Franklin Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.000,,2022-06-18
3,594206,Zachary Lauer,Franklin Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",9.2,2.0,7.2,9.8,2.0,7.8,10.3,2.0,8.3,10.7,2,8.7,9.8,2.0,7.8,9.8,2,7.8,59.600,,2022-06-18
4,540751,Vynn Stephens,North Harbour Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.9,2.0,8.9,10.6,2.0,8.6,11.2,2.0,9.2,10.6,2,8.6,10.6,2.0,8.6,10.9,2,8.9,64.800,,2022-06-18
5,538879,Arno Potgieter,North Harbour Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.000,,2022-06-18
6,540418,Nathan Dunne,North Harbour Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",11.1,2.0,9.1,11.3,2.0,9.3,11.2,2.3,8.9,10.2,2,8.2,9.5,2.0,7.5,11.0,2,9.0,64.300,,2022-06-18
7,581717,Erik Kim,North Harbour Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.3,2.0,8.3,10.6,2.0,8.6,10.7,2.0,8.7,10.9,2,8.9,10.7,2.0,8.7,10.4,2,8.4,63.600,,2022-06-18
8,581710,Viggo Karlsson,North Harbour Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.2,2.0,8.2,11.7,2.3,9.4,10.7,2.0,8.7,11.0,2,9.0,10.8,2.0,8.8,9.6,2,7.6,64.000,,2022-06-18
9,538189,Ben Davy,North Harbour Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.000,,2022-06-18
10,257832,Ryan Henry,Howick Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.000,,2022-06-18
11,604116,Zayan Shaikh,Howick Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",9.8,2.0,7.8,7.3,2.0,5.3,8.8,2.0,6.8,10.9,2,8.9,10.2,2.0,8.2,8.3,2,6.3,55.300,,2022-06-18
12,596598,Benjamin O'Hanlon,Howick Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",11.2,2.3,8.9,10.0,2.0,8.0,10.7,2.0,8.7,11.1,2,9.1,10.2,2.0,8.2,11.0,2,9.0,64.200,,2022-06-18
13,559355,Taiyo Chueh,Tri Star Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.8,2.3,8.5,9.5,2.0,7.5,10.3,2.0,8.3,10.6,2,8.6,10.9,2.0,8.9,10.7,2,8.7,62.800,,2022-06-18
14,252164,Daniel North,Tri Star Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.4,2.0,8.4,11.5,2.0,9.5,11.0,2.0,9.0,11.1,2,9.1,11.4,2.0,9.4,10.8,2,8.8,66.200,,2022-06-18
15,590993,Vihaan Goldman,Tri Star Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.8,2.0,8.8,10.0,2.0,8.0,10.2,2.0,8.2,11.1,2,9.1,9.6,2.3,7.3,9.9,2,7.9,61.600,,2022-06-18
16,588578,Ammar Elsherif,Tri Star Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",11.2,2.3,8.9,11.6,2.3,9.3,11.0,2.3,8.7,11.0,2,9.0,11.6,2.3,9.3,10.7,2,8.7,67.100,,2022-06-18
17,,William Van Den Bogaart,Whangarei Academy of Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.8,2.0,8.8,11.3,2.0,9.3,9.7,2.0,7.7,11.0,2,9.0,10.4,2.3,8.1,11.1,2,9.1,64.300,,2022-06-18
18,283863,Noah Kirk,North Harbour Gymnastics,Level 3,NONE,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",10.3,2.0,8.3,11.1,2.0,9.1,11.1,2.0,9.1,11.3,2,9.3,10.3,2.0,8.3,9.1,2,7.1,63.200,,2022-06-18
