,gnz-id,name,club,step,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,ph-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,vt-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-score,aa-rank,date-created
0,270341,Preston Wheeler,Dunedin Gymnastics Academy,5,NONE,CSG Classic 2022,AA,1,10.200,2.300,4,11.400,2.300,1,10.900,2.000,2=,10.850,2.000,3,11.300,2.600,1,10.200,2.300,4,65.700,1,5 May 2022
1,296323,Janko Viljoen,Tri Star,5,NONE,CSG Classic 2022,AA,1,11.250,2.300,1,10.950,2.300,4,10.950,2.300,1,10.650,2.000,7,10.950,2.600,4=,11.250,2.300,1,64.200,2,5 May 2022
2,241388,Luke Findlay,Tri Star,5,NONE,CSG Classic 2022,AA,1,10.700,2.300,2,10.500,2.000,6,10.150,2.000,8,11.200,2.000,1,10.450,2.600,9,10.700,2.300,2,63.550,3,5 May 2022
3,239816,Ashton Calveley,Gymnastics Nelson,5,NONE,CSG Classic 2022,AA,1,9.950,2.000,6,11.100,2.300,2,10.900,2.000,2=,10.600,2.000,8,11.000,2.600,2=,9.950,2.000,6,62.900,4,5 May 2022
4,533815,Robson McKee,Invercargill Gymnastics Clu…,5,NONE,CSG Classic 2022,AA,1,8.050,1.300,12,9.350,1.000,15,10.900,2.300,2=,10.750,2.000,5,10.900,2.300,6=,8.050,1.300,12,61.100,5,5 May 2022
5,296549,Ollie Macpherson,Hutt Valley Gymnastics,5,NONE,CSG Classic 2022,AA,1,8.350,1.000,11,10.350,2.000,9,10.650,2.300,5,10.550,2.000,9=,10.250,2.300,11,8.350,1.000,11,60.150,6,5 May 2022
6,272951,Andre Hall,Christchurch School of Gymn…,5,NONE,CSG Classic 2022,AA,1,10.100,2.000,5,10.800,2.000,5,8.800,1.000,14,10.900,2.000,2,10.550,2.600,8,10.100,2.000,5,60.050,7,5 May 2022
7,184417,Adam Lim,Olympia Gymsports,5,NONE,CSG Classic 2022,AA,1,8.750,2.000,10,11.050,2.300,3,10.100,2.000,9=,10.500,2.000,11=,9.700,1.300,13,8.750,2.000,10,58.850,8,5 May 2022
8,223581,Eden Brummitt,Dunedin Gymnastics Academy,5,NONE,CSG Classic 2022,AA,1,9.750,2.000,7,10.100,2.000,11,10.250,2.000,7,10.250,2.000,15,9.050,1.000,15,9.750,2.000,7,58.000,9,5 May 2022
9,208457,Oliver Urquhart,Affinity Gymnastics Academy,5,NONE,CSG Classic 2022,AA,1,10.250,2.000,3,9.250,1.000,16,9.850,2.000,11,10.000,2.000,18,10.350,2.600,10,10.250,2.000,3,56.450,10,5 May 2022
10,192729,Edward Lingard,Hutt Valley Gymnastics,5,NONE,CSG Classic 2022,AA,1,9.500,2.000,8,10.300,2.000,10,10.450,2.000,6,10.050,2.000,17,9.300,1.000,14,9.500,2.000,8,55.850,11,5 May 2022
11,531889,Corey Reed,Counties Manukau,5,NONE,CSG Classic 2022,AA,1,8.950,2.000,9,10.450,2.000,7=,9.000,2.000,12,10.500,2.000,11=,7.400,1.000,18,8.950,2.000,9,53.850,12,5 May 2022
12,189457,Syoma Ruban,Tri Star,5,NONE,CSG Classic 2022,AA,1,5.950,0.000,17,7.400,2.000,19,10.100,2.000,9=,10.200,2.000,16,9.850,2.600,12,5.950,0.000,17,53.300,13,5 May 2022
13,155805,Nate Gore,Tri Star,5,NONE,CSG Classic 2022,AA,1,7.700,1.000,13=,9.150,2.000,17,8.700,1.000,15,10.400,2.000,13,8.250,1.300,17,7.700,1.000,13=,53.200,14,5 May 2022
14,272558,Rory Marsden,Hutt Valley Gymnastics,5,NONE,CSG Classic 2022,AA,1,7.500,0.000,15,9.750,1.300,12=,7.950,1.000,19,10.700,2.000,6,8.750,1.300,16,7.500,0.000,15,52.300,15,5 May 2022
15,110684,Fletcher Cowan,Capital Gymnastics,5,NONE,CSG Classic 2022,AA,1,DNS,DNS,DNS,8.600,2.000,18,8.600,1.000,16,10.800,2.000,4,10.950,2.300,4=,DNS,DNS,DNS,DNF,-,5 May 2022
16,559825,Jaxson Warner,Christchurch School of Gymn…,5,NONE,CSG Classic 2022,AA,1,DNS,DNS,DNS,9.750,2.000,12=,8.400,1.000,17,10.350,2.000,14,11.000,2.300,2=,DNS,DNS,DNS,DNF,-,5 May 2022
17,226421,Kamran Rahman,Capital Gymnastics,5,NONE,CSG Classic 2022,AA,1,7.700,1.000,13=,10.450,2.000,7=,8.100,1.000,18,10.550,2.000,9=,DNS,DNS,DNS,7.700,1.000,13=,DNF,-,5 May 2022
18,202192,Liam Bowles,Tri Star,5,NONE,CSG Classic 2022,AA,1,6.250,0.000,16,9.550,2.000,14,8.950,1.000,13,DNS,DNS,DNS,10.900,2.300,6=,6.250,0.000,16,DNF,-,5 May 2022
