,gnz-id,name,club,step,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,ph-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,vt-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-score,aa-rank,date-created
0,662718,Caleb Bohnen,Hutt Valley Gymnastics,2,NONE,Capital Juniors 2022,AA,1,11.300,2.000,1,11.000,2.000,1,11.400,2.000,1,11.100,2.000,4,11.500,2.000,1,11.300,2.000,1,66.700,1,23 May 2022
1,566082,Zavier Alcomendras,Hutt Valley Gymnastics,2,NONE,Capital Juniors 2022,AA,1,11.000,2.000,4,9.600,2.000,4=,11.300,2.000,2,10.800,2.000,5=,11.200,2.000,2,11.000,2.000,4,64.600,2,23 May 2022
2,578272,Jimmy Wier,Manawatu Gymsports,2,NONE,Capital Juniors 2022,AA,1,11.100,2.000,2=,9.600,2.000,4=,10.400,2.000,5,11.400,2.000,2,10.600,2.000,5,11.100,2.000,2=,62.100,3,23 May 2022
3,619851,Liam Yamazaki,Hutt Valley Gymnastics,2,NONE,Capital Juniors 2022,AA,1,11.100,2.000,2=,9.400,2.000,6=,11.200,2.000,3,11.500,2.000,1,9.600,2.000,8,11.100,2.000,2=,61.700,4,23 May 2022
4,221006,Felix Wong,Capital Gymnastics,2,NONE,Capital Juniors 2022,AA,1,9.300,1.000,11,10.800,2.000,2,9.500,2.000,9,11.300,2.000,3,10.800,2.000,3=,9.300,1.000,11,61.600,5,23 May 2022
5,586804,Quin Richardson,Hutt Valley Gymnastics,2,NONE,Capital Juniors 2022,AA,1,10.700,2.000,5,7.000,2.000,11,10.900,2.000,4,10.600,2.000,7,10.800,2.000,3=,10.700,2.000,5,60.300,6,23 May 2022
6,572252,Sam Dunn,Manawatu Gymsports,2,NONE,Capital Juniors 2022,AA,1,10.400,2.000,6,9.400,2.000,6=,10.300,2.000,6,10.000,2.000,8=,10.400,2.000,6,10.400,2.000,6,59.300,7,23 May 2022
7,576007,Amias Vis,Manawatu Gymsports,2,NONE,Capital Juniors 2022,AA,1,10.200,2.000,8,8.500,2.000,9,9.700,2.000,7,10.800,2.000,5=,9.700,2.000,7,10.200,2.000,8,59.000,8,23 May 2022
8,543488,Colby Kennely,Manawatu Gymsports,2,NONE,Capital Juniors 2022,AA,1,10.300,2.000,7,10.700,2.000,3,9.300,2.000,10,10.000,2.000,8=,9.200,2.000,10,10.300,2.000,7,55.900,9,23 May 2022
9,645752,Graham Daniels,Manawatu Gymsports,2,NONE,Capital Juniors 2022,AA,1,9.900,2.000,9,9.200,2.000,8,9.600,2.000,8,8.800,2.000,11,9.300,2.000,9,9.900,2.000,9,54.600,10,23 May 2022
10,243386,Toby Carpenter,Manawatu Gymsports,2,NONE,Capital Juniors 2022,AA,1,9.700,2.000,10,7.100,2.000,10,8.800,2.000,11,9.600,2.000,10,8.500,2.000,11,9.700,2.000,10,49.700,11,23 May 2022
