,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,612105,Jed Comision,Franklin,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,10.5,2.0,8.5,0,0,0,10.65,2,8.65,10.4,2,8.4,10.8,2,8.8,11.35,2,9.35,53.700,,2022-06-11
1,685826,Cooper Crane,Franklin,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-11
2,636450,Nate Edhouse,Franklin,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,9.95,2.0,7.95,0,0,0,11.15,2,9.15,10.9,2,8.9,10.25,2,8.25,10.9,2,8.9,53.150,,2022-06-11
3,621787,Hunter Wood,Franklin,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,10.1,2.0,8.1,0,0,0,10.65,2,8.65,10.5,2,8.5,9.05,2,7.05,10.3,2,8.3,50.600,,2022-06-11
4,648847,Brody Morris,Franklin,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-11
5,605649,Hunter Robson,Hamilton,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,9.55,2.0,7.55,0,0,0,10.25,2,8.25,10.5,2,8.5,10.0,2,8.0,10.15,2,8.15,50.450,,2022-06-11
6,600538,Braxton Muncaster,Huntly,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,10.7,2.0,8.7,0,0,0,10.65,2,8.65,10.65,2,8.65,10.8,2,8.8,11.0,2,9.0,53.800,,2022-06-11
7,687571,Josiah Tutahione,Huntly,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,10.75,2.0,8.75,0,0,0,11.05,2,9.05,11.1,2,9.1,9.25,2,7.25,10.9,2,8.9,53.050,,2022-06-11
8,626662,Patrick Archer,Huntly,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,9.7,2.0,7.7,0,0,0,9.3,2,7.3,9.45,2,7.45,8.5,2,6.5,10.15,2,8.15,47.100,,2022-06-11
9,634472,Connor Tomelty,Huntly,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,10.45,2.0,8.45,0,0,0,10.75,2,8.75,9.95,2,7.95,10.5,2,8.5,10.7,2,8.7,52.350,,2022-06-11
10,607125,Keegan Van Otterdyk,Huntly,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,9.2,2.0,7.2,0,0,0,10.05,2,8.05,9.95,2,7.95,8.4,1,7.4,10.3,2,8.3,47.900,,2022-06-11
11,648952,Kaleb Budd,Mt Tauhara,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,10.75,1.5,9.25,0,0,0,11.15,2,9.15,11.2,2,9.2,11.3,2,9.3,10.35,2,8.35,54.750,,2022-06-11
12,688713,Peter Rushton,Mt Tauhara,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,9.05,1.5,7.55,0,0,0,9.15,2,7.15,10.6,2,8.6,9.1,2,7.1,9.95,2,7.95,47.850,,2022-06-11
13,671433,Oliver Applegate,Mt Tauhara,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,9.35,2.0,7.35,0,0,0,10.0,2,8.0,10.25,2,8.25,9.2,2,7.2,8.8,2,6.8,47.600,,2022-06-11
14,660462,Louie Gribben,Mt Tauhara,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,5.4,1.0,4.4,0,0,0,9.8,2,7.8,9.4,2,7.4,8.55,2,6.55,8.7,2,6.7,41.850,,2022-06-11
15,548157,Conrad Thorman,Tri Star,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,10.8,2.0,8.8,0,0,0,10.65,2,8.65,10.4,2,8.4,11.05,2,9.05,11.1,2,9.1,54.000,,2022-06-11
16,610295,Hiroki Chueh,Tri Star,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,10.6,2.0,8.6,0,0,0,11.4,2,9.4,10.05,2,8.05,10.35,2,8.35,10.7,2,8.7,53.100,,2022-06-11
17,257285,Matvey Ruban,Tri Star,Level 1,NONE,Hamilton City Junior Artistic Competition 2022,All-around,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-11
