,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,243386,Toby Carpenter,Manawatu Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",8.35,2,6.35,5.65,0,5.65,7.5,2,5.5,8.15,2,6.15,9.5,2,7.5,6.5,2,4.5,45.650,,2022-06-25
1,524491,Dylan Oatway,Manawatu Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",8.95,2,6.95,10.1,2,8.1,9.9,2,7.9,8.05,1,7.05,10.9,2,8.9,8.9,2,6.9,56.800,,2022-06-25
2,524492,Llewellyn Oatway,Manawatu Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",9.6,2,7.6,10.45,2,8.45,10.25,2,8.25,9.0,2,7.0,11.4,2,9.4,9.7,2,7.7,60.400,,2022-06-25
3,543488,Colby Kennerley,Manawatu Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",9.65,2,7.65,11.1,2,9.1,9.7,2,7.7,9.5,2,7.5,10.6,2,8.6,9.0,2,7.0,59.550,,2022-06-25
4,576007,Amias Vis,Manawatu Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",10.8,2,8.8,9.9,2,7.9,10.2,2,8.2,9.35,2,7.35,10.9,2,8.9,10.5,2,8.5,61.650,,2022-06-25
5,643422,J.T Hati-moeau,Manawatu Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",9.45,2,7.45,10.4,2,8.4,9.3,2,7.3,10.35,2,8.35,10.45,2,8.45,9.6,2,7.6,59.550,,2022-06-25
6,509347,Night Geary,Hutt Valley Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",11.1,2,9.1,10.25,2,8.25,11.25,2,9.25,10.5,2,8.5,11.4,2,9.4,10.8,2,8.8,65.300,,2022-06-25
7,296457,Alex Chen,Hutt Valley Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",10.55,2,8.55,10.3,2,8.3,11.05,2,9.05,10.9,2,8.9,11.3,2,9.3,10.4,2,8.4,64.500,,2022-06-25
8,281405,Kavish Bodalia,Hutt Valley Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",9.8,2,7.8,11.7,2,9.7,9.55,2,7.55,9.45,2,7.45,11.3,2,9.3,8.7,1,7.7,60.500,,2022-06-25
9,619851,Liam Yamazaki,Hutt Valley Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",10.45,2,8.45,11.1,2,9.1,10.05,2,8.05,10.4,2,8.4,10.9,2,8.9,10.55,2,8.55,63.450,,2022-06-25
10,635797,Tiago Meikle,Hutt Valley Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",9.6,2,7.6,11.15,2,9.15,10.35,2,8.35,10.1,2,8.1,11.35,2,9.35,10.45,2,8.45,63.000,,2022-06-25
11,566082,Zavier Alcomendras,Hutt Valley Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",10.55,2,8.55,11.35,2,9.35,11.3,2,9.3,11.35,2,9.35,11.7,2,9.7,11.15,2,9.15,67.400,,2022-06-25
12,586804,Quin Richardson,Hutt Valley Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",9.65,2,7.65,10.75,2,8.75,10.95,2,8.95,11.0,2,9.0,11.2,2,9.2,10.95,2,8.95,64.500,,2022-06-25
13,548347,Christian Bonandji Devane Dju,Kapiti Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",9.05,2,7.05,8.8,1,7.8,10.25,2,8.25,9.65,2,7.65,11.35,2,9.35,10.0,2,8.0,59.100,,2022-06-25
14,649513,Daniel Armstrong,Kapiti Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",10.1,2,8.1,9.9,2,7.9,9.9,2,7.9,11.1,2,9.1,10.9,2,8.9,7.2,1,6.2,59.100,,2022-06-25
15,575779,Edward (Teddy) Brian,Kapiti Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",8.95,2,6.95,10.95,2,8.95,10.45,2,8.45,9.45,2,7.45,10.35,2,8.35,7.8,1,6.8,57.950,,2022-06-25
16,586890,Liam Davidson,Kapiti Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",10.85,2,8.85,10.75,2,8.75,9.65,2,7.65,10.75,2,8.75,10.7,2,8.7,9.75,2,7.75,62.450,,2022-06-25
17,621265,Luke Jones,Kapiti Gymnastics,Level 2,NONE,Kapiti Championships,"AA, Team, App",10.4,2,8.4,10.95,2,8.95,10.5,2,8.5,9.05,2,7.05,11.15,2,9.15,11.15,2,9.15,63.200,,2022-06-25
