,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,556877,Matthew Hamilton-Cross,Affinity Gymnastics Academy,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.566,2,8.566,11.3,2,9.3,10.833,2,8.833,10.233,2,8.233,10.9,2,8.9,10.233,2,8.233,64.065,,2022-07-02
1,643091,Theo Ferdinand,Affinity Gymnastics Academy,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.333,2,8.333,9.733,2,7.733,10.766,2,8.766,10.7,2,8.7,11.166,2,9.166,9.466,1,8.466,62.164,,2022-07-02
2,574512,Thomas Wu,Affinity Gymnastics Academy,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.733,2,8.733,10.266,2,8.266,10.133,2,8.133,10.333,2,8.333,10.6,2,8.6,9.733,2,7.733,61.798,,2022-07-02
3,531175,Darcy Quinlan,Christchurch School of Gymnastics,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.666,2,8.666,10.2,2,8.2,10.733,2,8.733,10.733,2,8.733,9.2,2,7.2,10.033,2,8.033,61.565,,2022-07-02
4,565378,Caleb Danielson,Christchurch School of Gymnastics,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",9.866,2,7.866,10.766,2,8.766,11.066,2,9.066,11.033,2,9.033,11.233,2,9.233,10.8,2,8.8,64.764,,2022-07-02
5,272918,Eli Uden,Christchurch School of Gymnastics,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",9.133,2,7.133,9.266,2,7.266,10.166,2,8.166,10.6,2,8.6,10.733,2,8.733,10.033,2,8.033,59.931,,2022-07-02
6,592942,Theodore Gilson,Christchurch School of Gymnastics,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.366,2,8.366,10.133,2,8.133,11.1,2,9.1,11.033,2,9.033,10.966,2,8.966,10.566,2,8.566,64.164,,2022-07-02
7,597609,Jayden Lai,Christchurch School of Gymnastics,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.766,2,8.766,10.266,2,8.266,10.8,2,8.8,10.8,2,8.8,11.2,2,9.2,10.566,2,8.566,64.398,,2022-07-02
8,284354,Blake Hollows,Dunedin Gymnastics Academy,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",9.2,2,7.2,9.333,2,7.333,9.8,2,7.8,10.233,2,8.233,10.566,2,8.566,9.666,2,7.666,58.798,,2022-07-02
9,270509,Charlie Hooson,Dunedin Gymnastics Academy,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.6,2,8.6,8.9,2,6.9,10.8,2,8.8,9.866,2,7.866,10.7,2,8.7,10.633,2,8.633,61.499,,2022-07-02
10,263577,Noah Henderson,Dunedin Gymnastics Academy,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",8.9,2,6.9,10.133,2,8.133,9.166,2,7.166,11.0,2,9.0,10.166,2,8.166,9.2,2,7.2,58.565,,2022-07-02
11,524462,Roman Wheeler,Dunedin Gymnastics Academy,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",9.1,2,7.1,7.133,0,7.133,9.9,2,7.9,9.166,2,7.166,9.633,2,7.633,9.233,1,8.233,54.165,,2022-07-02
12,513887,Miguel Blancia,Olympia Gymnastic Club,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.466,2,8.466,10.733,2,8.733,11.5,2,9.5,10.933,2,8.933,11.333,2,9.333,11.333,2,9.333,66.298,,2022-07-02
13,597615,Lachlan Pratt,Olympia Gymnastic Club,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.633,2,8.633,11.5,2,9.5,11.7,2,9.7,10.8,2,8.8,11.733,2,9.733,10.9,2,8.9,67.266,,2022-07-02
14,550028,Eli Lim,Olympia Gymnastic Club,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.9,2,8.9,11.233,2,9.233,11.6,2,9.6,11.1,2,9.1,11.566,2,9.566,10.766,2,8.766,67.165,,2022-07-02
15,273749,Charlie Quinn,Olympia Gymnastic Club,Level 2,NONE,South Island Gymnastics Championships 2022,"AA, Apps and Teams",10.333,2,8.333,10.333,2,8.333,11.266,2,9.266,10.366,2,8.366,11.133,2,9.133,11.266,2,9.266,64.697,,2022-07-02
