gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
262238,Max Conlon,Hamilton City Gymnastics,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.000,0,2023-04-01T00:30:07.215Z
523501,Samuel Williams,Hamilton City Gymnastics,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,10.3,2.0,8.3,0,1,11.25,2.3,8.95,0,2,10.65,2.0,8.65,0,3,10.65,2,8.65,0,11,11.0,2.6,8.4,0,2,8.5,2.0,6.5,0,10,62.350,2,2023-04-01T00:19:54.934Z
293998,Chase Stewart,Howick Gymnastic Club,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,9.15,2.0,7.15,0,3,10.7,2.0,8.7,0,3,8.95,1.0,7.95,0,12,10.75,2,8.75,0,8,7.75,0.0,7.75,0,10,8.65,1.0,7.65,0,7,55.950,8,2023-04-01T00:23:22.458Z
189252,Jordan Wade,Howick Gymnastic Club,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,7.2,0.0,7.2,0,12,3.0,1.0,2.0,0,14,9.25,1.3,7.95,0,8,10.55,2,8.55,0,12,7.55,0.0,7.55,0,12,8.9,1.0,7.9,0,6,46.450,14,2023-04-01T00:19:02.595Z
600551,Johnsen Cresswell,Huntly Gymnastics Club,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,7.0,0.0,7.0,0,14,8.4,2.0,6.4,0,8,7.75,1.0,6.75,0,13,10.4,2,8.4,0,13,7.65,1.0,6.65,0,11,6.35,0.0,6.35,0,14,47.550,12,2023-04-01T00:21:03.775Z
287372,Jack Crawford,Huntly Gymnastics Club,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,8.55,1.0,7.55,0,8,6.95,2.0,4.95,0,11,9.15,1.0,8.15,0,10,11.05,2,9.05,0,5,6.75,0.0,6.75,0,14,7.65,0.0,7.65,0,11,50.100,10,2023-04-01T00:21:28.770Z
600550,Vincent Cresswell,Huntly Gymnastics Club,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,7.3,1.0,6.3,0,11,7.15,2.0,5.15,0,10,10.1,2.3,7.8,0,4,10.7,2,8.7,0,10,8.1,1.0,7.1,0,9,6.7,0.0,6.7,0,13,50.050,11,2023-04-01T00:18:21.872Z
287367,Ben Biddulph,Huntly Gymnastics Club,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,9.0,1.3,7.7,0,5,5.95,2.0,3.95,0,12,10.7,2.3,8.4,0,2,11.05,2,9.05,0,5,9.9,2.3,7.6,0,3,10.35,2.3,8.05,0,1,56.950,6,2023-04-01T00:19:25.193Z
531896,Caden Thomson,Counties Manukau Gymsport,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,7.15,0.0,7.15,0,13,5.25,2.0,3.25,0,13,7.65,0.0,7.65,0,14,10.75,2,8.75,0,8,7.45,1.0,6.45,0,13,8.65,2.0,6.65,0,7,46.900,13,2023-04-01T00:25:16.924Z
500364,Shin Tanaka,Counties Manukau Gymsport,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,8.25,0.0,8.25,0,10,8.4,2.0,6.4,0,8,9.25,1.0,8.25,0,8,11.35,2,9.35,0,2,9.8,2.0,7.8,0,4,8.55,1.0,7.55,0,9,55.600,9,2023-04-01T00:26:24.487Z
301736,Henru Viljoen,Tri Star Gymnastics,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,8.85,1.3,7.55,0,6,9.55,2.0,7.55,0,6,9.15,1.0,8.15,0,10,10.4,2,8.4,0,13,8.95,1.3,7.65,0,8,9.4,2.0,7.4,0,4,56.300,7,2023-04-01T00:21:00.673Z
201184,Oscar Dellow,Tri Star Gymnastics,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,10.2,2.0,8.2,0,2,9.1,2.0,7.1,0,7,9.5,2.0,7.5,0,7,10.9,2,8.9,0,7,9.5,1.3,8.2,0,5,9.9,2.0,7.9,0,3,59.100,4,2023-04-01T00:22:29.321Z
184985,Eric Rushton,ARGOS Gymnastics Club,Level 5,NONE,2023 ARGOS Senior Competition,All-Around,9.1,1.3,7.8,0,4,11.35,2.3,9.05,0,1,10.05,2.0,8.05,0,5,11.4,2,9.4,0,1,11.35,2.3,9.05,0,1,9.35,2.0,7.35,0,5,62.600,1,2023-04-01T00:22:54.057Z
