gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
110684,Fletcher Cowan,Capital Gymnastics,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,7.466,0.0,7.566,0.1,9,9.133,2.0,7.133,0,7,9.833,1.3,8.533,0,5,9.8,2.0,7.8,0.0,10,8.6,0.3,8.3,0,9,10.3,2.0,8.3,0,5,55.132,9,2023-04-15T01:17:25.347Z
226421,Kamran Rahman,Capital Gymnastics,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,6.8,0.0,6.8,0.0,10,9.566,2.0,7.566,0,5,8.9,1.0,7.9,0,9,10.733,2.0,8.733,0.0,9,8.3,1.3,7.0,0,10,10.133,2.0,8.133,0,6,54.432,10,2023-04-15T01:19:51.500Z
559825,Jaxson Warner,Christchurch School of Gymnastics,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.8,2.0,7.8,0.0,3,9.3,2.0,7.3,0,6,8.966,1.3,7.666,0,8,11.4,2.8,8.6,0.0,5,10.666,2.3,8.366,0,2,7.8,1.0,6.8,0,10,57.932,7,2023-04-15T01:14:51.377Z
270341,Preston Wheeler,Dunedin Gymnastics Academy,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,10.3,2.0,8.3,0.0,1,10.833,2.0,8.833,0,1,10.9,2.3,8.6,0,1,11.466,2.8,8.666,0.0,4,10.666,2.6,8.066,0,2,10.4,1.0,9.4,0,4,64.565,1,2023-04-15T01:21:58.638Z
281456,Grayson Sullivan-Jones,Manawatu GymSports,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,8.9,2.6,6.3,0.0,6,7.6,1.0,6.6,0,10,7.833,1.0,6.833,0,10,11.733,2.8,8.933,0.0,2,9.233,2.3,6.933,0,8,9.933,2.3,7.633,0,7,55.232,8,2023-04-15T01:22:30.466Z
550170,Armant Beukes,Manawatu GymSports,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.266,2.3,6.966,0.0,4,8.3,2.0,6.3,0,9,9.866,2.3,7.566,0,4,12.0,2.8,9.2,0.0,1,10.9,2.6,8.3,0,1,10.8,2.6,8.2,0,2,61.132,3,2023-04-15T01:21:08.532Z
239816,Ashton Calveley,Nelson Gymnastics Club,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,8.366,2.3,6.066,0.0,8,10.133,2.3,7.833,0,3,10.1,2.3,7.8,0,2,10.9,2.8,8.4,0.3,8,10.466,2.6,7.866,0,4,9.666,2.0,7.666,0,8,59.631,4,2023-04-15T01:12:46.995Z
202192,Liam Bowles,Tri Star Gymnastics,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,9.1,2.0,7.1,0.0,5,9.833,2.0,7.833,0,4,9.2,2.0,7.2,0,7,11.066,2.0,9.066,0.0,7,10.2,2.3,7.9,0,5,9.066,2.0,7.066,0,9,58.465,6,2023-04-15T01:24:42.616Z
189457,Syoma Ruban,Tri Star Gymnastics,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,8.766,2.0,6.766,0.0,7,8.666,2.0,6.666,0,8,9.933,2.0,7.933,0,3,11.133,2.0,9.133,0.0,6,10.166,2.3,7.866,0,6,10.666,2.0,8.666,0,3,59.330,5,2023-04-15T01:26:12.567Z
296323,Janko Viljoen,Tri Star Gymnastics,LEVEL 6 - Day 1,NONE,CSG Classic 2023,All Around and Team,10.2,2.3,7.9,0.0,2,10.466,2.0,8.466,0,2,9.466,2.0,7.466,0,6,11.666,2.8,8.866,0.0,3,9.6,2.0,7.6,0,7,11.033,2.0,9.033,0,1,62.431,2,2023-04-15T01:23:36.316Z
