gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
554063,Aidan Bungard,Affinity Gymnastics Academy,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",8.4,1.0,7.4,0,9,9.4,2.0,7.4,0,8,9.0,1.3,7.7,0,10,10.65,2,8.65,0,7,10.0,2.0,8.0,0,6,10.6,2.0,8.6,0,3,58.050,9,2023-05-27T05:28:51.670Z
236295,Alexander Strydom,Affinity Gymnastics Academy,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.000,0,2023-05-27T05:21:02.305Z
236296,Xavier Strydom,Affinity Gymnastics Academy,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.000,0,2023-05-27T05:21:09.610Z
304051,Caleb Baxter,Affinity Gymnastics Academy,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",7.8,1.0,6.8,0,11,10.7,2.0,8.7,0,3,10.2,1.3,8.9,0,4,10.25,2,8.25,0,8,10.1,2.0,8.1,0,5,10.5,2.0,8.5,0,4,59.550,5,2023-05-27T05:43:21.688Z
565378,Caleb Danielson,Christchurch School of Gymnastics,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",10.1,2.3,7.8,0,4,10.0,2.0,8.0,0,5,10.95,2.3,8.65,0,1,10.9,2,8.9,0,4,10.85,2.3,8.55,0,1,10.7,2.0,8.7,0,1,63.500,2,2023-05-27T05:25:21.781Z
294563,Fletcher Bain,Christchurch School of Gymnastics,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",9.9,2.0,7.9,0,6,8.95,2.0,6.95,0,10,10.35,2.0,8.35,0,3,10.7,2,8.7,0,6,10.0,2.0,8.0,0,6,9.25,2.0,7.25,0,9,59.150,6,2023-05-27T05:30:50.220Z
304236,Aukaha Keogh,Christchurch School of Gymnastics,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",10.9,2.3,8.6,0,1,11.15,2.0,9.15,0,1,10.8,2.3,8.5,0,2,11.4,2,9.4,0,2,10.85,2.3,8.55,0,1,10.45,2.3,8.15,0,5,65.550,1,2023-05-27T05:33:11.675Z
304197,Ted Jiang,Christchurch School of Gymnastics,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",10.75,2.3,8.45,0,2,10.55,2.0,8.55,0,4,9.4,2.0,7.4,0,9,10.75,2,8.75,0,5,10.7,2.3,8.4,0,3,10.2,2.0,8.2,0,6,62.350,3,2023-05-27T05:26:40.409Z
268749,Bodhi Arthur,Christchurch School of Gymnastics,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",9.85,2.3,7.55,0,7,9.55,2.0,7.55,0,7,10.1,2.3,7.8,0,5,10.25,2,8.25,0,8,9.45,2.0,7.45,0,8,9.95,2.0,7.95,0,7,59.150,6,2023-05-27T05:29:34.224Z
279226,Josiah Arndt,Christchurch School of Gymnastics,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",8.75,2.0,6.75,0,8,9.0,2.3,6.7,0,9,9.45,2.3,7.15,0,8,9.9,2,7.9,0,11,9.1,2.0,7.1,0,10,9.8,2.3,7.5,0,8,56.000,10,2023-05-27T05:28:11.033Z
279436,Leon Ross,Christchurch School of Gymnastics,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",10.1,2.3,7.8,0,4,9.95,2.0,7.95,0,6,9.75,2.0,7.75,0,7,10.0,2,8.0,0,10,9.45,2.0,7.45,0,8,9.05,2.0,7.05,0,10,58.300,8,2023-05-27T05:32:03.914Z
705976,Alex Biro,Gymnastics Nelson,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",10.4,2.3,8.1,0,3,8.1,2.0,6.1,0,11,9.9,2.0,7.9,0,6,11.5,2,9.5,0,1,10.55,2.0,8.55,0,4,10.65,2.0,8.65,0,2,61.100,4,2023-05-27T05:27:34.084Z
208407,Michael Chiu,Olympia Gymnastic Sports,LEVEL 4,NONE,Canterbury Intermediate and Senior Artistic Championships  2023,"All Around, Apparatus & Teams",8.25,1.0,7.25,0,10,10.85,2.0,8.85,0,2,8.7,1.0,7.7,0,11,11.25,2,9.25,0,3,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,39.050,0,2023-05-27T05:22:05.343Z
