,gnz-id,name,club,step,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,ph-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,vt-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-score,aa-rank,date-created
0,302525,Tom Mayer,OMNI,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,10.850,2.300,1,9.950,2.000,3,11.250,2.300,1,11.250,2.000,1=,11.600,2.300,1,10.850,2.300,1,65.500,1,24 April 2022
1,221256,Layton Mace,Hamilton,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,8.500,1.000,5,9.250,2.000,5,10.300,2.300,2,11.100,2.000,3=,9.250,2.000,6,8.500,1.000,5,58.650,2,24 April 2022
2,296935,Deklan Waites,ARGOS,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,8.800,1.000,3,10.100,2.000,1,8.150,1.000,9,11.100,2.000,3=,9.450,2.000,5,8.800,1.000,3,57.300,3,24 April 2022
3,600551,Johnsen Cresswell,Huntly,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,6.750,1.000,10,10.000,2.000,2,8.550,1.000,8,10.350,2.000,8,9.750,2.000,3,6.750,1.000,10,56.000,4,24 April 2022
4,240167,Jacob Solly,Hamilton,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,8.700,1.000,4,8.200,2.000,7,9.850,2.300,3,11.250,2.000,1=,9.150,2.000,7,8.700,1.000,4,55.700,5,24 April 2022
5,286703,Jack Hamilton,Huntly,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,9.500,2.000,2,7.450,1.000,9,7.750,1.000,10,10.500,2.000,5,9.650,2.000,4,9.500,2.000,2,55.050,6,24 April 2022
6,141546,Josh Gallagher,Hamilton,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,7.600,0.000,9,9.750,2.000,4,8.650,2.000,6=,10.450,2.000,6,9.000,2.000,8,7.600,0.000,9,54.800,7,24 April 2022
7,246831,Monty Christodoulou,OMNI,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,8.100,2.000,6,7.050,2.000,10,9.200,2.000,4,10.250,2.000,9,9.900,2.000,2,8.100,2.000,6,52.900,8,24 April 2022
8,258473,Louis Hoad,Hamilton,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,8.000,1.000,7,9.100,1.000,6,8.650,2.000,6=,10.400,2.000,7,7.050,1.000,10,8.000,1.000,7,52.500,9,24 April 2022
9,287957,Reilly Kendrick,OMNI,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,5.600,0.000,11,7.900,2.000,8,8.900,2.300,5,10.050,2.000,10,6.950,2.000,11,5.600,0.000,11,46.850,10,24 April 2022
10,554756,Luka Donaldson,OMNI,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,7.750,0.000,8,4.800,2.000,11,7.550,2.000,11,9.500,2.000,11,8.450,2.000,9,7.750,0.000,8,44.500,11,24 April 2022
11,230268,Abel Standen,ARGOS,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,24 April 2022
12,262238,Max Conlon,Hamilton,4,NONE,Hamilton City Senior Artistic Competition 2022,AA,,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,-,24 April 2022
