,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,557264,Leroy Hutton,Hastings,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,10.45,2,8.45,10.5,2,8.5,9.8,2,7.8,11.3,2,9.3,11.0,2,9.0,10.65,2,8.65,63.700,,2022-06-18
1,557878,Austin Garside,Hastings,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,11.15,2,9.15,10.2,2,8.2,9.6,2,7.6,9.65,2,7.65,10.55,2,8.55,10.85,2,8.85,62.000,,2022-06-18
2,524491,Dylan Oatway,Manawatu,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,9.65,2,7.65,10.85,2,8.85,9.95,2,7.95,9.35,2,7.35,10.15,2,8.15,7.95,2,5.95,57.900,,2022-06-18
3,524492,Llewellyn Oatway,Manawatu,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
4,543488,Colby Kennerley,Manawatu,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
5,572252,Sam Dunn,Manawatu,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,10.05,2,8.05,9.95,2,7.95,10.5,2,8.5,11.05,2,9.05,11.45,2,9.45,9.4,2,7.4,62.400,,2022-06-18
6,576007,Amias Vis,Manawatu,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
7,643422,J.T Hati-moeau,Manawatu,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
8,645752,Graham Daniels,Manawatu,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,9.95,2,7.95,11.0,2,9.0,9.15,2,7.15,8.75,2,6.75,10.05,1,9.05,7.0,2,5.0,55.900,,2022-06-18
9,562024,Albie Hall,OMNI,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,10.1,2,8.1,8.05,2,6.05,10.35,2,8.35,8.75,2,6.75,11.4,2,9.4,8.1,2,6.1,56.750,,2022-06-18
10,601471,Daniel McPhee,OMNI,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,8.85,2,6.85,6.35,1,5.35,9.05,2,7.05,9.25,2,7.25,9.7,2,7.7,8.1,1,7.1,51.300,,2022-06-18
11,598985,Dylan Hicks,OMNI,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
12,563358,Max Symonds,OMNI,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000,,2022-06-18
13,627019,Olly Anderson,OMNI,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,8.1,1,7.1,6.1,1,5.1,9.35,2,7.35,9.65,2,7.65,11.05,2,9.05,8.7,2,6.7,52.950,,2022-06-18
14,538015,Owen Ranston,OMNI,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,8.8,2,6.8,7.05,1,6.05,9.9,2,7.9,10.5,2,8.5,9.7,2,7.7,8.9,2,6.9,54.850,,2022-06-18
15,589396,Robert Jensen,OMNI,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,9.9,2,7.9,4.4,0,4.4,9.9,2,7.9,8.4,2,6.4,9.25,1,8.25,7.25,1,6.25,49.100,,2022-06-18
16,583707,Tyler Hall,OMNI,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,9.35,2,7.35,8.2,2,6.2,9.35,2,7.35,8.75,2,6.75,10.45,2,8.45,6.6,0,6.6,52.700,,2022-06-18
17,203607,Hadleigh  Smith,Whanganui,Level 2,NONE,Hastings Gymnastics Junior Competition 2022,All-around,11.1,2,9.1,9.95,2,7.95,10.5,2,8.5,10.5,2,8.5,10.2,2,8.2,9.1,1,8.1,61.350,,2022-06-18
