gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
221006,Felix Wong,Capital Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",9.55,2,7.55,0,3,11.5,2,9.5,0,1,10.75,2,8.75,0,2,11.75,2,9.75,0,1,10.7,2,8.7,0,4,10.65,2,8.65,0,5,64.900,2,2023-05-07T01:55:19.598Z
510352,Cameron Leaver,Nelson Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",9.25,2,7.25,0,6,11.1,2,9.1,0,3,10.15,2,8.15,0,5,10.2,2,8.2,0,12,10.9,2,8.9,0,2,10.7,2,8.7,0,3,62.300,3,2023-05-07T02:13:19.313Z
686865,Ryan  Capell,Nelson Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",10.15,2,8.15,0,2,11.4,2,9.4,0,2,11.05,2,9.05,0,1,11.6,2,9.6,0,2,11.8,2,9.8,0,1,11.0,2,9.0,0,2,67.000,1,2023-05-07T02:14:46.420Z
557438,Xavier Fowler,Nelson Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",9.1,2,7.1,0,8,10.3,2,8.3,0,6,10.1,2,8.1,0,6,11.3,2,9.3,0,7,9.1,2,7.1,0,11,10.3,2,8.3,0,8,60.200,7,2023-05-07T02:16:07.343Z
304463,Ashton  Walker,Nelson Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",8.35,2,6.35,0,10,9.65,2,7.65,0,11,10.25,2,8.25,0,4,11.35,2,9.35,0,6,10.05,2,8.05,0,7,11.1,2,9.1,0,1,60.750,4,2023-05-07T02:18:01.368Z
281246,Adam Fisher,Hutt Valley,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",9.15,2,7.15,0,7,10.25,2,8.25,0,7,8.4,2,6.4,0,11,11.1,2,9.1,0,9,8.2,1,7.2,0,15,8.95,2,6.95,0,12,56.050,12,2023-05-07T01:56:51.595Z
573192,Elliott Towers,Hutt Valley,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",10.2,2,8.2,0,1,8.25,2,6.25,0,13,8.65,2,6.65,0,10,9.95,2,7.95,0,14,9.8,2,7.8,0,8,10.55,2,8.55,0,7,57.400,10,2023-05-07T01:57:59.991Z
606958,Regan Sawyer,Hutt Valley,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",9.45,2,7.45,0,4,9.4,2,7.4,0,12,8.05,2,6.05,0,13,11.5,2,9.5,0,4,9.8,2,7.8,0,8,8.55,2,6.55,0,14,56.750,11,2023-05-07T01:59:07.905Z
284940,Colten de Ronde,Hutt Valley,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",8.8,2,6.8,0,9,10.25,2,8.25,0,7,8.4,2,6.4,0,11,11.45,2,9.45,0,5,10.75,2,8.75,0,3,10.6,2,8.6,0,6,60.250,6,2023-05-07T02:00:50.784Z
658613,Raphael Vandrey,Hutt Valley,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",9.3,2,7.3,0,5,10.0,2,8.0,0,10,10.55,2,8.55,0,3,10.2,2,8.2,0,12,10.6,2,8.6,0,5,9.8,2,7.8,0,9,60.450,5,2023-05-07T02:02:29.719Z
575779,Edward (Teddy) Brian,Kapiti Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",8.0,2,6.0,0,12,10.5,2,8.5,0,5,9.55,2,7.55,0,7,11.25,2,9.25,0,8,9.75,2,7.75,0,10,9.05,2,7.05,0,10,58.100,9,2023-05-07T02:04:33.894Z
666264,Blair  Davison,Whanganui Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",6.55,1,5.55,0,15,0.0,0,0.0,0,0,9.55,2,7.55,0,7,11.1,2,9.1,0,9,8.9,2,6.9,0,12,7.25,1,6.25,0,15,43.350,0,2023-05-07T02:19:08.858Z
635487,Oliver Brock,Whanganui Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",7.4,2,5.4,0,14,0.0,0,0.0,0,0,7.95,2,5.95,0,15,10.9,2,8.9,0,11,8.3,2,6.3,0,14,9.0,1,8.0,0,11,43.550,0,2023-05-07T02:05:11.968Z
621783,Paterson Tinsley,Whanganui Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",7.6,2,5.6,0,13,10.2,2,8.2,0,9,8.0,2,6.0,0,14,9.65,2,7.65,0,15,10.15,2,8.15,0,6,8.85,1,7.85,0,13,54.450,13,2023-05-07T02:07:50.422Z
594267,Braxton Edmonds,Whanganui Gymnastics,Level 2,NONE,MAG Wellington Champs 2023,"AA. App, Teams",8.05,2,6.05,0,11,10.85,2,8.85,0,4,9.35,2,7.35,0,9,11.6,2,9.6,0,2,8.35,1,7.35,0,13,10.7,2,8.7,0,3,58.900,8,2023-05-07T02:10:25.278Z
