gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
278646,James Kehoe Rowden,Capital Gymnastics,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",10.9,2.0,8.9,0,5,9.9,2,7.9,0,17,10.7,2.0,8.7,0,13,10.6,2,8.6,0,7,10.5,2.0,8.5,0,5,11.3,2,9.3,0,4,63.900,7,2023-05-06T23:04:42.090Z
220989,Marcus Clark,Capital Gymnastics,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",10.6,2.0,8.6,0,10,11.2,2,9.2,0,3,10.9,2.0,8.9,0,8,10.8,2,8.8,0,3,10.4,2.0,8.4,0,7,10.5,2,8.5,0,10,64.400,6,2023-05-06T23:05:01.771Z
294440,Jim Baskett,Nelson Gymnastics,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",10.0,2.0,8.0,0,20,10.0,2,8.0,0,16,11.1,2.0,9.1,0,6,10.9,2,8.9,0,2,10.1,2.0,8.1,0,13,10.0,2,8.0,0,13,62.100,11,2023-05-06T23:05:25.785Z
296457,Alex Chen,Hutt Valley,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",10.5,2.0,8.5,0,12,9.8,2,7.8,0,18,9.9,2.0,7.9,0,23,10.4,2,8.4,0,14,8.8,1.0,7.8,0,24,9.0,2,7.0,0,23,58.400,23,2023-05-06T23:10:15.999Z
509347,Night Geary,Hutt Valley,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",11.0,2.3,8.7,0,4,9.7,2,7.7,0,19,11.6,2.0,9.6,0,1,10.1,2,8.1,0,19,11.7,2.3,9.4,0,1,11.5,2,9.5,0,1,65.600,2,2023-05-06T23:11:02.318Z
566082,Zavier Alcomendras,Hutt Valley,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",10.3,2.0,8.3,0,18,11.2,2,9.2,0,3,11.2,2.0,9.2,0,2,10.3,2,8.3,0,15,11.6,2.3,9.3,0,2,11.4,2,9.4,0,2,66.000,1,2023-05-06T23:12:27.359Z
290246,Maxim Kniazev,Hutt Valley,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",10.8,2.3,8.5,0,6,10.9,2,8.9,0,8,10.9,2.0,8.9,0,8,10.2,2,8.2,0,17,9.6,2.0,7.6,0,19,11.4,2,9.4,0,2,63.800,8,2023-05-06T23:05:31.994Z
619851,Liam Yamazaki,Hutt Valley,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",10.7,2.3,8.4,0,8,10.8,2,8.8,0,9,10.9,2.0,8.9,0,8,9.7,2,7.7,0,23,10.3,2.0,8.3,0,10,10.6,2,8.6,0,9,63.000,10,2023-05-06T23:06:13.279Z
548347,Christian Bonandji Devane Dju,Kapiti Gymnastics,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",9.9,2.0,7.9,0,21,10.6,2,8.6,0,13,9.8,2.0,7.8,0,24,10.2,2,8.2,0,17,9.6,2.0,7.6,0,19,9.6,2,7.6,0,18,59.700,19,2023-05-06T23:05:54.800Z
586890,Liam  Davidson,Kapiti Gymnastics,Level 3,NONE,MAG Wellington Champs 2023,"AA, App, Teams",11.5,2.3,9.2,0,1,10.8,2,8.8,0,9,10.1,2.0,8.1,0,19,9.7,2,7.7,0,23,8.3,2.0,6.3,0,25,8.9,2,6.9,0,24,59.300,21,2023-05-06T23:06:20.383Z
