,gnz-id,name,club,step,division,competition,round-type,day,fx-total,fx-d,fx-rank,ph-total,ph-d,ph-rank,sr-total,sr-d,sr-rank,vt-total,vt-d,vt-rank,pb-total,pb-d,pb-rank,hb-total,hb-d,hb-rank,aa-score,aa-rank,date-created
0,262238,Max Conlon,Hamilton City Gymnastics,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,9.950,2.000,3,11.300,2.000,1,11.100,2.300,1,11.050,2.000,5=,10.200,2.000,1,9.950,2.000,3,64.450,1,29 May 2022
1,293998,Chase Stewart,Howick Gymnastics Club,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,10.200,2.000,2,8.550,2.000,8,10.400,2.000,3,11.350,2.000,1,9.900,2.000,3,10.200,2.000,2,61.350,2,29 May 2022
2,230268,Abel Standen,Argos Gymnastics Club,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,8.700,1.300,6,10.000,2.000,4,10.450,2.300,2,11.000,2.000,7,9.400,1.300,4,8.700,1.300,6,60.350,3,29 May 2022
3,277245,Fletcher du Toit,Howick Gymnastics Club,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,9.750,2.000,4,9.350,2.000,5,9.800,2.000,7,10.900,2.000,8,9.300,2.000,5,9.750,2.000,4,60.000,4,29 May 2022
4,296935,Deklan Waites,Argos Gymnastics Club,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,8.250,1.000,10=,9.250,2.000,6,9.550,2.000,8,11.100,2.000,4,8.750,1.300,9=,8.250,1.000,10=,57.150,5,29 May 2022
5,637935,Matthew Gouws,Howick Gymnastics Club,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,9.100,2.000,5,7.350,2.000,11,10.350,2.000,4,10.600,2.000,12,9.950,2.000,2,9.100,2.000,5,57.100,6,29 May 2022
6,258473,Louis Hoad,Hamilton City Gymnastics,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,8.600,1.000,7,10.600,2.000,2,9.950,2.300,6,11.050,2.000,5=,6.500,1.000,12,8.600,1.000,7,56.900,7,29 May 2022
7,221256,Layton Mace,Hamilton City Gymnastics,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,8.350,1.000,8=,8.850,2.000,7,10.100,2.300,5,10.800,2.000,9=,8.600,2.000,11,8.350,1.000,8=,56.850,8,29 May 2022
8,141546,Josh Gallagher,Hamilton City Gymnastics,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,7.350,0.000,12,10.300,2.000,3,8.800,2.300,11,10.800,2.000,9=,8.950,2.000,7,7.350,0.000,12,56.600,9,29 May 2022
9,286703,Jack Hamilton,Huntly Gymnastics Club,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,10.250,2.000,1,7.400,2.000,10,8.600,1.000,12,10.750,2.000,11,8.900,2.000,8,10.250,2.000,1,56.400,10,29 May 2022
10,554449,Kody Jackson,Argos Gymnastics Club,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,8.250,1.000,10=,8.350,2.000,9,8.850,2.000,10,11.200,2.000,2=,9.000,2.000,6,8.250,1.000,10=,55.100,11,29 May 2022
11,189252,Jordan Wade,Howick Gymnastics Club,4,NONE,Midlands Junior-Senior Artistic Championships 2022,AA,,8.350,1.000,8=,4.800,2.000,12,9.400,2.300,9,11.200,2.000,2=,8.750,2.000,9=,8.350,1.000,8=,52.300,12,29 May 2022
