,gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,ph-total,ph-d,ph-e,sr-total,sr-d,sr-e,vt-total,vt-d,vt-e,pb-total,pb-d,pb-e,hb-total,hb-d,hb-e,aa-score,aa-rank,date-created
0,612105,Jed Comision,Franklin Gymnastics Club,1,NONE,Northland Champs,All-around,10.6,2,8.6,0,0,0,10.9,2,8.9,11.65,2,9.65,10.75,2,8.75,10.55,2,8.55,54.450,,2022-05-28
1,636450,Nate Edhouse,Franklin Gymnastics Club,1,NONE,Northland Champs,All-around,10.65,2,8.65,0,0,0,10.35,2,8.35,11.75,2,9.75,9.6,2,7.6,10.2,2,8.2,52.550,,2022-05-28
2,621787,Hunter Wood,Franklin Gymnastics Club,1,NONE,Northland Champs,All-around,10.45,2,8.45,0,0,0,10.3,2,8.3,10.9,2,8.9,10.05,2,8.05,9.45,2,7.45,51.150,,2022-05-28
3,571494,Boris Sarcheliev,Whangarei Academy of Gymnastics,1,NONE,Northland Champs,All-around,9.2,2,7.2,0,0,0,10.4,2,8.4,10.9,2,8.9,9.75,2,7.75,10.5,2,8.5,50.750,,2022-05-28
4,300218,Hein Van de Bogaart,Whangarei Academy of Gymnastics,1,NONE,Northland Champs,All-around,8.7,2,6.7,0,0,0,8.5,2,6.5,10.8,2,8.8,8.8,2,6.8,8.0,2,6.0,44.800,,2022-05-28
5,610862,Liam Oelofse,Whangarei Academy of Gymnastics,1,NONE,Northland Champs,All-around,9.8,2,7.8,0,0,0,9.6,2,7.6,11.55,2,9.55,10.2,2,8.2,8.0,2,6.0,49.150,,2022-05-28
6,686701,Christopher Wienand,Whangarei Academy of Gymnastics,1,NONE,Northland Champs,All-around,10.3,2,8.3,0,0,0,9.4,2,7.4,9.65,2,7.65,9.35,2,7.35,8.8,2,6.8,47.500,,2022-05-28
7,575893,Declan Owen,Whangarei Academy of Gymnastics,1,NONE,Northland Champs,All-around,8.5,2,6.5,0,0,0,9.45,2,7.45,11.15,2,9.15,9.2,2,7.2,8.55,2,6.55,46.850,,2022-05-28
8,252553,Austin Wright,Whangarei Academy of Gymnastics,1,NONE,Northland Champs,All-around,7.25,2,5.25,0,0,0,6.8,1,5.8,10.1,2,8.1,9.1,2,7.1,8.15,2,6.15,41.400,,2022-05-28
9,640139,Eddie Tae-Min Wong,Whangarei Academy of Gymnastics,1,NONE,Northland Champs,All-around,8.1,2,6.1,0,0,0,9.55,2,7.55,10.35,2,8.35,9.6,2,7.6,8.55,2,6.55,46.150,,2022-05-28
