gnz-id,name,club,step,division,competition,round-type,fx-total,fx-d,fx-e,fx-n,fx-rank,ph-total,ph-d,ph-e,ph-n,ph-rank,sr-total,sr-d,sr-e,sr-n,sr-rank,vt-total,vt-d,vt-e,vt-n,vt-rank,pb-total,pb-d,pb-e,pb-n,pb-rank,hb-total,hb-d,hb-e,hb-n,hb-rank,aa-score,aa-rank,date-created
,Maks Gvardijancic,Kerikeri Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,9.35,2,7.35,0,12,8.5,2,6.5,0,11,10.05,2,8.05,0.0,6,9.6,2,7.6,0,14,9.5,2,7.5,0,13,10.2,2,8.2,0,3,57.200,0,2023-05-20T04:16:27.544Z
,Jago Rogerson,Kerikeri Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.000,0,2023-05-20T04:25:31.775Z
,De Wet Volschenk,Whangarei Academy of Gymnastics,Level 2,NONE,Northland Champs 2023,All Round,10.5,2,8.5,0,3,11.0,2,9.0,0,1,10.75,2,8.75,0.0,3,11.2,2,9.2,0,3,10.9,2,8.9,0,4,11.05,2,9.05,0,1,65.400,0,2023-05-20T04:24:26.402Z
,Eddie Tae Min Wong,Whangarei Academy of Gymnastics,Level 2,NONE,Northland Champs 2023,All Round,9.45,2,7.45,0,11,8.95,2,6.95,0,10,8.65,2,6.65,0.0,14,10.2,2,8.2,0,9,9.65,2,7.65,0,11,7.7,2,5.7,0,13,54.600,0,2023-05-20T04:26:48.177Z
,Nathan Watts,Whangarei Academy of Gymnastics,Level 2,NONE,Northland Champs 2023,All Round,8.8,2,6.8,0,14,9.9,2,7.9,0,6,9.35,2,7.35,0.0,13,11.1,2,9.1,0,4,10.35,2,8.35,0,7,9.65,2,7.65,0,5,59.150,0,2023-05-20T04:17:05.044Z
,Zac Theron,Whangarei Academy of Gymnastics,Level 2,NONE,Northland Champs 2023,All Round,10.2,2,8.2,0,7,9.4,2,7.4,0,9,10.75,2,8.75,0.0,3,9.75,2,7.75,0,13,10.6,2,8.6,0,6,9.45,2,7.45,0,6,60.150,0,2023-05-20T04:18:10.622Z
,Jimmy Liang,North Harbour Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,10.85,2,8.85,0,1,10.25,2,8.25,0,4,11.0,2,9.0,0.0,2,11.35,2,9.35,0,1,10.8,2,8.8,0,5,11.0,2,9.0,0,2,65.250,0,2023-05-20T04:18:11.248Z
,Hunter Holdsworth,North Harbour Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,10.35,2,8.35,0,5,9.8,2,7.8,0,7,9.65,2,7.65,0.0,11,11.1,2,9.1,0,4,10.95,2,8.95,0,3,8.95,2,6.95,0,7,60.800,0,2023-05-20T04:19:32.242Z
,Etienne Wang,North Harbour Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,10.45,2,8.45,0,4,10.55,2,8.55,0,3,10.5,2,8.5,0.0,5,11.25,2,9.25,0,2,10.35,2,8.35,0,7,8.5,2,6.5,0,11,61.600,0,2023-05-20T04:20:29.486Z
,Mason Lynn,North Harbour Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,10.65,2,8.65,0,2,6.5,1,5.5,0,14,9.5,2,7.5,0.0,12,10.25,2,8.25,0,8,9.35,2,7.35,0,14,8.2,2,6.2,0,12,54.450,0,2023-05-20T04:23:36.710Z
,Cooper Millership,North Harbour Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,10.25,2,8.25,0,6,8.15,2,6.15,0,12,9.8,2,7.8,0.0,10,9.95,2,7.95,0,11,9.75,2,7.75,0,10,7.05,0,7.05,0,14,54.950,0,2023-05-20T04:14:23.185Z
,William Handley,North Harbour Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,9.95,2,7.95,0,9,7.55,2,5.55,0,13,10.05,2,8.05,0.0,6,10.4,2,8.4,0,7,9.6,2,7.6,0,12,8.55,2,6.55,0,10,56.100,0,2023-05-20T04:15:56.979Z
548391,Hugo Thorman,Tristar Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,10.15,2,8.15,0,8,9.75,2,7.75,0,8,9.85,2,7.85,0.0,9,10.6,2,8.6,0,6,10.25,2,8.25,0,9,10.0,2,8.0,0,4,60.600,0,2023-05-20T04:19:13.447Z
575954,Victor Sanchez,Tristar Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,9.0,2,7.0,0,13,10.75,2,8.75,0,2,9.95,2,8.25,0.3,8,9.9,2,7.9,0,12,11.1,2,9.1,0,2,8.95,2,6.95,0,7,59.650,0,2023-05-20T04:21:39.051Z
257285,Matvey Ruben,Tristar Gymnastics Club,Level 2,NONE,Northland Champs 2023,All Round,9.9,2,7.9,0,10,10.1,2,8.1,0,5,11.1,2,9.1,0.0,1,10.05,2,8.05,0,10,11.6,2,9.6,0,1,8.6,2,6.6,0,9,61.350,0,2023-05-20T04:22:42.818Z
