gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
644702,Yuzu Kawahara,Waitakere Gymnastics Club,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,54.5,1,
219603,Lexi Hati,Whangarei Academy of Gymnastics,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,53.7,2,
548547,Taylor Quedley,Waitakere Gymnastics Club,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,51.55,3,
278038,Zamara Marshall,Kaitia Gymnastics Club,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,51.1,4,
160084,Jessica McCarthny,Kaitia Gymnastics Club,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,49.1,5,
294611,ABIGAIL GWILLIAM,Fantastic Gymnastics,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,47.2,6,
234504,Emily Tattersfield,Whangarei Academy of Gymnastics,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,47.15,7,
234522,Shelby Hoyle,Whangarei Academy of Gymnastics,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,44.8,8,
542833,Zoe Gvardijancic,Kerikeri Gymnastics Club,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,39.9,9,
232770,Lucy Spice,Kerikeri Gymnastics Club,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,31.45,10,
239650,Leah Watson,Whangarei Academy of Gymnastics,5,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,DNS,11,
269221,Savannah Campen,Waitakere Gymnastics Club,6,UNDER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,52.2,1,
220120,ELLA HOWIE,Fantastic Gymnastics,6,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,53.65,1,
217114,ARIAH CROASDALE,Fantastic Gymnastics,6,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,51.9,2,
217121,BRIANNA VALENT-HAY,Fantastic Gymnastics,6,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,44.1,3,
153118,Sophie Burgess,Whangarei Academy of Gymnastics,7,UNDER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,43.065,1,
159715,Amy Thomson,Waitakere Gymnastics Club,7,UNDER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,41.931,2,
283902,Natsumi Sekizaki,Waitakere Gymnastics Club,7,UNDER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,DNS,3,
207818,Charlotte Butler,Whangarei Academy of Gymnastics,7,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,42.132,1,
609784,Samantha Frank,Whangarei Academy of Gymnastics,7,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,38.332,2,
217900,Lily-Mae Smith,Whangarei Academy of Gymnastics,7,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,34.599,3,
269138,Isabella Linkhorn,Waitakere Gymnastics Club,7,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,21.566,4,
169770,Katelyn Delemare,Whangarei Academy of Gymnastics,7,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,20.966,5,
153088,Diara Sketchly,Whangarei Academy of Gymnastics,7,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,19.666,6,
536043,Lena Graham,Waitakere Gymnastics Club,8,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,41.999,1,
283902,Natalya Tavleev,Fantastic Gymnastics,8,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,38.533,2,
217105,RENEE PILON,Waitakere Gymnastics Club,8,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,32.965,3,
119377,Christina Misich,Waitakere Gymnastics Club,8,OVER,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,26.633,4,
691434,Zoe Llewellyn,Waitakere Gymnastics Club,9,NONE,WAGS Senior Club Competition ART (Qualifier),AA,1,,,,,,,,,,,,,38.432,1,
