gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
,Chloe Lindon,Auckland,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.966,3.2,0,11.533,2.9,0,0.0,0.0,0,0.0,0.0,0,23.499,,2022-07-13
,Milana Henderson,Auckland,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.133,3.4,0,8.633,1.7,0,11.533,4.1,0,13.3,4.5,0,45.599,,2022-07-13
,Alex Quickenden,Auckland,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.000,,2022-07-13
,Aria Johnstone,Auckland,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,11.033,3.2,0,0.0,0.0,0,0.0,0.0,0,11.033,,2022-07-13
,Merle Zibolsky,Auckland,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.033,3.4,0,0.0,0.0,0,11.8,3.8,0,0.0,0.0,0,23.833,,2022-07-13
,Ariana Golding,Bay of Plenty,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,10.133,3.4,0,0.0,0.0,0,10.966,3.6,0,0.0,0.0,0,21.099,,2022-07-13
,Lulu Pearse,Canterbury,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.233,3.2,0,0.0,0.0,0,12.533,4.8,0,11.8,4.0,0,35.566,,2022-07-13
,Elise Didierjean,Canterbury,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.2,3.4,0,11.166,3.9,0,12.466,4.4,0,12.3,4.3,0,48.132,,2022-07-13
,Sienna Gilmore,Canterbury,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.0,3.4,0,11.633,3.5,0,9.333,3.6,0,12.65,4.5,0,45.616,,2022-07-13
,Elizabeth Litt,Canterbury,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.433,3.2,0,8.3,2.3,0,10.733,3.9,0,11.05,3.8,0,41.516,,2022-07-13
,Ella Rowe,Otago,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,10.266,3.4,0,12.1,3.5,0,0.0,0.0,0,11.35,3.7,0,33.716,,2022-07-13
,Hannah Pearce,Otago,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.833,3.4,0,0.0,0.0,0,10.8,4.0,0,12.45,4.4,0,35.083,,2022-07-13
,Millie Scott,Southland,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.9,3.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.900,,2022-07-13
,Poppy Glasgow,Auckland,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,11.933,3.2,0,11.233,4.3,0,13.1,4.2,0,36.266,,2022-07-13
,Sienna Hooft,Canterbury,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.666,3.4,0,12.233,4.1,0,0.0,0.0,0,11.55,3.8,0,35.449,,2022-07-13
,Sakura Tsunoda,Harbour,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,11.0,2.4,0,0.0,0.0,0,11.9,3.8,0,22.900,,2022-07-13
,Talaya Vorster,Harbour,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,10.366,2.1,0,0.0,0.0,0,12.0,4.0,0,22.366,,2022-07-13
,Alyssa Gauldie,Southland,Step 8,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.933,3.2,0,9.4,1.6,0,10.566,3.7,0,11.05,3.5,0,42.949,,2022-07-13
