gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
160084,Jessica McCarthny - Kaitaia College,Kaitaia,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,12.9,5,0,9.5,4.5,0,11.6,5.0,0,11.9,5.0,0,45.900,,2022-05-20
278038,Zamara Marshall - Kaitaia College,Kaitaia,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,14.133,5,0,10.833,5.0,0,11.3,5.0,0,12.4,5.0,0,48.666,,2022-05-20
246312,Daesharn Ewans-McMahon - Sacred Heart New Plymouth,Waitara Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,12.866,5,0,12.733,5.0,0,11.0,4.0,0,12.4,5.0,0,48.999,,2022-05-20
239650,Leah Watson - Huanui College,Whangarei Academy,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,12.333,5,0,11.733,5.0,0,10.45,4.0,0,12.45,5.0,0,46.966,,2022-05-20
234504,Emily Tattersfield - Huanui College,Whangarei Academy,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,12.8,5,0,11.6,5.0,0,8.1,4.0,0,11.15,4.5,0,43.650,,2022-05-20
266431,Indee Pack,Impact,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.4,5,0,13.133,5.0,0,13.25,5.0,0,12.1,5.0,0,51.883,,2022-05-20
258752,Willow Carswell,Impact,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,14.4,5,0,13.166,5.0,0,12.5,4.5,0,13.55,5.0,0,53.616,,2022-05-20
214492,Ava Ellison,Impact,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,14.133,5,0,13.466,5.0,0,11.5,5.0,0,13.9,5.0,0,52.999,,2022-05-20
284235,Maisy Lyons,North Harbour Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.000,,2022-05-20
581306,Evie Self,North Harbour Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.633,5,0,13.966,5.0,0,13.3,5.0,0,14.0,5.0,0,54.899,,2022-05-20
614571,Molly Tohill,North Harbour Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,14.0,5,0,12.8,5.0,0,9.65,4.0,0,12.7,5.0,0,49.150,,2022-05-20
247674,Ariana Parker,Piako,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.7,5,0,11.233,5.0,0,10.1,5.0,0,12.75,5.0,0,47.783,,2022-05-20
284790,Jaiya Elfa,Piako,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,12.533,5,0,12.0,5.0,0,13.65,5.0,0,12.9,5.0,0,51.083,,2022-05-20
258877,Katy-June Loomans,Piako,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,12.033,5,0,12.1,5.0,0,12.5,4.5,0,12.0,5.0,0,48.633,,2022-05-20
216381,Isla VICK,Te Wero Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.6,5,0,13.0,5.0,0,11.75,4.0,0,12.4,5.0,0,50.750,,2022-05-20
541886,Lucy CALLAGHAN,Te Wero Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.766,5,0,13.333,5.0,0,10.5,4.0,0,13.4,5.0,0,50.999,,2022-05-20
525517,Grace CHAMBERLAIN,Te Wero Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.6,5,0,13.233,5.0,0,14.0,5.0,0,14.15,5.0,0,54.983,,2022-05-20
550965,Solara BURROWS,Te Wero Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.4,5,0,13.466,5.0,0,13.3,4.5,0,13.8,5.0,0,53.966,,2022-05-20
209138,Emma Davis,Waitara Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.1,5,0,12.733,5.0,0,10.5,5.0,0,12.2,5.0,0,48.533,,2022-05-20
218830,Morgan Hickey,Waitara Gymnastics,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,12.8,5,0,12.5,5.0,0,12.05,4.2,0,12.45,5.0,0,49.800,,2022-05-20
219603,Lexi Hati,Whangarei Academy,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.666,5,0,13.166,5.0,0,13.95,5.0,0,13.65,5.0,0,54.432,,2022-05-20
234522,Shelby Hoyle,Whangarei Academy,Step 5 Comp 2,OVER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,12.666,5,0,10.4,5.0,0,7.55,3.5,0,11.3,5.0,0,41.916,,2022-05-20
281455,Sienna Chapman,ARGOS,Step 5 Comp 2,UNDER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.9,5,0,13.733,5.0,0,13.95,5.0,0,13.45,5.0,0,55.033,,2022-05-20
296802,Mackenzie Hughes,ARGOS,Step 5 Comp 2,UNDER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,12.9,5,0,12.766,5.0,0,14.0,5.0,0,13.7,5.0,0,53.366,,2022-05-20
543122,Riley Forrest,ARGOS,Step 5 Comp 2,UNDER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.666,5,0,11.966,5.0,0,4.15,2.0,0,13.1,5.0,0,42.882,,2022-05-20
546242,Gracie Crowe,Impact,Step 5 Comp 2,UNDER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.066,5,0,12.966,5.0,0,11.7,4.5,0,13.05,5.0,0,50.782,,2022-05-20
581941,Morgane Shearer,North Harbour Gymnastics,Step 5 Comp 2,UNDER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.000,,2022-05-20
283621,Lola Verran,North Harbour Gymnastics,Step 5 Comp 2,UNDER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.166,5,0,12.366,5.0,0,13.35,4.7,0,13.15,5.0,0,52.032,,2022-05-20
542044,Piper Kemp,North Harbour Gymnastics,Step 5 Comp 2,UNDER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.466,5,0,12.933,5.0,0,13.05,5.0,0,13.1,5.0,0,52.549,,2022-05-20
581161,Lina Lang,North Harbour Gymnastics,Step 5 Comp 2,UNDER,2022 Tri Star Championships and NZSS,"All-around, Team & Apparatus Finals",,13.266,5,0,12.2,5.0,0,11.65,4.5,0,13.4,5.0,0,50.516,,2022-05-20
