gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
601125,Melody Cheung,Counties Manukau Gymnastics,Step 1,OVER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.8,5,0,10.4,4.5,0,13.633,5,0,13.0,5.0,0,50.833,,2022-06-18
655512,Isabella Porter,Counties Manukau Gymnastics,Step 1,OVER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.433,5,0,11.333,4.5,0,13.6,5,0,12.066,4.0,0,50.432,,2022-06-18
655513,Lily Derrick,Counties Manukau Gymnastics,Step 1,OVER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,14.033,5,0,12.5,5.0,0,13.6,5,0,13.766,5.0,0,53.899,,2022-06-18
544012,Pegella Gao,Counties Manukau Gymnastics,Step 1,OVER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.933,5,0,13.1,5.0,0,13.9,5,0,13.566,5.0,0,54.499,,2022-06-18
640832,Madison Court,Counties Manukau Gymnastics,Step 1,OVER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,14.133,5,0,12.0,5.0,0,13.866,5,0,14.433,5.0,0,54.432,,2022-06-18
655510,Eliza-Rose Hudson,Counties Manukau Gymnastics,Step 1,OVER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,14.1,5,0,13.066,5.0,0,13.733,5,0,13.566,5.0,0,54.465,,2022-06-18
655511,Ellie Johns,Counties Manukau Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.533,5,0,10.633,4.5,0,13.033,5,0,11.433,5.0,0,48.632,,2022-06-18
655515,Marwa Jacob,Counties Manukau Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.433,5,0,12.6,5.0,0,14.0,5,0,13.8,5.0,0,53.833,,2022-06-18
655524,Lisa Dreyer,Counties Manukau Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,14.0,5,0,13.4,5.0,0,12.9,5,0,12.8,4.5,0,53.100,,2022-06-18
593047,Marina Nasa,Counties Manukau Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.466,5,0,11.266,5.0,0,13.6,5,0,13.633,5.0,0,51.965,,2022-06-18
548317,Zoe Leabourn,Eastern Suburbs Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,14.133,5,0,12.666,5.0,0,14.133,5,0,13.866,5.0,0,54.798,,2022-06-18
627135,Nadia Ng,Eastern Suburbs Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,14.4,5,0,13.4,5.0,0,13.633,5,0,13.866,5.0,0,55.299,,2022-06-18
603831,Ida Wrigley,Eastern Suburbs Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.9,5,0,13.8,5.0,0,13.9,5,0,13.6,5.0,0,55.200,,2022-06-18
641464,Amelia House,Franklin Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.266,5,0,12.433,5.0,0,13.2,5,0,13.7,5.0,0,52.599,,2022-06-18
625601,Daenerys Gordon,Franklin Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.866,5,0,12.333,5.0,0,12.766,5,0,12.233,4.5,0,51.198,,2022-06-18
653986,Anna Dong,Howick Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.766,5,0,13.7,5.0,0,13.666,5,0,13.233,5.0,0,54.365,,2022-06-18
649729,Jasmine Ding,Howick Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.000,,2022-06-18
635324,Juane De Beer,Howick Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.866,5,0,13.366,5.0,0,13.2,5,0,14.066,5.0,0,54.498,,2022-06-18
662210,Milla Li,Howick Gymnastics,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.7,5,0,13.1,5.0,0,13.433,5,0,14.033,5.0,0,54.266,,2022-06-18
303504,Mayson Murray,Turn & Gymnastics Circle,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.833,5,0,11.4,5.0,0,13.2,5,0,13.633,5.0,0,52.066,,2022-06-18
636640,Harper Runciman,Turn & Gymnastics Circle,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,14.066,5,0,13.8,5.0,0,13.566,5,0,13.466,5.0,0,54.898,,2022-06-18
654049,Malia Kraenzlin,Turn & Gymnastics Circle,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,14.3,5,0,13.766,5.0,0,13.733,5,0,14.033,5.0,0,55.832,,2022-06-18
303504,Rebe Murray,Turn & Gymnastics Circle,Step 1,UNDER,2022 Tri Star Elementary Championships,"All-Around, Team and Apparatus",,13.933,5,0,13.933,5.0,0,13.166,5,0,13.933,5.0,0,54.965,,2022-06-18
