gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
293937,Chloe Sorrill,Counties Manukau Gymnastics,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.25,5,0,13.75,5.0,0,13.05,5.0,0,13.5,5.0,0,53.550,,2022-06-18
544743,Lilli Yoakley,Counties Manukau Gymnastics,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.75,5,0,13.5,5.0,0,13.3,5.0,0,14.2,5.0,0,54.750,,2022-06-18
544777,Paige Roberts,Counties Manukau Gymnastics,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.8,5,0,13.25,5.0,0,14.15,5.0,0,14.15,5.0,0,55.350,,2022-06-18
245912,Ava Coombes,Franklin Gymnastics,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,11.7,5,0,10.75,4.5,0,12.1,4.5,0,12.4,5.0,0,46.950,,2022-06-18
241055,Maija Farr,Franklin Gymnastics,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,12.2,5,0,12.4,5.0,0,12.35,5.0,0,13.15,5.0,0,50.100,,2022-06-18
523821,Siobhan Jones,Franklin Gymnastics,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,12.6,5,0,11.6,5.0,0,13.1,5.0,0,13.85,5.0,0,51.150,,2022-06-18
536850,Jessica Wootton,North Harbour Gymnastics,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,14.1,5,0,12.7,5.0,0,12.65,5.0,0,12.85,5.0,0,52.300,,2022-06-18
232377,Sarah Warren,Turn & Gymnastics Circle,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.4,5,0,12.8,5.0,0,13.15,5.0,0,13.15,5.0,0,52.500,,2022-06-18
512725,Isla Waring,Turn & Gymnastics Circle,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,14.25,5,0,14.0,5.0,0,12.3,4.5,0,13.9,5.0,0,54.450,,2022-06-18
288343,Eve Howell,Whangarei Academy of Gymnastics,Step 4,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.5,5,0,10.65,4.5,0,13.2,5.0,0,13.3,5.0,0,50.650,,2022-06-18
273123,Charlize Chang,Counties Manukau Gymnastics,Step 4,UNDER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,14.05,5,0,14.0,5.0,0,14.7,5.0,0,14.2,5.0,0,56.950,,2022-06-18
547979,Ava Owen,Eastern Suburbs Gymnastics,Step 4,UNDER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,14.1,5,0,11.8,4.5,0,12.65,5.0,0,12.8,5.0,0,51.350,,2022-06-18
