gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
,Beatrix Nicol,Auckland,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,14.05,5,0,13.433,5,0,13.433,5.0,0,13.033,5.0,0,53.949,,2022-07-13
,Elaine Li,Auckland,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,14.15,5,0,13.533,5,0,13.466,5.0,0,12.9,5.0,0,54.049,,2022-07-13
,Jeslyn Jiang,Auckland,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,14.4,5,0,13.166,5,0,12.3,5.0,0,13.133,5.0,0,52.999,,2022-07-13
,Lexi Fyhn,Auckland,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.3,5,0,13.533,5,0,14.233,5.0,0,12.7,4.5,0,53.766,,2022-07-13
,Olivia Teixeira,Auckland,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,14.25,5,0,12.5,5,0,13.666,5.0,0,13.5,5.0,0,53.916,,2022-07-13
,Amelia Hsu,Auckland,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.7,5,0,13.3,5,0,13.333,5.0,0,13.433,5.0,0,53.766,,2022-07-13
,Amelia Pease,Auckland,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.85,5,0,13.2,5,0,11.466,5.0,0,13.5,5.0,0,52.016,,2022-07-13
,Mikaela Fong,Auckland,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,14.3,5,0,13.366,5,0,12.166,5.0,0,13.066,5.0,0,52.898,,2022-07-13
,Olivia Lindon,Auckland,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.8,5,0,13.166,5,0,13.433,5.0,0,12.9,5.0,0,53.299,,2022-07-13
,Jayde Henare,Bay of Plenty,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,14.5,5,0,13.3,5,0,14.366,5.0,0,14.066,5.0,0,56.232,,2022-07-13
,Karin Aono,Bay of Plenty,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.3,5,0,13.566,5,0,14.233,5.0,0,14.3,5.0,0,55.399,,2022-07-13
,Sienna Chapman,Bay of Plenty,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.8,5,0,13.2,5,0,13.6,5.0,0,12.7,4.5,0,53.300,,2022-07-13
,Ava Ellison,Bay of Plenty,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.65,5,0,13.566,5,0,13.233,5.0,0,13.5,5.0,0,53.949,,2022-07-13
,Emma Wong,Canterbury,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,14.0,5,0,14.0,5,0,13.966,5.0,0,13.366,5.0,0,55.332,,2022-07-13
,Grace Chamberlain,Canterbury,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.75,5,0,13.466,5,0,13.8,5.0,0,14.0,5.0,0,55.016,,2022-07-13
,Harper Muir,Canterbury,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.3,5,0,13.133,5,0,11.7,4.5,0,13.233,5.0,0,51.366,,2022-07-13
,Solara Burrows,Canterbury,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.9,5,0,13.366,5,0,13.766,5.0,0,13.866,5.0,0,54.898,,2022-07-13
,Lucy Marie Callaghan,Canterbury,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.8,5,0,13.5,5,0,12.333,5.0,0,13.4,5.0,0,53.033,,2022-07-13
,Sophia Hastie,Canterbury,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.45,5,0,13.433,5,0,13.0,4.7,0,13.5,5.0,0,53.383,,2022-07-13
,Annabelle Peacock,Gymsport Manukau,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,12.95,5,0,13.366,5,0,13.033,5.0,0,12.333,4.5,0,51.682,,2022-07-13
,Cara Ysabelle Cozo,Gymsport Manukau,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.4,5,0,13.633,5,0,13.633,5.0,0,13.633,5.0,0,54.299,,2022-07-13
,Marley Stowers-Slatter,Gymsport Manukau,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.55,5,0,13.5,5,0,11.5,4.7,0,13.6,5.0,0,52.150,,2022-07-13
,Evie Self,Harbour,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,14.0,5,0,13.133,5,0,11.166,5.0,0,13.833,5.0,0,52.132,,2022-07-13
,Sophia Edmonds,Harbour,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.35,5,0,13.0,5,0,13.9,5.0,0,13.0,5.0,0,53.250,,2022-07-13
,Isabella Scholten,Otago,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.65,5,0,13.8,5,0,13.8,5.0,0,13.5,5.0,0,54.750,,2022-07-13
,Sam Williamson,Otago,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.8,5,0,13.5,5,0,11.2,4.0,0,13.3,5.0,0,51.800,,2022-07-13
,Hope Schuster,Waikato,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,12.3,5,0,13.7,5,0,12.733,5.0,0,12.6,5.0,0,51.333,,2022-07-13
,Monique Cvitanich,Waikato,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.15,5,0,13.466,5,0,12.033,4.5,0,13.466,5.0,0,52.115,,2022-07-13
,Carmen Lee,Wellington,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.85,5,0,13.3,5,0,14.566,5.0,0,14.1,5.0,0,55.816,,2022-07-13
,Indy Dinou,Wellington,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.85,5,0,13.433,5,0,12.933,5.0,0,12.6,5.0,0,52.816,,2022-07-13
,Kaia Mackenzie Erkens,Wellington,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,12.85,5,0,13.2,5,0,13.9,5.0,0,13.2,5.0,0,53.150,,2022-07-13
,Laura Rees,Wellington,Step 5,NONE,2022 New Zealand Gymnastics Championships - Artistic,All-around Finals,,13.95,5,0,13.866,5,0,11.5,5.0,0,14.066,5.0,0,53.382,,2022-07-13
