gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
,Lucy Scrymgeour,Auckland,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.533,5,0,13.333,5.0,0,13.35,5.0,0,13.2,5.0,0,53.416,,2022-07-13
,Mia Vinall,Auckland,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.6,5,0,12.866,5.0,0,13.65,5.0,0,14.233,5.0,0,54.349,,2022-07-13
,Chloe Petrie,Auckland,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.533,5,0,13.233,5.0,0,13.85,5.0,0,13.266,5.0,0,53.882,,2022-07-13
,Frida Comber,Auckland,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,14.066,5,0,12.933,5.0,0,13.45,5.0,0,13.033,5.0,0,53.482,,2022-07-13
,Akaylia Jackson,Bay of Plenty,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.766,5,0,13.3,5.0,0,13.75,5.0,0,13.133,5.0,0,53.949,,2022-07-13
,Cleo Bell,Bay of Plenty,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,14.3,5,0,12.6,5.0,0,13.15,5.0,0,13.033,5.0,0,53.083,,2022-07-13
,Mali Neno,Bay of Plenty,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.733,5,0,13.533,5.0,0,12.65,4.2,0,13.566,5.0,0,53.482,,2022-07-13
,Avaleigh Lauer,Gymsport Manukau,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,12.633,5,0,12.733,5.0,0,13.1,5.0,0,12.966,5.0,0,51.432,,2022-07-13
,Betsy Lu,Gymsport Manukau,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.4,5,0,10.233,5.0,0,13.05,5.0,0,13.033,5.0,0,49.716,,2022-07-13
,Chelsea Brennan,Gymsport Manukau,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,14.066,5,0,13.3,5.0,0,14.05,5.0,0,14.2,5.0,0,55.616,,2022-07-13
,Sienna Pirie,Gymsport Manukau,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.233,5,0,13.3,5.0,0,13.8,5.0,0,14.066,5.0,0,54.399,,2022-07-13
,Klara McKeefry,Gymsport Manukau,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.0,5,0,12.133,5.0,0,13.55,5.0,0,13.5,5.0,0,52.183,,2022-07-13
,Abby Powell,Gymsport Manukau,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.5,5,0,12.0,5.0,0,12.4,4.7,0,12.0,5.0,0,49.900,,2022-07-13
,Kayla Roberts,Gymsport Manukau,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.4,5,0,12.166,5.0,0,13.5,5.0,0,11.966,4.5,0,51.032,,2022-07-13
,Mone Sato,Harbour,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.166,5,0,11.7,5.0,0,12.5,5.0,0,13.9,5.0,0,51.266,,2022-07-13
,Lexi Chen,Harbour,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.333,5,0,12.633,5.0,0,12.7,5.0,0,13.2,5.0,0,51.866,,2022-07-13
,Taylor Jeffreys,Harbour,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.266,5,0,13.166,5.0,0,13.75,5.0,0,13.1,5.0,0,53.282,,2022-07-13
,Agnes Karlsson,Harbour,Step 6,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & Apparatus Finals,,13.8,5,0,12.333,5.0,0,10.8,4.5,0,13.433,5.0,0,50.366,,2022-07-13
