gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
,Kahu Barsdell,Auckland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.133,3.4,0,12.9,3.7,0,13.25,4.6,0,13.3,4.3,0,51.583,,2022-07-13
,Sarah Kennard,Auckland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,12.3,4.0,0,13.6,4.5,0,25.900,,2022-07-13
,Willow Reid,Auckland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,13.2,4.2,0,12.75,4.1,0,13.233,4.3,0,39.183,,2022-07-13
,Tait Sorensen,Auckland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,11.9,3.1,0,0.0,0.0,0,13.133,4.3,0,25.033,,2022-07-13
,Natsumi Sekizaki,Auckland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,10.966,3.9,0,0.0,0.0,0,11.933,4.0,0,22.899,,2022-07-13
,Olivia Hermez,Auckland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.3,3.4,0,0.0,0.0,0,0.0,0.0,0,12.533,4.1,0,23.833,,2022-07-13
,Olivia Sue,Auckland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.733,3.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.733,,2022-07-13
,Emily King,Auckland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,11.1,3.5,0,0.0,0.0,0,12.866,4.0,0,23.966,,2022-07-13
,Ella Robinson,Bay of Plenty,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.466,2.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.466,,2022-07-13
,Emily Barback,Bay of Plenty,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,11.9,3.1,0,12.05,4.1,0,0.0,0.0,0,23.950,,2022-07-13
,Lulu Miller,Bay of Plenty,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,12.366,3.5,0,11.6,3.6,0,12.8,4.1,0,36.766,,2022-07-13
,Pippa Cronin,Bay of Plenty,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,8.966,1.7,0,0.0,0.0,0,0.0,0.0,0,8.966,,2022-07-13
,Ella Thomas,Canterbury,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.366,3.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.366,,2022-07-13
,Kyla Cowles,Canterbury,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,9.5,3.5,0,0.0,0.0,0,9.500,,2022-07-13
,Lucy Moore,Canterbury,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.6,3.2,0,10.6,2.7,0,0.0,0.0,0,0.0,0.0,0,22.200,,2022-07-13
,Paige Rhodes,Canterbury,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,12.75,4.1,0,0.0,0.0,0,12.750,,2022-07-13
,Gurjeeya Kaur,Gymsport Manukau,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,11.95,4.2,0,12.866,4.1,0,24.816,,2022-07-13
,Alayna Wright,Harbour,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.233,3.2,0,0.0,0.0,0,13.0,4.3,0,0.0,0.0,0,25.233,,2022-07-13
,Jessica Handley,Harbour,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,10.866,3.5,0,10.866,,2022-07-13
,Zuzanna Kochan,Otago,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,11.5,3.1,0,0.0,0.0,0,0.0,0.0,0,11.500,,2022-07-13
,Madison Philpot,Southland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.033,3.4,0,13.0,4.1,0,12.75,4.6,0,12.766,4.2,0,50.549,,2022-07-13
,Rosa Dawson,Southland,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.833,3.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.833,,2022-07-13
,Cailin Ward,Taranaki,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.133,3.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.133,,2022-07-13
,Luci Strachan,Taranaki,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,11.35,3.7,0,0.0,0.0,0,11.350,,2022-07-13
,Ashlee Reddecliffe,Top of the South,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.5,3.4,0,11.766,3.5,0,0.0,0.0,0,0.0,0.0,0,24.266,,2022-07-13
,Jaylyn Tasker,Top of the South,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.733,3.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.733,,2022-07-13
,Ariria Blackburn,Wanganui/Manawatu,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,10.05,3.2,0,0.0,0.0,0,10.050,,2022-07-13
,Zahara Slatter,Wanganui/Manawatu,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,12.8,3.4,0,12.533,3.5,0,0.0,0.0,0,13.0,4.3,0,38.333,,2022-07-13
,Elise Kibblewhite,Wellington,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,10.566,2.7,0,0.0,0.0,0,12.366,3.8,0,22.932,,2022-07-13
,Sophia Paviour-Smith,Wellington,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.000,,2022-07-13
,Lara Cooper,Wellington,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,10.5,4.1,0,0.0,0.0,0,10.500,,2022-07-13
,Leah Austin,Wellington,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,12.6,3.9,0,0.0,0.0,0,12.600,,2022-07-13
,Maia Mclaughlan,Wellington,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,12.366,3.5,0,0.0,0.0,0,12.666,4.1,0,25.032,,2022-07-13
,Anna Elliott,Wellington,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,12.1,3.6,0,12.366,3.9,0,24.466,,2022-07-13
,Allegra Ruruku-Hunt,Wellington,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,11.6,4.1,0,0.0,0.0,0,11.600,,2022-07-13
,Te Ana Waiariki,Wellington,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.033,2.4,0,12.066,3.5,0,0.0,0.0,0,0.0,0.0,0,23.099,,2022-07-13
,Emma Hoffman,Top of the South,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,11.866,3.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11.866,,2022-07-13
,Susannah Charlier,Wellington,Step 7,NONE,2022 New Zealand Gymnastics Championships - Artistic,Apparatus Finals,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12.666,4.0,0,12.666,,2022-07-13
