gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
,Bobbi Brown,Auckland,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.3,3.4,0,11.0,3.3,0,12.566,5.0,0,11.233,3.6,0,47.099,,2022-07-13
,Georgia Dale,Auckland,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.733,3.4,0,9.733,2.7,0,10.8,4.9,0,12.233,4.1,0,45.499,,2022-07-13
,Tamara Thomas,Auckland,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.3,3.4,0,10.133,3.3,0,10.8,3.9,0,12.333,4.4,0,45.566,,2022-07-13
,Madison Brick,Bay of Plenty,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.7,3.4,0,11.0,3.4,0,12.366,4.1,0,12.433,4.3,0,48.499,,2022-07-13
,Charlotte Thompson,Canterbury,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,10.833,3.2,0,11.533,3.2,0,11.966,4.3,0,10.666,3.6,0,44.998,,2022-07-13
,Cailin Sargent,Harbour,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,11.8,3.2,0,0.0,0.0,0,12.533,4.0,0,12.866,4.4,0,37.199,,2022-07-13
,Kaitlin Viljoen,Harbour,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,10.7,1.6,0,8.666,2.6,0,10.1,4.0,0,11.666,3.7,0,41.132,,2022-07-13
,Sophie Farrell,Harbour,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,9.966,1.6,0,10.1,2.7,0,9.9,3.2,0,10.933,3.7,0,40.899,,2022-07-13
,Aaliyah Forbes,Southland,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,11.8,3.4,0,10.0,3.0,0,10.833,4.0,0,12.033,4.7,0,44.666,,2022-07-13
,Amber Horwood,Southland,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,11.966,3.4,0,10.6,3.2,0,11.966,4.0,0,10.433,3.9,0,44.965,,2022-07-13
,Anita Routledge,Top of the South,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.4,3.4,0,9.3,2.4,0,9.933,3.8,0,11.266,3.4,0,42.899,,2022-07-13
,Emily Moritz,Top of the South,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.233,3.2,0,10.766,3.2,0,11.0,3.5,0,10.566,3.5,0,44.565,,2022-07-13
,Jacey Adams,Top of the South,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.533,3.4,0,9.466,2.4,0,10.3,3.3,0,11.133,3.4,0,43.432,,2022-07-13
,Harriet Vellenoweth,Waikato,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,10.866,3.2,0,10.733,3.5,0,10.533,3.5,0,9.5,2.6,0,41.632,,2022-07-13
,Ingrid Sims,Wellington,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.433,3.4,0,11.233,3.4,0,11.0,3.8,0,9.966,2.3,0,44.632,,2022-07-13
,Jessica Lee-Joe,Wellington,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.866,3.4,0,10.866,3.1,0,10.933,3.8,0,12.5,3.8,0,47.165,,2022-07-13
,Kate Seymour,Wellington,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.000,,2022-07-13
,Lucy Roberts,Wellington,Step 9,NONE,2022 New Zealand Gymnastics Championships - Artistic,Team & All-around Finals,,12.5,3.4,0,11.466,3.4,0,11.966,3.5,0,11.633,3.9,0,47.565,,2022-07-13
