gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
593032,Alyssa Hall,Counties Manukau Gymnastics,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.6,5,0,13.35,5.0,0,13.9,5.0,0,12.7,4.5,0,53.550,,2022-06-18
544867,Danika Vela,Counties Manukau Gymnastics,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,14.2,5,0,12.9,5.0,0,14.0,5.0,0,13.3,5.0,0,54.400,,2022-06-18
613669,Lily Richardson,Counties Manukau Gymnastics,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.75,5,0,13.45,5.0,0,14.2,5.0,0,13.65,5.0,0,55.050,,2022-06-18
544739,Maria Zanzottera,Counties Manukau Gymnastics,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.95,5,0,13.55,5.0,0,13.4,5.0,0,13.85,5.0,0,54.750,,2022-06-18
278780,Seren Bull,Franklin Gymnastics,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.9,5,0,13.25,5.0,0,13.666,5.0,0,13.65,5.0,0,54.466,,2022-06-18
288668,Zoe Ross,Franklin Gymnastics,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.45,5,0,13.1,5.0,0,13.033,4.5,0,13.75,5.0,0,53.333,,2022-06-18
654480,Jessica Loxton,Franklin Gymnastics,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,14.5,5,0,12.05,5.0,0,11.566,4.7,0,12.6,5.0,0,50.716,,2022-06-18
303671,Jade Henderson,Turn & Gymnastics Circle,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.15,5,0,11.85,4.5,0,12.266,5.0,0,12.55,4.5,0,49.816,,2022-06-18
286666,Anabelle Mills,Turn & Gymnastics Circle,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,12.95,5,0,13.4,5.0,0,13.366,5.0,0,13.15,5.0,0,52.866,,2022-06-18
582541,Clara Chie,Turn & Gymnastics Circle,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.85,5,0,13.95,5.0,0,13.5,4.7,0,14.0,5.0,0,55.300,,2022-06-18
293332,Ava Elbourne,Tri Star Gymnastics,Step 3,OVER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.9,5,0,13.3,5.0,0,12.6,5.0,0,13.25,5.0,0,53.050,,2022-06-18
544944,Rosa Zanzottera,Counties Manukau Gymnastics,Step 3,UNDER,2022 Tri Star Elementary Championships,"All-around, Team and Apparatus",,13.5,5,0,13.25,5.0,0,13.7,5.0,0,14.0,5.0,0,54.450,,2022-06-18
