gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
301398,Meshay Paulsen,Howick Gymnastic Club,STEP 7,OVER,2023 ARGOS Senior Competition,Apparatus Round 2,,9.833,3.4,6.933,0.5,17,10.8,3.1,7.7,0,6,11.2,3.6,7.6,0,6,12.4,4.2,8.2,0.0,2,44.233,0,2023-04-02T02:35:25.078Z
242936,Betsy Lu,Howick Gymnastic Club,STEP 7,UNDER,2023 ARGOS Senior Competition,Apparatus Round 2,,9.133,1.6,7.533,0.0,20,10.166,2.2,7.966,0,12,8.733,3.8,4.933,0,16,11.833,3.5,8.333,0.0,7,39.865,0,2023-04-02T02:39:25.326Z
269827,Paige Pratt,Impact Gymsport Academy,STEP 7,OVER,2023 ARGOS Senior Competition,Apparatus Round 2,,11.2,3.4,7.8,0.0,1,12.466,3.9,8.566,0,1,12.2,4.1,8.1,0,3,12.7,4.3,8.4,0.0,1,48.566,0,2023-04-02T02:45:37.038Z
586091,Eleanor Barnes,Impact Gymsport Academy,STEP 7,OVER,2023 ARGOS Senior Competition,Apparatus Round 2,,10.433,1.6,8.833,0.0,9,10.066,2.4,7.666,0,14,12.866,4.3,8.566,0,1,11.866,3.9,8.266,0.3,5,45.231,0,2023-04-02T02:42:38.098Z
536842,Savannah Campen,Waitakere Gymnastics,STEP 7,UNDER,2023 ARGOS Senior Competition,Apparatus Round 2,,10.633,3.4,7.233,0.0,2,11.666,3.5,8.166,0,2,11.066,3.7,7.366,0,5,12.066,4.0,8.066,0.0,3,45.431,0,2023-04-02T02:48:31.770Z
257966,Leona Fan,Waitakere Gymnastics,STEP 7,UNDER,2023 ARGOS Senior Competition,Apparatus Round 2,,10.366,3.4,6.966,0.0,13,9.7,4.0,5.7,0,16,12.166,4.1,8.066,0,4,11.866,4.3,7.566,0.0,5,44.098,0,2023-04-02T02:31:47.423Z
593455,Avaleigh Lauer,Franklin Gymsport,STEP 7,OVER,2023 ARGOS Senior Competition,Apparatus Round 2,,9.6,1.6,8.0,0.0,18,10.433,3.1,7.333,0,8,9.2,2.4,6.8,0,15,0.0,0.0,0.0,0.0,0,29.233,0,2023-04-02T02:31:51.690Z
303250,Bailey Tomokino,Tri Star Gymnastics,STEP 7,OVER,2023 ARGOS Senior Competition,Apparatus Round 2,,10.566,1.6,8.966,0.0,6,10.666,2.4,8.266,0,7,8.033,2.8,5.233,0,19,9.766,3.5,6.266,0.0,16,39.031,0,2023-04-02T02:28:08.390Z
217282,Harriet MacGregor,Tri Star Gymnastics,STEP 7,OVER,2023 ARGOS Senior Competition,Apparatus Round 2,,10.633,2.4,8.233,0.0,5,11.1,3.0,8.1,0,3,8.5,2.5,6.0,0,18,11.6,3.5,8.1,0.0,8,41.833,0,2023-04-02T02:29:33.806Z
159704,Zoe Rotherham,Tri Star Gymnastics,STEP 7,OVER,2023 ARGOS Senior Competition,Apparatus Round 2,,10.9,3.2,8.2,0.5,2,10.266,2.4,7.866,0,9,10.266,3.3,6.966,0,12,10.3,3.2,7.1,0.0,15,41.732,0,2023-04-02T02:27:33.470Z
