gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
194347,Luci Strachan,Gymnastics Waitara,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,10.633,2.0,8.633,0.0,6,9.1,2.4,6.7,0,9,8.666,3.4,5.266,0,11,11.466,3.9,7.566,0.0,3,39.865,9,2023-03-31T21:38:12.086Z
143208,Olivia Earl,Gymnastics Waitara,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,10.766,3.2,7.566,0.0,4,10.933,3.5,7.433,0,1,10.233,3.5,6.733,0,4,11.533,4.1,7.733,0.3,2,43.465,2,2023-03-31T21:41:51.712Z
232437,Piper Smith,Gymnastics Waitara,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,10.566,2.4,8.166,0.0,7,10.733,2.9,7.833,0,3,7.4,3.2,4.2,0,12,10.033,3.1,6.933,0.0,11,38.732,10,2023-03-31T21:45:28.244Z
554693,Rory Jenkins,Hamilton City Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,10.133,1.6,8.533,0.0,10,9.766,1.6,8.166,0,7,9.533,3.4,6.133,0,8,10.633,3.3,7.333,0.0,8,40.065,8,2023-03-31T21:26:08.960Z
214664,Nicole Stoupe,Hamilton City Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,10.366,2.0,8.366,0.0,9,10.1,2.2,7.9,0,6,11.1,4.1,7.0,0,3,10.633,3.7,6.933,0.0,8,42.199,4,2023-03-31T21:21:42.514Z
531987,Gurjeeya Kaur,Counties Manukau Gymsport,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,11.733,3.2,8.533,0.0,1,10.266,2.5,7.766,0,5,10.033,3.4,6.633,0,6,9.733,3.9,5.833,0.0,12,41.765,5,2023-03-31T21:30:18.717Z
147789,Alex Quickenden,Tri Star Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,10.666,3.4,7.266,0.0,5,9.366,2.3,7.066,0,8,9.666,3.0,6.666,0,7,11.266,4.0,7.366,0.1,5,40.964,6,2023-03-31T21:33:33.711Z
170735,Scarlett Lynas,Tri Star Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,9.866,1.6,8.266,0.0,12,0.0,0.0,0.0,0,0,8.866,3.3,5.566,0,10,10.7,3.4,7.3,0.0,7,29.432,0,2023-03-31T21:24:59.135Z
156710,Renee Brown,Tri Star Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,10.533,3.4,7.133,0.0,8,10.633,3.0,7.633,0,4,10.233,4.2,6.033,0,4,11.4,3.9,7.5,0.0,4,42.799,3,2023-03-31T21:36:11.501Z
531975,Merle Zibolsky,Tri Star Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,10.066,3.4,7.166,0.5,11,0.0,0.0,0.0,0,0,11.6,3.6,8.0,0,2,10.533,3.5,7.033,0.0,10,32.199,0,2023-03-31T21:35:39.875Z
195715,Amy Thomson,Waitakere Gymnastics,STEP 8,UNDER,2023 ARGOS Senior Competition,All-Around,,10.4,3.4,7.0,0.0,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.5,4.2,6.3,0.0,5,20.900,0,2023-03-31T21:31:06.007Z
283902,Natsumi Sekizaki,Waitakere Gymnastics,STEP 8,UNDER,2023 ARGOS Senior Competition,All-Around,,10.6,2.0,8.6,0.0,3,8.833,3.1,5.733,0,4,11.833,4.3,7.533,0,1,11.266,3.9,7.366,0.0,4,42.532,2,2023-03-31T21:30:52.319Z
542072,Sienna Shields,NHG,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-03-31T21:11:18.364Z
541941,Ava Samuels,NHG,STEP 8,UNDER,2023 ARGOS Senior Competition,All-Around,,11.566,3.2,8.366,0.0,1,11.333,3.1,8.233,0,1,11.7,4.4,7.3,0,2,11.533,4.2,7.333,0.0,1,46.132,1,2023-03-31T21:18:10.893Z
539349,Alayna Wright,NHG,STEP 8,UNDER,2023 ARGOS Senior Competition,All-Around,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-03-31T21:11:11.927Z
269872,Lulu Miller,Impact Gymsport Academy,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,10.9,3.4,7.5,0.0,3,10.833,3.1,7.733,0,2,11.766,3.4,8.366,0,1,12.9,4.8,8.1,0.0,1,46.399,1,2023-03-31T21:26:01.077Z
185851,Emily Barback,Impact Gymsport Academy,STEP 8,UNDER,2023 ARGOS Senior Competition,All-Around,,10.566,3.2,7.866,0.5,4,9.666,2.7,6.966,0,3,9.8,3.1,6.7,0,3,11.433,3.8,7.633,0.0,2,41.465,4,2023-03-31T21:28:17.388Z
217105,Renee Pilon,Fantastic Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,All-Around,,11.1,2.4,8.7,0.0,2,9.033,1.6,7.433,0,10,9.433,3.4,6.033,0,9,10.766,4.2,6.566,0.0,6,40.332,7,2023-03-31T21:35:32.520Z
230332,Ella Robinson,ARGOS Gymnastics Club,STEP 8,NONE,2023 ARGOS Senior Competition,All-Around,,11.4,2.6,8.8,0.0,2,10.4,2.9,7.5,0,2,9.233,3.7,5.533,0,4,11.4,3.7,7.7,0.0,3,42.433,3,2023-03-31T21:32:02.960Z
