gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
227303,Cate Young,Hamilton City Gymnastics,STEP 9,NONE,2023 ARGOS Senior Competition,Apparatus,,11.766,3.2,8.566,0,4,10.2,3.3,6.9,0,5,11.6,3.8,7.8,0,3,11.366,4.0,7.366,0.0,8,44.932,0,2023-04-01T22:03:49.965Z
266499,Harriet Vellenoweth,Hamilton City Gymnastics,STEP 9,NONE,2023 ARGOS Senior Competition,Apparatus,,11.9,3.2,8.7,0,2,10.266,3.4,6.866,0,4,10.1,3.8,6.3,0,8,11.766,4.4,7.466,0.1,4,44.032,0,2023-04-01T22:06:42.488Z
204972,Sabrina Chong,Hamilton City Gymnastics,STEP 9,NONE,2023 ARGOS Senior Competition,Apparatus,,10.966,2.4,8.566,0,6,9.6,2.4,7.2,0,10,10.5,4.0,6.5,0,7,9.466,4.0,5.766,0.3,9,40.532,0,2023-04-01T22:09:16.557Z
183104,Kate Twentyman,Counties Manukau Gymsport,STEP 9,NONE,2023 ARGOS Senior Competition,Apparatus,,0.0,0.0,0.0,0,0,9.8,3.7,6.1,0,8,11.1,3.6,7.5,0,6,0.0,0.0,0.0,0.0,0,20.900,0,2023-04-01T21:57:55.842Z
162118,Poppy Glasgow,Tri Star Gymnastics,STEP 9,NONE,2023 ARGOS Senior Competition,Apparatus,,10.4,1.6,8.8,0,9,10.033,2.8,7.233,0,7,12.5,5.0,7.5,0,1,12.233,3.9,8.333,0.0,1,45.166,0,2023-04-01T21:51:44.645Z
140613,Bobbi Brown,Tri Star Gymnastics,STEP 9,NONE,2023 ARGOS Senior Competition,Apparatus,,12.0,3.4,8.6,0,1,11.633,3.4,8.233,0,2,11.266,4.7,6.566,0,5,11.466,3.6,7.866,0.0,7,46.365,0,2023-04-01T21:49:31.739Z
541982,Hanna Smith,Tri Star Gymnastics,STEP 9,NONE,2023 ARGOS Senior Competition,Apparatus,,10.6,1.6,9.0,0,8,12.733,4.1,8.633,0,1,11.766,3.6,8.166,0,2,11.5,3.7,7.8,0.0,6,46.599,0,2023-04-01T21:49:59.459Z
691434,Zoe Llewellyn,Waitakere Gymnastics,STEP 9,UNDER,2023 ARGOS Senior Competition,Apparatus,,11.866,3.4,8.466,0,3,11.166,3.2,7.966,0,3,9.966,4.5,5.466,0,9,11.7,4.3,7.6,0.2,5,44.698,0,2023-04-01T22:01:18.763Z
542084,Sophie Farrell,NHG,STEP 9,NONE,2023 ARGOS Senior Competition,Apparatus,,10.7,3.4,7.3,0,7,9.766,3.5,6.266,0,9,9.266,3.5,5.766,0,10,11.933,4.1,7.833,0.0,3,41.665,0,2023-04-01T21:48:38.230Z
192685,Ariana Golding,ARGOS Gymnastics Club,STEP 9,NONE,2023 ARGOS Senior Competition,Apparatus,,11.733,3.4,8.333,0,5,10.066,3.5,6.566,0,6,11.6,3.2,8.4,0,3,12.1,4.1,8.0,0.0,2,45.499,0,2023-04-01T21:54:11.762Z
