gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
225149,Eva Haag,Fantastic Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,12.033,5,7.033,0,20,12.466,5,7.466,0,14,11.9,4.5,8.4,1,17,11.333,4.5,6.933,0.1,20,47.732,20,2023-05-26T23:58:50.505Z
260298,Ka-leena Tuhakaraina,Hamilton City Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.4,5,8.4,0,12,11.466,5,6.466,0,20,12.166,5.0,7.166,0,14,12.366,5.0,7.366,0.0,19,49.398,18,2023-05-26T23:41:55.197Z
290428,Manae Ikemura,Hamilton City Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.466,5,8.466,0,11,13.433,5,8.433,0,3,13.433,5.0,8.433,0,6,12.6,5.0,7.6,0.0,17,52.932,8,2023-05-26T23:49:34.686Z
290507,Caitlin Richardson,Hamilton City Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.333,5,8.333,0,14,13.066,5,8.066,0,6,12.133,4.3,7.833,0,16,13.166,5.0,8.166,0.0,9,51.698,14,2023-05-26T23:52:28.970Z
535138,Alice Watene,Hamilton City Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.366,5,8.366,0,13,12.433,5,7.433,0,15,14.033,5.0,9.033,0,2,13.3,5.0,8.3,0.0,7,53.132,7,2023-05-27T00:02:57.302Z
160838,Taylor McCarthy,Hamilton City Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.6,5,8.6,0,8,13.066,5,8.066,0,6,13.7,5.0,8.7,0,3,12.966,5.0,7.966,0.0,12,53.332,4,2023-05-27T00:00:33.557Z
286370,Paige Moon,Hamilton City Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.133,5,8.133,0,17,13.0,5,8.0,0,8,11.133,4.5,6.633,0,20,13.666,5.0,8.666,0.0,3,50.932,15,2023-05-27T00:05:30.406Z
258480,Cooper Hoad,Hamilton City Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.166,5,8.166,0,16,12.533,5,7.533,0,12,13.4,5.0,8.4,0,7,13.1,5.0,8.1,0.0,10,52.199,11,2023-05-26T23:56:27.165Z
688641,Caitlin Lewis,Hamilton City Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,14.066,5,9.066,0,3,13.7,5,8.7,0,2,14.133,5.0,9.133,0,1,13.8,5.0,8.8,0.0,2,55.699,1,2023-05-26T23:44:54.274Z
232124,Jade Farrant,Impact Gymsports Academy,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.5,5,8.5,0,10,14.0,5,9.0,0,1,12.733,4.5,8.233,0,11,12.633,5.0,7.633,0.0,16,52.866,9,2023-05-26T23:45:44.422Z
278038,Zamara Marshall,Kaitaia Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,14.566,5,9.566,0,1,11.933,5,6.933,0,18,12.666,5.0,7.666,0,12,12.966,5.0,7.966,0.0,12,52.131,12,2023-05-26T23:51:32.548Z
160084,Jessica McCarthny,Kaitaia Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,12.366,5,7.366,0,19,11.966,5,6.966,0,17,12.166,5.0,7.166,0,14,12.7,5.0,7.7,0.0,15,49.198,19,2023-05-26T23:48:23.657Z
229824,Leah McDowell,Omni Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.533,5,8.533,0,9,12.3,5,7.3,0,16,11.6,4.5,7.1,0,19,12.466,5.0,7.466,0.0,18,49.899,16,2023-05-26T23:43:23.677Z
246842,Ava Gleeson,Omni Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.3,5,8.3,0,15,11.733,5,6.733,0,19,13.633,5.0,8.633,0,4,13.066,5.0,8.066,0.0,11,51.732,13,2023-05-26T23:51:31.443Z
256164,Bella Huang,Omni Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,14.0,5,9.0,0,6,12.6,5,7.6,0,11,12.833,4.5,8.333,0,9,13.4,5.0,8.4,0.0,4,52.833,10,2023-05-26T23:42:09.689Z
528827,Vivi Boggs,Omni Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,14.2,5,9.2,0,2,12.9,5,7.9,0,9,13.566,5.0,8.566,0,5,13.366,5.0,8.366,0.0,5,54.032,2,2023-05-26T23:50:38.551Z
654371,Amerise du Plooy,Turn & Gymnastics Circle,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,13.866,5,8.866,0,7,12.8,5,7.8,0,10,13.3,5.0,8.3,0,8,13.366,5.0,8.366,0.0,5,53.332,4,2023-05-26T23:48:43.482Z
512725,Isla Waring,Turn & Gymnastics Circle,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,14.033,5,9.033,0,4,13.2,5,8.2,0,5,12.3,4.7,7.6,0,13,14.066,5.0,9.066,0.0,1,53.599,3,2023-05-26T23:50:09.381Z
232377,Sarah Warren,Turn & Gymnastics Circle,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,14.033,5,9.033,0,4,13.3,5,8.3,0,4,12.766,5.0,7.766,0,10,13.2,5.0,8.2,0.0,8,53.299,6,2023-05-26T23:48:02.667Z
234522,Shelby Hoyle,Whangarei Academy of Gymnastics,Step 5 - Comp 2,OVER,2023 Auckland Manukau Championships,"AA, Team & Apparatus",,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-05-26T23:37:39.498Z
