gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
531971,Klara McKeefry,Counties Manukau Gymnastics,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-05-28T04:11:32.490Z
207338,Shavaun Harvey,Counties Manukau Gymnastics,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,10.566,2.4,8.166,0,19,10.533,3.1,7.433,0.0,10,13.066,4.4,8.666,0,2,12.133,3.5,8.633,0.0,7,46.298,0,2023-05-28T04:12:49.812Z
301398,Meshay Paulsen,Counties Manukau Gymnastics,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,11.366,3.4,7.966,0,4,12.233,3.5,8.733,0.0,2,13.333,4.3,9.033,0,1,11.2,4.0,7.2,0.0,25,48.132,0,2023-05-28T04:27:00.805Z
582297,Chelsea Brennan,Counties Manukau Gymnastics,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,12.033,3.4,8.633,0,1,10.366,3.2,7.166,0.0,14,11.833,3.7,8.133,0,9,12.633,4.0,8.633,0.0,4,46.865,0,2023-05-28T04:23:52.571Z
553131,Frida Comber,Eastern Suburbs Gymnastics Club,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,10.933,2.4,8.533,0,11,12.033,3.9,8.133,0.0,3,11.933,4.1,7.833,0,5,11.5,4.0,7.5,0.0,18,46.399,0,2023-05-28T04:18:05.694Z
553118,Amelia King,Eastern Suburbs Gymnastics Club,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-05-28T04:11:37.497Z
217121,Brianna Valent-Hay,Fantastic Gymnastics,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,10.766,2.4,8.366,0,13,9.033,2.1,6.933,0.0,25,10.633,4.0,6.633,0,20,11.6,3.2,8.4,0.0,16,42.032,0,2023-05-28T04:25:28.982Z
206480,Eva Conlon,Hamilton City Gymnastics,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,10.433,1.6,8.833,0,20,10.5,2.4,8.1,0.0,11,10.866,3.4,7.466,0,17,11.266,3.4,7.866,0.0,23,43.065,0,2023-05-28T04:24:22.876Z
200227,Ashleigh Van Eyk,Hamilton City Gymnastics,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,10.1,1.6,8.5,0,30,10.6,2.7,7.9,0.0,9,11.066,2.8,8.266,0,15,11.833,3.5,8.333,0.0,13,43.599,0,2023-05-28T04:21:10.567Z
214600,Ella Blomfield,Hamilton City Gymnastics,Step 7,OVER,2023 Auckland Manukau Championships,Day 2 - Apparatus,,10.233,1.6,8.633,0,28,9.3,2.1,7.2,0.0,21,10.533,3.4,7.133,0,22,11.333,3.5,7.833,0.0,22,41.399,0,2023-05-28T04:16:09.723Z
