gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
531969,Sienna Pirie,Counties Manukau,Step 7,UNDER,2023 Central Champs,Day 2 App,,12.566,3.4,9.166,0,1,12.95,3.8,9.15,0,1,10.95,3.8,7.15,0,4,12.366,4.4,8.066,0.1,2,48.832,0,2023-05-21T01:18:58.783Z
245355,Hazel Passmore,Hutt Valley Gymnastics,Step 7,UNDER,2023 Central Champs,Day 2 App,,9.8,1.6,8.2,0,5,10.15,2.1,8.05,0,5,10.6,3.3,7.3,0,5,11.366,2.8,8.566,0.0,5,41.916,0,2023-05-21T01:16:08.776Z
206227,Zara Fitzsimons,Hutt Valley Gymnastics,Step 7,UNDER,2023 Central Champs,Day 2 App,,9.833,3.4,6.433,0,4,11.25,3.1,8.15,0,3,12.65,4.1,8.55,0,3,11.8,4.0,7.8,0.0,3,45.533,0,2023-05-21T01:18:37.486Z
262724,Briallen Aberhart,Hutt Valley Gymnastics,Step 7,UNDER,2023 Central Champs,Day 2 App,,10.333,2.4,7.933,0,3,11.1,3.1,8.0,0,4,13.55,4.3,9.25,0,1,11.733,3.3,8.433,0.0,4,46.716,0,2023-05-21T01:19:12.982Z
275613,Jessica Woodside,Hutt Valley Gymnastics,Step 7,UNDER,2023 Central Champs,Day 2 App,,12.366,3.2,9.166,0,2,12.5,3.5,9.0,0,2,13.45,4.1,9.35,0,2,13.2,4.1,9.1,0.0,1,51.516,0,2023-05-21T01:12:21.708Z
531971,Klara McKeefry,Counties Manukau,Step 7,OVER,2023 Central Champs,Day 2 App,,10.666,2.4,8.266,0,17,10.6,2.4,8.2,0,9,10.75,3.3,7.45,0,14,10.533,3.5,7.033,0.0,20,42.549,0,2023-05-21T01:20:23.503Z
207338,Shavaun Harvey,Counties Manukau,Step 7,OVER,2023 Central Champs,Day 2 App,,10.5,2.4,8.1,0,21,10.8,3.1,7.7,0,6,10.55,4.1,6.45,0,15,10.333,2.2,8.633,0.5,23,42.183,0,2023-05-21T01:25:52.457Z
301398,Meshay Paulsen,Counties Manukau,Step 7,OVER,2023 Central Champs,Day 2 App,,11.733,3.4,8.333,0,5,10.6,3.5,7.1,0,9,12.2,3.8,8.4,0,4,12.866,4.2,8.666,0.0,1,47.399,0,2023-05-21T01:28:37.234Z
582297,Chelsea Brennan,Counties Manukau,Step 7,OVER,2023 Central Champs,Day 2 App,,12.433,3.4,9.033,0,1,11.7,3.5,8.2,0,4,11.7,3.7,8.0,0,6,12.2,3.9,8.3,0.0,7,48.033,0,2023-05-21T01:31:11.631Z
212326,Chloe Williams,Christchurch School of Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,11.6,3.2,8.4,0,6,10.1,3.1,7.0,0,15,10.9,3.3,7.6,0,12,11.733,4.0,7.733,0.0,12,44.333,0,2023-05-21T01:35:20.285Z
570587,Harriet Thorp,Christchurch School of Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,11.533,3.2,8.333,0,7,9.6,2.1,7.5,0,23,11.0,4.1,6.9,0,11,12.533,4.5,8.033,0.0,4,44.666,0,2023-05-21T01:37:16.313Z
211907,Amelia Quinn,Christchurch School of Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.133,3.2,6.933,0,26,9.25,2.7,6.55,0,26,8.0,3.6,4.4,0,27,11.333,4.3,7.033,0.0,15,38.716,0,2023-05-21T01:23:06.409Z
253827,Sienna Yearbury,Christchurch School of Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.3,1.6,8.7,0,24,9.0,1.4,7.6,0,28,10.0,2.4,7.6,0,18,9.633,3.2,6.433,0.0,28,38.933,0,2023-05-21T01:22:43.428Z
558397,Leah Mackle,Christchurch School of Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-05-21T01:02:22.453Z
553131,Frida Comber,Eastern Suburbs Gymnastics Club,Step 7,OVER,2023 Central Champs,Day 2 App,,11.066,2.4,8.666,0,10,11.8,3.1,8.7,0,3,12.15,4.1,8.05,0,5,12.066,4.1,7.966,0.0,9,47.082,0,2023-05-21T01:22:35.462Z
553120,Emily King,Eastern Suburbs Gymnastics Club,Step 7,OVER,2023 Central Champs,Day 2 App,,11.066,2.4,8.666,0,10,12.15,3.1,9.05,0,1,12.35,4.2,8.15,0,2,12.766,4.0,8.766,0.0,2,48.332,0,2023-05-21T01:25:11.245Z
269401,Sarah Fenwick,Hastings Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,12.033,3.4,8.633,0,3,10.65,3.1,7.55,0,8,10.4,2.9,7.5,0,16,11.3,4.1,7.2,0.0,16,44.383,0,2023-05-21T01:23:09.316Z
168329,Michaela McPhee,Harbour City Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.166,3.6,6.566,0,25,10.1,1.8,8.3,0,15,9.65,2.3,7.35,0,23,11.733,3.6,8.133,0.0,12,41.649,0,2023-05-21T01:35:17.421Z
242936,Betsy Lu,Howick Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.4,1.6,8.8,0,22,9.5,2.1,7.4,0,24,9.6,2.8,6.8,0,24,10.4,2.7,7.7,0.0,21,39.900,0,2023-05-21T01:17:03.205Z
216501,Abby Powell,Howick Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,9.9,1.6,8.3,0,28,9.1,2.1,7.0,0,27,10.15,3.5,6.65,0,17,10.1,2.7,7.4,0.0,25,39.250,0,2023-05-21T01:19:59.222Z
226317,Taylor Whiting,Hutt Valley Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.6,2.4,8.2,0,18,9.95,2.5,7.45,0,19,9.8,2.3,7.5,0,22,12.033,3.7,8.333,0.0,10,42.383,0,2023-05-21T01:14:44.899Z
267024,Susannah Charlier,Hutt Valley Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.9,2.4,8.5,0,13,9.8,2.1,7.7,0,21,12.3,3.8,8.5,0,3,12.466,3.8,8.666,0.0,5,45.466,0,2023-05-21T01:15:06.706Z
188490,Makenzie Reddaway,Hutt Valley Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.6,2.6,8.0,0,18,10.6,2.4,8.2,0,9,11.3,3.2,8.1,0,10,10.333,3.0,7.333,0.0,23,42.833,0,2023-05-21T01:17:57.506Z
240902,Elizabeth Longhurst,Hutt Valley Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.766,1.6,9.166,0,15,12.05,3.6,8.45,0,2,11.7,4.1,7.6,0,6,12.4,4.1,8.7,0.4,6,46.916,0,2023-05-21T01:20:00.408Z
153810,Rilee Brown,Kapiti Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.566,2.4,8.166,0,20,10.15,2.4,7.75,0,13,6.6,3.0,7.6,4,28,11.166,3.7,7.466,0.0,17,38.482,0,2023-05-21T01:19:55.615Z
198325,Charlee Wood,Manawatu Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,11.166,2.4,8.766,0,9,9.85,2.4,7.45,0,20,9.6,2.5,7.1,0,24,11.466,3.4,8.066,0.0,14,42.082,0,2023-05-21T01:40:11.410Z
125086,Emma Hoffman,Nelson Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,11.833,3.2,8.633,0,4,10.1,3.5,6.6,0,15,10.85,3.9,6.95,0,13,12.133,3.9,8.233,0.0,8,44.916,0,2023-05-21T01:41:53.909Z
260910,Nikita Steffert,Omni Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.966,2.4,8.566,0,12,10.15,2.8,7.35,0,13,11.7,3.7,8.0,0,6,9.833,3.5,6.333,0.0,26,42.649,0,2023-05-21T01:28:39.558Z
252901,Penelope Fowler,Omni Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,11.333,3.2,8.133,0,8,7.25,2.4,4.85,0,30,10.0,3.3,6.7,0,18,10.4,3.3,7.1,0.0,21,38.983,0,2023-05-21T01:32:10.454Z
149626,Sienna Manisty,Omni Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.333,2.0,8.333,0,23,10.0,2.3,7.7,0,18,9.45,3.8,5.65,0,26,10.7,3.2,7.5,0.0,19,40.483,0,2023-05-21T01:35:03.404Z
121813,Kayla Yum,Whanganui Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,0.0,0.0,0.0,0,0,8.4,2.7,5.7,0,29,11.35,3.3,8.05,0,9,0.0,0.0,0.0,0.0,0,19.750,0,2023-05-21T01:32:26.369Z
212743,Bree Lamont,Rimutaka Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.9,2.4,8.5,0,13,10.8,2.3,8.5,0,6,9.95,2.6,7.35,0,20,9.8,1.8,8.0,0.0,27,41.450,0,2023-05-21T01:25:55.585Z
107862,Kathryn Sofeni,Rimutaka Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,10.1,1.6,8.5,0,27,10.25,2.5,7.75,0,12,9.95,2.8,7.15,0,20,11.8,3.6,8.2,0.0,11,42.100,0,2023-05-21T01:29:20.610Z
259656,Ana Nellas,Twisters Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,12.166,3.2,8.966,0,2,11.1,3.1,8.0,0,5,12.6,3.9,8.7,0,1,12.7,4.2,8.5,0.0,3,48.566,0,2023-05-21T01:13:30.193Z
247187,Amelia Archer,Twisters Gymnastics,Step 7,OVER,2023 Central Champs,Day 2 App,,0.0,0.0,0.0,0,0,9.75,2.1,7.65,0,22,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,9.750,0,2023-05-21T01:14:08.949Z
158129,Abbey Malin,Rimutaka Gymnastics,Step 7,NONE,2023 Central Champs,Day 2 App,,10.7,2.4,8.3,0,16,9.5,2.1,7.4,0,24,0.0,0.0,0.0,0,0,11.133,3.4,7.733,0.0,18,31.333,0,2023-05-21T01:22:03.075Z
