gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
180094,Sophia Paviour-Smith,Capital,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,11.75,2.6,9.15,0,5,9.55,1.7,7.85,0.0,5,11.233,4.0,7.233,0,4,11.55,4.0,7.55,0.0,2,44.083,3,2023-05-13T00:58:06.414Z
531987,Gurjeeya Kaur,Counties Manukau,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,11.85,3.2,8.65,0,4,9.15,3.0,6.15,0.0,8,13.166,4.5,8.666,0,1,11.5,3.6,7.9,0.0,3,45.666,2,2023-05-13T00:58:32.141Z
217105,Renee Pilon,Fantastic Gymnastics,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,11.2,2.4,8.8,0,6,7.05,1.6,5.45,0.0,10,11.233,3.9,7.333,0,4,11.05,4.0,7.65,0.6,5,40.533,7,2023-05-13T00:48:39.921Z
641778,Lauren Carr,Hutt Valley,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,10.0,1.6,8.4,0,10,11.05,3.3,7.75,0.0,1,11.7,3.3,8.4,0,3,0.0,0.0,0.0,0.0,0,32.750,0,2023-05-13T00:49:35.200Z
208819,Charlie Simmons,Hutt Valley,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,11.15,2.4,8.75,0,7,8.2,1.5,7.2,0.5,9,9.366,3.0,6.366,0,10,11.05,3.4,7.65,0.0,5,39.766,8,2023-05-13T00:49:04.028Z
220976,Anna Elliott,Hutt Valley,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,10.85,3.2,7.65,0,8,10.95,2.4,8.55,0.0,3,10.566,3.6,6.966,0,7,11.25,3.3,7.95,0.0,4,43.616,5,2023-05-13T01:01:20.890Z
269872,Lulu Miller,Impact Gymnastics,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,0.0,0.0,0.0,0,0,9.5,3.5,6.0,0.0,6,10.266,3.0,7.266,0,0,0.0,0.0,0.0,0.0,0,19.766,0,2023-05-13T00:51:25.765Z
542072,Sienna Shields,NHG,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,12.35,3.2,9.15,0,1,11.05,3.0,8.05,0.0,1,12.6,4.7,7.9,0,2,11.75,4.1,7.65,0.0,1,47.750,1,2023-05-13T00:49:22.344Z
147789,Alex Quickenden,Tri Star Gymnastics,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,12.35,3.4,8.95,0,1,10.05,2.3,7.75,0.0,4,10.633,3.0,7.633,0,6,11.0,3.8,7.2,0.0,8,44.033,4,2023-05-13T00:49:30.532Z
170735,Scarlett Lynas,Tri Star Gymnastics,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,10.65,2.4,8.25,0,9,9.2,2.4,6.8,0.0,7,10.533,3.3,7.233,0,8,11.05,3.5,7.55,0.0,5,41.433,6,2023-05-13T00:47:42.180Z
156710,Renee Brown,Tri Star Gymnastics,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-05-13T00:32:33.461Z
531975,Merle Zibolsky,Tri Star Gymnastics,Step 8,OVER,2023 Tri Star Senior Champs,AA & Team - Day 1,,12.15,3.4,8.75,0,3,0.0,0.0,0.0,0.0,0,10.033,3.0,7.033,0,9,10.8,3.4,7.4,0.0,9,32.983,0,2023-05-13T00:50:09.087Z
278730,Te Ana Waiariki,Hutt Valley,Step 8,UNDER,2023 Tri Star Senior Champs,AA & Team - Day 1,,10.85,2.4,8.45,0,6,9.6,3.1,6.5,0.0,7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,20.450,0,2023-05-13T00:49:26.999Z
212830,Leah Austin,Hutt Valley,Step 8,UNDER,2023 Tri Star Senior Champs,AA & Team - Day 1,,11.1,2.4,8.7,0,5,11.15,2.5,8.65,0.0,4,10.833,3.5,7.333,0,6,11.7,3.3,8.4,0.0,4,44.783,6,2023-05-13T00:52:04.795Z
245523,Maia Mclaughlan,Hutt Valley,Step 8,UNDER,2023 Tri Star Senior Champs,AA & Team - Day 1,,12.35,3.4,8.95,0,3,12.05,3.4,8.65,0.0,1,12.7,4.1,8.6,0,1,11.75,3.9,8.15,0.3,2,48.850,1,2023-05-13T00:57:06.318Z
185851,Emily Barback,Impact Gymnastics,Step 8,UNDER,2023 Tri Star Senior Champs,AA & Team - Day 1,,11.5,3.2,8.3,0,4,11.05,2.6,8.45,0.0,5,11.566,3.9,7.666,0,4,11.75,3.6,8.15,0.0,2,45.866,3,2023-05-13T00:55:03.744Z
541941,Ava Samuels,NHG,Step 8,UNDER,2023 Tri Star Senior Champs,AA & Team - Day 1,,12.4,3.4,9.0,0,2,10.0,3.0,7.0,0.0,6,12.233,4.4,7.833,0,2,11.55,4.2,7.35,0.0,5,46.183,2,2023-05-13T00:51:36.821Z
539349,Alayna Wright,NHG,Step 8,UNDER,2023 Tri Star Senior Champs,AA & Team - Day 1,,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-05-13T00:41:38.412Z
195715,Amy Thomson,Waitakere Gymnastics Club,Step 8,UNDER,2023 Tri Star Senior Champs,AA & Team - Day 1,,12.5,3.4,9.1,0,1,11.5,3.5,8.0,0.0,3,10.9,4.0,6.9,0,5,10.55,4.3,6.35,0.1,6,45.450,5,2023-05-13T00:47:47.550Z
283902,Natsumi Sekizaki,Waitakere Gymnastics Club,Step 8,UNDER,2023 Tri Star Senior Champs,AA & Team - Day 1,,9.65,3.2,6.45,0,7,12.05,3.7,8.35,0.0,1,11.766,4.7,7.066,0,3,12.4,4.4,8.0,0.0,1,45.866,3,2023-05-13T00:53:19.428Z
