gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
288645,Bailee Dalmer,Franklin Gymsport,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,12.7,5,7.7,0,9,11.866,5.0,6.866,0,7,11.25,5.0,6.25,0.0,8,12.8,5.0,7.8,0,3,48.616,7,2023-04-01T04:54:24.620Z
241055,Maija Farr,Franklin Gymsport,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,12.6,5,7.6,0,18,12.366,5.0,7.366,0,10,12.45,5.0,7.45,0.0,7,12.166,5.0,7.166,0,12,49.582,11,2023-04-01T04:56:56.891Z
593454,Delilah Lauer,Franklin Gymsport,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,12.5,5,7.5,0,10,11.766,5.0,6.766,0,9,13.15,5.0,8.15,0.0,4,12.366,5.0,7.366,0,6,49.782,5,2023-04-01T04:55:39.482Z
523821,Siobhan Jones,Franklin Gymsport,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,12.9,5,7.9,0,15,11.666,5.0,6.666,0,16,10.0,5.0,5.0,0.0,17,11.433,5.0,6.433,0,15,45.999,18,2023-04-01T04:49:54.291Z
654371,Amerise du Plooy,Turn and Gymnastics Circle,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,13.9,5,8.9,0,1,13.2,5.0,8.2,0,2,9.05,3.8,5.25,0.0,19,12.8,5.0,7.8,0,5,48.950,12,2023-04-01T04:57:44.754Z
232377,Sarah Warren,Turn and Gymnastics Circle,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,12.7,5,7.7,0,17,12.2,5.0,7.2,0,12,13.05,5.0,8.05,0.0,2,12.766,5.0,7.766,0,7,50.716,6,2023-04-01T05:02:15.149Z
286379,Shala O'Brien,Turn and Gymnastics Circle,STEP 5,UNDER,2023 ARGOS Senior Competition,All-Around Round 1,,13.2,5,8.2,0,6,11.566,5.0,6.566,0,10,13.8,5.0,8.8,0.0,1,13.533,5.0,8.533,0,1,52.099,2,2023-04-01T04:52:12.709Z
512725,Isla Waring,Turn and Gymnastics Circle,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,13.4,5,8.4,0,6,12.7,5.0,7.7,0,3,12.6,5.0,7.6,0.0,5,13.466,5.0,8.466,0,2,52.166,2,2023-04-01T05:01:24.145Z
611280,Savannah Anderson,Turn and Gymnastics Circle,STEP 5,UNDER,2023 ARGOS Senior Competition,All-Around Round 1,,13.1,5,8.1,0,7,12.233,5.0,7.233,0,4,10.2,4.2,6.0,0.0,9,12.366,5.0,7.366,0,6,47.899,9,2023-04-01T04:49:09.666Z
544743,Lilli Yoakley,Counties Manukau Gymsport,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,12.85,5,7.85,0,16,12.7,5.0,7.7,0,3,12.65,5.0,7.65,0.0,4,12.7,5.0,7.7,0,9,50.900,5,2023-04-01T04:52:59.477Z
273123,Charlize Chang,Counties Manukau Gymsport,STEP 5,UNDER,2023 ARGOS Senior Competition,All-Around Round 1,,13.8,5,8.8,0,3,11.9,5.0,6.9,0,6,13.75,5.0,8.75,0.0,2,13.366,5.0,8.366,0,2,52.816,1,2023-04-01T04:52:01.616Z
544777,Paige Roberts,Counties Manukau Gymsport,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,13.65,5,8.65,0,3,12.7,5.0,7.7,0,3,12.6,4.5,8.1,0.0,5,13.133,5.0,8.133,0,4,52.083,3,2023-04-01T04:56:59.090Z
228646,Ella Olney,Hamilton City Gymnastics,STEP 5,UNDER,2023 ARGOS Senior Competition,All-Around Round 1,,13.25,5,8.25,0,5,12.466,5.0,7.466,0,2,13.45,5.0,8.45,0.0,3,12.4,5.0,7.4,0,5,51.566,3,2023-04-01T04:49:12.113Z
290507,Caitlin Richardson,Hamilton City Gymnastics,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,13.45,5,8.45,0,5,12.6,5.0,7.6,0,6,11.7,4.5,7.2,0.0,11,12.2,5.0,7.2,0,10,49.950,10,2023-04-01T05:11:23.217Z
290428,Manae Ikemura,Hamilton City Gymnastics,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,13.1,5,8.1,0,11,11.866,5.0,6.866,0,15,12.4,5.0,7.4,0.0,8,11.366,5.0,6.366,0,16,48.732,13,2023-04-01T04:53:17.965Z
160838,Taylor McCarthy,Hamilton City Gymnastics,STEP 5,OVER,2023 ARGOS Senior Competition,All-Around Round 1,,13.2,5,8.2,0,9,12.133,5.0,7.133,0,13,12.2,5.0,7.2,0.0,9,12.8,5.0,7.8,0,5,50.333,7,2023-04-01T04:57:14.604Z
