gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
194347,Luci Strachan,Gymnastics Waitara,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,10.466,2.0,8.466,0.0,8,10.433,2.8,7.633,0,5,10.066,3.9,6.166,0,8,11.466,3.9,7.566,0.0,4,42.431,0,2023-04-01T22:13:20.184Z
143208,Olivia Earl,Gymnastics Waitara,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,11.1,3.2,7.9,0.0,2,11.8,3.5,8.3,0,1,10.366,3.0,7.366,0,5,11.966,4.1,7.866,0.0,1,45.232,0,2023-04-01T22:14:10.887Z
232437,Piper Smith,Gymnastics Waitara,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,10.633,2.4,8.233,0.0,7,9.633,3.0,6.633,0,9,8.733,2.7,6.033,0,12,10.466,3.1,7.366,0.0,10,39.465,0,2023-04-01T22:16:23.275Z
554693,Rory Jenkins,Hamilton City Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,10.8,1.6,9.2,0.0,4,10.033,1.7,8.333,0,8,9.133,3.4,5.733,0,10,11.766,3.7,8.066,0.0,3,41.732,0,2023-04-01T21:51:13.874Z
214664,Nicole Stoupe,Hamilton City Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,10.166,2.0,8.166,0.0,10,10.5,2.4,8.1,0,4,10.366,4.1,6.266,0,5,10.933,3.7,7.233,0.0,8,41.965,0,2023-04-01T21:54:17.098Z
531987,Gurjeeya Kaur,Counties Manukau Gymsport,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,11.8,3.2,8.6,0.0,1,11.033,2.4,8.633,0,3,11.233,3.6,7.633,0,4,11.333,3.2,8.133,0.0,6,45.399,0,2023-04-01T21:58:47.454Z
147789,Alex Quickenden,Tri Star Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,10.7,3.4,7.3,0.0,5,10.233,2.4,7.833,0,6,9.633,2.5,7.133,0,9,11.433,3.9,7.533,0.0,5,41.999,0,2023-04-01T21:59:24.197Z
170735,Scarlett Lynas,Tri Star Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,10.2,1.6,8.6,0.0,9,0.0,0.0,0.0,0,0,8.9,3.3,5.6,0,11,10.733,3.3,7.433,0.0,9,29.833,0,2023-04-01T21:53:16.165Z
156710,Renee Brown,Tri Star Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,10.7,3.4,7.3,0.0,5,11.1,3.0,8.1,0,2,11.8,4.2,7.6,0,2,11.8,3.9,7.9,0.0,2,45.400,0,2023-04-01T22:00:47.510Z
531975,Merle Zibolsky,Tri Star Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,10.066,3.4,7.166,0.5,11,0.0,0.0,0.0,0,0,11.3,3.6,7.7,0,3,11.333,3.6,7.733,0.0,6,32.699,0,2023-04-01T21:54:00.306Z
195715,Amy Thomson,Waitakere Gymnastics,STEP 8,UNDER,2023 ARGOS Senior Competition,Apparatus,,11.7,3.4,8.3,0.0,3,9.45,3.0,6.45,0,4,0.0,0.0,0.0,0,0,10.8,3.3,7.5,0.0,4,31.950,0,2023-04-01T21:53:38.756Z
283902,Natsumi Sekizaki,Waitakere Gymnastics,STEP 8,UNDER,2023 ARGOS Senior Competition,Apparatus,,11.266,2.8,8.466,0.0,4,12.033,3.6,8.433,0,1,10.833,4.5,6.333,0,2,12.266,4.4,7.866,0.0,1,46.398,0,2023-04-01T21:56:15.420Z
542072,Sienna Shields,NHG,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-04-01T21:40:25.901Z
541941,Ava Samuels,NHG,STEP 8,UNDER,2023 ARGOS Senior Competition,Apparatus,,11.9,3.2,8.7,0.0,2,7.1,2.4,4.7,0,5,11.7,4.2,7.5,0,1,11.9,4.2,7.7,0.0,2,42.600,0,2023-04-01T22:06:56.430Z
539349,Alayna Wright,NHG,STEP 8,UNDER,2023 ARGOS Senior Competition,Apparatus,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.000,0,2023-04-01T21:40:01.481Z
217105,Renee Pilon,Fantastic Gymnastics,STEP 8,OVER,2023 ARGOS Senior Competition,Apparatus,,11.033,2.4,8.633,0.0,3,10.066,1.6,8.466,0,7,10.333,3.9,6.433,0,7,10.166,3.7,6.466,0.0,11,41.598,0,2023-04-01T22:03:59.068Z
230332,Ella Robinson,ARGOS Gymnastics Club,STEP 8,NONE,2023 ARGOS Senior Competition,Apparatus,,11.966,3.6,8.366,0.0,1,11.2,3.0,8.2,0,2,7.7,3.1,4.6,0,3,10.866,3.5,7.366,0.0,3,41.732,0,2023-04-01T21:58:20.632Z
