gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
544743,Lilli Yoakley,Counties Manukau,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.1,5,8.1,0,13,13.033,5,8.033,0,6,12.5,5.0,7.5,0.0,9,13.9,5.0,8.9,0,3,52.533,0,2023-05-19T21:47:12.167Z
544777,Paige Roberts,Counties Manukau,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.6,5,8.6,0,8,13.233,5,8.233,0,3,13.233,4.7,8.533,0.0,5,14.066,5.0,9.066,0,2,54.132,0,2023-05-19T21:52:56.075Z
281440,Sienna Boyd,Hutt Valley Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.2,5,8.2,0,12,11.933,5,6.933,0,17,11.366,4.5,7.866,1.0,16,12.133,5.0,7.133,0,17,48.632,0,2023-05-19T21:52:10.175Z
204241,Maia Mason,Hutt Valley Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.55,5,8.55,0,9,12.766,5,7.766,0,9,13.6,5.0,8.6,0.0,2,13.266,5.0,8.266,0,8,53.182,0,2023-05-19T21:52:38.081Z
236682,Eryn Foster,Hutt Valley Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,12.95,5,7.95,0,16,12.733,5,7.733,0,10,11.933,5.0,6.933,0.0,14,13.1,5.0,8.1,0,10,50.716,0,2023-05-19T21:53:23.870Z
192269,Poppy Cowan,Hutt Valley Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.8,5,8.8,0,5,13.5,5,8.5,0,1,13.566,5.0,8.566,0.0,3,12.866,5.0,7.866,0,14,53.732,0,2023-05-19T21:47:13.613Z
296472,Vanisha Tandon,Hutt Valley Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,14.0,5,9.0,0,3,12.966,5,7.966,0,7,13.2,5.0,8.2,0.0,6,14.1,5.0,9.1,0,1,54.266,0,2023-05-19T21:49:57.177Z
255988,Emma Barry,Manawatu Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,14.1,5,9.1,0,2,13.5,5,8.5,0,1,11.066,5.0,6.066,0.0,18,12.8,5.0,7.8,0,15,51.466,0,2023-05-19T22:06:26.601Z
243447,Emma Nixon,Manawatu Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.85,5,8.85,0,4,12.9,5,7.9,0,8,12.333,5.0,7.333,0.0,10,13.5,5.0,8.5,0,5,52.583,0,2023-05-19T22:08:51.486Z
261788,Shannon Tindle,Manawatu Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.7,5,8.7,0,7,13.133,5,8.133,0,5,13.9,5.0,8.9,0.0,1,13.433,5.0,8.433,0,6,54.166,0,2023-05-19T21:45:26.198Z
253071,Elina Johnson,Manawatu Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,12.95,5,7.95,0,16,12.5,5,7.5,0,14,13.133,5.0,8.133,0.0,8,12.033,5.0,7.033,0,18,50.616,0,2023-05-19T21:50:00.628Z
267099,Alena Brain,Manawatu Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.0,5,8.0,0,15,11.9,5,6.9,0,18,13.333,5.0,8.333,0.0,4,13.033,4.5,8.533,0,12,51.266,0,2023-05-19T21:52:43.649Z
227085,Alexa Newton,Manawatu Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,12.7,5,7.7,0,19,12.533,5,7.533,0,12,12.033,5.0,7.033,0.0,13,13.4,5.0,8.4,0,7,50.666,0,2023-05-19T21:55:22.055Z
294149,Luisa Haas,Manawatu Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.1,5,8.1,0,13,11.966,5,6.966,0,16,11.266,5.0,6.266,0.0,17,13.866,5.0,8.866,0,4,50.198,0,2023-05-19T22:01:48.666Z
554592,Ava Nicholson-Smith,Nelson Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.3,5,8.3,0,11,11.866,5,6.866,0,19,12.333,4.5,7.833,0.0,10,13.133,5.0,8.133,0,9,50.632,0,2023-05-19T21:35:02.723Z
246842,Ava Gleeson,Omni Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,12.75,5,7.75,0,18,11.466,5,6.466,0,20,9.966,4.7,5.266,0.0,20,12.933,5.0,7.933,0,13,47.115,0,2023-05-19T21:43:38.524Z
229824,Leah McDowell,Omni Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,12.7,5,7.7,0,19,12.2,5,7.2,0,15,11.833,4.2,7.633,0.0,15,12.566,5.0,7.566,0,16,49.299,0,2023-05-19T21:45:51.393Z
528827,Vivi Boggs,Omni Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,14.15,5,9.15,0,1,12.633,5,7.633,0,11,13.2,5.0,8.2,0.0,6,13.066,5.0,8.066,0,11,53.049,0,2023-05-19T21:37:44.195Z
567967,Sienna Rorason,Twisters Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.75,5,8.75,0,6,13.233,5,8.233,0,3,10.6,4.5,6.1,0.0,19,11.433,4.5,6.933,0,20,49.016,0,2023-05-19T21:38:47.539Z
227746,Sydney Fergus,Twisters Gymnastics,Step 5 A,OVER,2023 Central Champs,"Day 1 App, Teams",,13.45,5,8.45,0,10,12.533,5,7.533,0,12,12.3,5.0,7.3,0.0,12,11.733,4.5,7.233,0,19,50.016,0,2023-05-19T21:39:51.934Z
273123,Charlize Chang,Counties Manukau,Step 5 A,UNDER,2023 Central Champs,"Day 1 App, Teams",,13.3,5,8.3,0,10,13.0,5,8.0,0,7,14.0,5.0,9.0,0.0,2,13.833,5.0,8.833,0,6,54.133,0,2023-05-19T21:50:12.832Z
301962,Elsiana Shearer Orr,Hutt Valley Gymnastics,Step 5 A,UNDER,2023 Central Champs,"Day 1 App, Teams",,13.3,5,8.3,0,10,12.7,5,7.7,0,10,8.266,3.5,5.766,1.0,18,12.5,5.0,7.5,0,12,46.766,0,2023-05-19T21:48:10.733Z
219201,Eleanor Henry,Hutt Valley Gymnastics,Step 5 A,UNDER,2023 Central Champs,"Day 1 App, Teams",,14.15,5,9.15,0,3,12.233,5,7.233,0,16,13.6,5.0,8.6,0.0,3,14.366,5.0,9.366,0,3,54.349,0,2023-05-19T21:49:13.480Z
278716,Madeline Joe,Hutt Valley Gymnastics,Step 5 A,UNDER,2023 Central Champs,"Day 1 App, Teams",,13.8,5,8.8,0,6,12.866,5,7.866,0,9,13.6,5.0,8.6,0.0,3,14.5,5.0,9.5,0,2,54.766,0,2023-05-19T21:50:45.213Z
229045,Ema Gatland,Hutt Valley Gymnastics,Step 5 A,UNDER,2023 Central Champs,"Day 1 App, Teams",,14.25,5,9.25,0,1,13.933,5,8.933,0,1,14.1,5.0,9.1,0.0,1,14.533,5.0,9.533,0,1,56.816,0,2023-05-19T21:51:20.986Z
198065,Mia Grant,Kapiti Gymnastics,Step 5 A,UNDER,2023 Central Champs,"Day 1 App, Teams",,13.2,5,8.2,0,12,12.466,5,7.466,0,14,11.166,5.0,6.666,0.5,14,12.233,5.0,7.233,0,14,49.065,0,2023-05-19T21:41:00.130Z
617735,Sophie Chisholm,Kapiti Gymnastics,Step 5 A,UNDER,2023 Central Champs,"Day 1 App, Teams",,12.5,5,7.5,0,16,13.033,5,8.033,0,6,11.233,4.2,7.033,0.0,13,12.933,5.0,7.933,0,9,49.699,0,2023-05-19T21:44:46.663Z
273425,Ashleigh Wier,Manawatu Gymnastics,Step 5 A,UNDER,2023 Central Champs,"Day 1 App, Teams",,13.4,5,8.4,0,8,13.433,5,8.433,0,3,13.566,5.0,8.566,0.0,5,13.933,5.0,8.933,0,5,54.332,0,2023-05-19T22:03:58.725Z
