gnz-id,name,club,step,division,competition,round-type,day,v-total,v-d,v-e,v-n,v-rank,ub-total,ub-d,ub-e,ub-n,ub-rank,bb-total,bb-d,bb-e,bb-n,bb-rank,fx-total,fx-d,fx-e,fx-n,fx-rank,aa-score,aa-rank,date-created
298872,Lyara Scott,Franklin Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.2,5,8.2,0,14,12.3,5.0,7.3,0.0,10,13.3,5.0,8.3,0,4,11.75,5.0,6.75,0,14,50.550,12,2023-05-13T22:02:24.022Z
229880,Tyler Jenkins,Franklin Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.5,5,8.5,0,9,13.25,5.0,8.25,0.0,2,12.3,5.0,7.3,0,12,13.4,5.0,8.4,0,7,52.450,9,2023-05-13T22:00:18.318Z
593455,Avaleigh Lauer,Franklin Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.35,5,8.35,0,13,13.3,5.0,8.3,0.0,1,12.65,5.0,7.65,0,10,13.2,5.0,8.2,0,9,52.500,8,2023-05-13T22:04:44.481Z
223942,Nicole Norris,Huntly Gymnastics Club,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.75,5,8.75,0,5,11.8,4.5,7.3,0.0,14,13.45,5.0,8.45,0,2,13.55,5.0,8.55,0,5,52.550,7,2023-05-13T22:12:25.142Z
179641,Charlie Standing,Impact Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,14.3,5,9.3,0,1,12.8,5.0,7.8,0.0,5,13.7,5.0,8.7,0,1,13.6,5.0,8.6,0,4,54.400,1,2023-05-13T22:27:14.202Z
201703,Nellie Burns,Impact Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.45,5,8.45,0,11,12.4,5.0,7.4,0.0,9,12.6,5.0,7.6,0,11,13.4,5.0,8.4,0,7,51.850,11,2023-05-13T22:28:31.764Z
214492,Ava Ellison,Impact Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.65,5,8.65,0,7,12.8,5.0,7.8,0.0,5,12.9,5.0,7.9,0,9,14.1,5.0,9.1,0,1,53.450,4,2023-05-13T22:24:18.163Z
247449,Mila Watherston,Impact Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.7,5,8.7,0,6,13.1,5.0,8.1,0.0,3,13.15,5.0,8.15,0,7,13.7,5.0,8.7,0,3,53.650,3,2023-05-13T22:29:20.330Z
214807,Femma van der Beek,Impact Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.85,5,8.85,0,4,12.1,5.0,7.1,0.0,11,11.4,4.5,6.9,0,14,12.8,5.0,7.8,0,11,50.150,13,2023-05-13T22:31:52.011Z
165319,Mackenzie Plunket,Impact Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.000,0,2023-05-13T22:09:53.874Z
542095,Wiktoria Bak,NHG,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.4,5,8.4,0,12,13.0,5.0,8.0,0.0,4,13.1,5.0,8.1,0,8,13.45,5.0,8.45,0,6,52.950,5,2023-05-13T21:55:47.992Z
258877,Katy-June Loomans,Piako Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.1,5,8.1,0,15,11.95,5.0,6.95,0.0,12,11.7,5.0,6.7,0,13,12.2,5.0,7.2,0,13,48.950,14,2023-05-13T22:05:13.171Z
284790,Jaiya Elfa,Piako Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.000,0,2023-05-13T21:44:50.905Z
644702,Yuzu Kawahara,Tri Star Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,14.05,5,9.05,0,2,12.8,5.0,7.8,0.0,5,13.25,4.5,8.75,0,6,12.7,4.5,8.2,0,12,52.800,6,2023-05-13T22:24:23.670Z
221636,Olivia Lindon,Tri Star Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.55,5,8.55,0,8,11.9,5.0,6.9,0.0,13,13.3,5.0,8.3,0,4,13.2,5.0,8.2,0,9,51.950,10,2023-05-13T22:23:57.920Z
205876,Amelia Hsu,Tri Star Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.9,5,8.9,0,3,12.8,5.0,7.8,0.0,5,13.45,5.0,8.45,0,2,13.85,5.0,8.85,0,2,54.000,2,2023-05-13T22:24:57.467Z
239650,Leah Watson,Whangarei Academy of Gymnastics,Step 6,OVER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.5,5,8.5,0,9,0.0,0.0,0.0,0.0,0,11.4,4.7,6.7,0,14,0.0,0.0,0.0,0,0,24.900,0,2023-05-13T22:27:17.666Z
291325,Nim Poole,Affinity Gymnastics Academy,Step 6,UNDER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.35,5,8.35,0,34,9.5,4.5,6.5,1.5,35,12.5,5.0,7.5,0,28,13.4,5.0,8.4,0,28,48.750,33,2023-05-13T22:04:08.612Z
262568,Chan'e Botha,Affinity Gymnastics Academy,Step 6,UNDER,2023 Tri Star Senior Champs,"AA, Team & Apparatus",,13.65,5,8.65,0,21,10.8,4.5,7.8,1.5,32,12.3,5.0,7.3,0,31,14.0,5.0,9.0,0,10,50.750,29,2023-05-13T22:02:39.192Z
